FixStart	FixEnd	FixDur	XPos	YPos	FlankedByDataLoss	Fraction Interpolated	WeightCutoff	RMSxy	BCEA	FixRangeX	FixRangeY	Participant	Trial
1.000	553.000	586.000	150.691	247.131	0.000	0.000	0.517	2.003	8.254	10.387	12.538	subject611c1d098e97d	10S
620.000	991.000	400.000	217.989	309.706	0.000	0.000	0.517	0.614	3.716	1.594	3.233	subject611c1d098e97d	10S
1052.000	1282.000	263.000	122.972	54.639	0.000	0.000	0.517	0.899	1.618	2.851	4.254	subject611c1d098e97d	10S
1359.000	3261.000	1935.000	460.645	80.890	0.000	0.000	0.517	0.530	42.300	19.428	3.260	subject611c1d098e97d	10S
3323.000	5677.000	2403.000	310.562	166.984	0.000	0.000	0.517	0.973	41.359	24.756	5.975	subject611c1d098e97d	10S
5762.000	7227.000	1499.000	566.917	177.067	0.000	0.000	0.517	0.378	13.210	9.696	2.140	subject611c1d098e97d	10S
7296.000	8132.000	866.000	544.089	165.263	0.000	0.000	0.517	1.310	24.954	24.692	1.708	subject611c1d098e97d	10S
8212.000	8751.000	572.000	300.691	289.539	0.000	0.000	0.517	0.563	4.478	6.808	2.469	subject611c1d098e97d	10S
8815.000	8840.000	58.000	382.424	242.636	0.000	0.000	0.517	0.614	0.000	0.478	0.386	subject611c1d098e97d	10S
8900.000	9183.000	346.000	369.419	165.703	0.000	0.000	0.517	0.504	2.446	2.851	1.147	subject611c1d098e97d	10S
9312.000	9713.000	432.000	166.231	269.099	0.000	0.000	0.517	0.669	1.853	4.143	4.301	subject611c1d098e97d	10S
9778.000	12521.000	2782.000	543.398	263.030	0.000	0.000	0.517	0.600	67.948	24.591	4.853	subject611c1d098e97d	10S
12591.000	13614.000	1053.000	433.694	314.759	0.000	0.000	0.517	1.316	121.635	25.466	8.667	subject611c1d098e97d	10S
13673.000	13734.000	87.000	154.440	109.020	0.000	0.000	0.517	0.286	0.113	0.502	0.191	subject611c1d098e97d	10S
13786.000	14402.000	651.000	211.233	176.822	0.000	0.000	0.517	0.364	3.668	2.979	2.505	subject611c1d098e97d	10S
14474.000	15330.000	884.000	387.215	326.191	0.000	0.000	0.517	0.606	7.394	4.925	4.502	subject611c1d098e97d	10S
15388.000	15987.000	632.000	444.037	238.582	0.000	0.000	0.517	0.555	2.582	7.114	0.913	subject611c1d098e97d	10S
16054.000	16454.000	449.000	695.818	243.181	0.000	0.000	0.517	0.442	2.822	3.264	0.848	subject611c1d098e97d	10S
16552.000	16955.000	436.000	750.031	284.475	0.000	0.000	0.517	0.475	3.384	1.234	3.543	subject611c1d098e97d	10S
17023.000	17911.000	913.000	551.034	207.669	0.000	0.000	0.517	1.426	102.332	26.411	4.841	subject611c1d098e97d	10S
17989.000	18156.000	205.000	18.805	106.596	0.000	0.000	0.517	0.381	0.396	0.375	0.971	subject611c1d098e97d	10S
18223.000	18356.000	165.000	76.728	180.105	0.000	0.000	0.517	0.493	0.396	0.491	1.369	subject611c1d098e97d	10S
18423.000	18962.000	584.000	102.125	212.721	0.000	0.000	0.517	0.334	2.343	2.144	1.631	subject611c1d098e97d	10S
19040.000	19143.000	136.000	47.774	242.615	0.000	0.000	0.517	0.278	0.104	0.244	0.586	subject611c1d098e97d	10S
19213.000	20586.000	1406.000	291.649	248.030	0.000	0.000	0.517	0.554	36.832	14.573	4.609	subject611c1d098e97d	10S
20656.000	20881.000	270.000	462.056	402.648	0.000	0.000	0.517	0.350	0.356	0.364	0.844	subject611c1d098e97d	10S
20961.000	23243.000	2322.000	358.982	164.157	0.000	0.000	0.517	1.392	88.487	27.371	6.661	subject611c1d098e97d	10S
23322.000	23860.000	569.000	150.134	199.899	0.000	0.000	0.517	0.493	2.096	3.136	1.502	subject611c1d098e97d	10S
23929.000	26110.000	2212.000	197.247	200.668	0.000	0.000	0.517	0.643	75.943	22.119	4.995	subject611c1d098e97d	10S
26167.000	28282.000	2145.000	365.154	172.978	0.000	0.000	0.517	1.694	96.785	29.587	4.738	subject611c1d098e97d	10S
28344.000	28481.000	170.000	214.579	178.109	0.000	0.000	0.517	0.357	0.209	0.702	0.254	subject611c1d098e97d	10S
28543.000	29585.000	1092.000	282.521	229.859	0.000	0.000	0.517	0.448	9.066	5.959	4.219	subject611c1d098e97d	10S
29669.000	30761.000	1123.000	395.697	213.635	0.000	0.000	0.517	0.880	43.411	16.517	5.447	subject611c1d098e97d	10S
30834.000	31280.000	481.000	4.894	160.796	0.000	0.000	0.517	0.269	1.369	1.533	2.326	subject611c1d098e97d	10S
31341.000	32223.000	916.000	60.258	350.858	0.000	0.000	0.517	0.621	7.323	3.480	6.415	subject611c1d098e97d	10S
32292.000	32574.000	316.000	1.197	258.418	0.000	0.000	0.517	0.319	0.546	0.556	0.962	subject611c1d098e97d	10S
32643.000	40518.000	7904.000	176.845	304.782	0.000	0.000	0.517	0.815	114.387	26.474	9.339	subject611c1d098e97d	10S
40580.000	42001.000	1457.000	358.847	335.063	0.000	0.000	0.517	0.506	21.350	15.960	2.412	subject611c1d098e97d	10S
42071.000	43351.000	1329.000	151.878	380.823	0.000	0.000	0.517	1.132	66.480	20.860	4.899	subject611c1d098e97d	10S
43439.000	44001.000	596.000	219.627	368.492	0.000	0.000	0.517	0.624	13.054	6.968	2.790	subject611c1d098e97d	10S
44068.000	44754.000	724.000	284.153	363.334	0.000	0.000	0.517	0.356	3.351	3.602	1.857	subject611c1d098e97d	10S
44828.000	46433.000	1645.000	547.859	440.159	0.000	0.000	0.517	0.508	37.766	12.363	4.404	subject611c1d098e97d	10S
46506.000	46888.000	434.000	646.805	454.038	0.000	0.000	0.517	0.405	1.393	2.545	2.780	subject611c1d098e97d	10S
46994.000	47176.000	215.000	602.254	541.428	0.000	0.000	0.517	0.275	0.225	0.557	0.492	subject611c1d098e97d	10S
47241.000	47311.000	106.000	602.160	450.723	0.000	0.000	0.517	0.687	0.094	0.060	1.200	subject611c1d098e97d	10S
47376.000	48792.000	1453.000	610.729	358.781	0.000	0.000	0.517	1.348	54.947	30.759	3.610	subject611c1d098e97d	10S
48862.000	50709.000	1880.000	347.876	393.898	0.000	0.000	0.517	0.667	55.547	22.167	5.364	subject611c1d098e97d	10S
50775.000	50980.000	231.000	667.924	430.795	0.000	0.000	0.517	0.348	0.309	0.508	0.629	subject611c1d098e97d	10S
51036.000	51064.000	56.000	686.024	423.126	0.000	0.000	0.517	0.337	0.000	0.224	0.251	subject611c1d098e97d	10S
51126.000	52010.000	934.000	455.613	439.801	0.000	0.000	0.517	1.436	23.141	27.184	2.757	subject611c1d098e97d	10S
52096.000	53822.000	1753.000	193.280	418.317	0.000	0.000	0.517	1.653	78.303	31.754	6.530	subject611c1d098e97d	10S
53881.000	53962.000	131.000	-33.607	387.924	0.000	0.000	0.517	0.384	0.280	0.519	0.337	subject611c1d098e97d	10S
54050.000	54613.000	596.000	23.434	334.151	0.000	0.000	0.517	0.413	4.291	2.990	2.879	subject611c1d098e97d	10S
54680.000	54851.000	200.000	91.024	410.762	0.000	0.000	0.517	0.177	0.098	0.489	0.383	subject611c1d098e97d	10S
54913.000	55364.000	484.000	172.648	378.882	0.000	0.000	0.517	0.557	6.223	4.687	2.376	subject611c1d098e97d	10S
