FixStart	FixEnd	FixDur	XPos	YPos	FlankedByDataLoss	Fraction Interpolated	WeightCutoff	RMSxy	BCEA	FixRangeX	FixRangeY	Participant	Trial
1.000	4714.000	4770.000	369.613	258.301	0.000	0.000	0.670	1.880	308.632	34.497	24.525	subject612252b1aa3c4	10R
4819.000	5396.000	635.000	996.615	704.627	0.000	0.000	0.670	0.704	1.501	2.791	3.663	subject612252b1aa3c4	10R
5508.000	19310.000	13847.000	425.994	332.995	0.000	0.000	0.670	1.933	118.577	33.480	10.087	subject612252b1aa3c4	10R
19404.000	19559.000	192.000	315.491	426.715	0.000	0.000	0.670	0.984	0.682	2.740	0.249	subject612252b1aa3c4	10R
19650.000	21709.000	2120.000	-1.622	466.655	0.000	0.000	0.670	0.715	22.490	7.676	4.954	subject612252b1aa3c4	10R
21816.000	21931.000	171.000	-41.840	413.700	0.000	0.000	0.670	0.298	0.271	0.601	0.360	subject612252b1aa3c4	10R
22040.000	22084.000	87.000	-17.507	410.643	0.000	0.000	0.670	0.444	0.000	0.438	0.070	subject612252b1aa3c4	10R
22177.000	22261.000	141.000	45.289	394.248	0.000	0.000	0.670	0.134	0.036	0.195	0.119	subject612252b1aa3c4	10R
22352.000	23052.000	750.000	139.647	395.043	0.000	0.000	0.670	0.386	0.611	1.988	0.679	subject612252b1aa3c4	10R
23148.000	23727.000	628.000	53.733	506.133	0.000	0.000	0.670	0.745	3.721	2.897	3.144	subject612252b1aa3c4	10R
23820.000	26794.000	3026.000	98.896	582.475	0.000	0.000	0.670	1.302	102.276	28.427	9.297	subject612252b1aa3c4	10R
26876.000	27819.000	991.000	-37.809	621.533	0.000	0.000	0.670	0.544	3.033	2.996	1.952	subject612252b1aa3c4	10R
27928.000	28570.000	685.000	-131.659	661.499	0.000	0.000	0.670	0.523	1.057	2.287	1.748	subject612252b1aa3c4	10R
28659.000	29282.000	666.000	-149.493	663.297	0.000	0.000	0.670	0.632	1.648	5.211	2.130	subject612252b1aa3c4	10R
29377.000	29970.000	638.000	-204.985	699.834	0.000	0.000	0.670	0.880	1.596	4.915	2.085	subject612252b1aa3c4	10R
30059.000	30279.000	266.000	-59.749	673.951	0.000	0.000	0.670	1.086	1.125	4.710	2.032	subject612252b1aa3c4	10R
30461.000	31395.000	965.000	32.008	409.197	0.000	0.000	0.670	0.630	6.801	3.231	7.289	subject612252b1aa3c4	10R
31473.000	31680.000	252.000	-59.124	401.223	0.000	0.000	0.670	0.736	1.642	1.515	1.529	subject612252b1aa3c4	10R
31778.000	31894.000	160.000	-112.047	438.003	0.000	0.000	0.670	0.164	0.058	0.180	0.225	subject612252b1aa3c4	10R
31968.000	35345.000	3419.000	294.728	370.037	0.000	0.000	0.670	2.068	514.658	48.843	21.555	subject612252b1aa3c4	10R
35428.000	35888.000	518.000	217.870	471.063	0.000	0.000	0.670	0.519	1.710	3.172	2.985	subject612252b1aa3c4	10R
35988.000	36030.000	86.000	106.163	566.364	0.000	0.000	0.670	0.454	0.000	0.209	0.403	subject612252b1aa3c4	10R
36101.000	37848.000	1792.000	315.913	483.742	0.000	0.000	0.670	1.639	177.361	30.101	10.843	subject612252b1aa3c4	10R
37935.000	39371.000	1500.000	694.499	736.257	0.000	0.000	0.670	1.516	131.296	13.577	14.534	subject612252b1aa3c4	10R
39468.000	40560.000	1134.000	437.417	609.518	0.000	0.000	0.670	2.304	124.275	38.204	6.707	subject612252b1aa3c4	10R
40638.000	40839.000	244.000	19.239	405.563	0.000	0.000	0.670	1.135	8.484	3.359	3.386	subject612252b1aa3c4	10R
40928.000	41077.000	196.000	-128.470	276.128	0.000	0.000	0.670	0.755	1.141	1.930	0.898	subject612252b1aa3c4	10R
41158.000	41668.000	546.000	-153.084	265.579	0.000	0.000	0.670	1.037	3.168	6.995	1.055	subject612252b1aa3c4	10R
41745.000	43129.000	1435.000	-43.428	189.270	0.000	0.000	0.670	0.878	12.282	6.898	5.323	subject612252b1aa3c4	10R
43228.000	43787.000	597.000	-88.331	402.647	0.000	0.000	0.670	1.375	32.575	10.099	4.334	subject612252b1aa3c4	10R
43888.000	44732.000	894.000	10.220	464.880	0.000	0.000	0.670	0.851	6.013	5.434	1.837	subject612252b1aa3c4	10R
44816.000	44958.000	188.000	119.792	450.737	0.000	0.000	0.670	0.861	0.476	1.486	0.278	subject612252b1aa3c4	10R
45044.000	45787.000	795.000	39.569	442.371	0.000	0.000	0.670	1.109	11.167	13.080	0.985	subject612252b1aa3c4	10R
45869.000	46291.000	469.000	-57.391	418.767	0.000	0.000	0.670	0.457	0.649	1.602	1.293	subject612252b1aa3c4	10R
46385.000	47176.000	833.000	-63.186	518.485	0.000	0.000	0.670	0.613	12.580	4.048	5.124	subject612252b1aa3c4	10R
47252.000	47434.000	235.000	-224.167	579.287	0.000	0.000	0.670	0.354	0.305	0.920	0.375	subject612252b1aa3c4	10R
47529.000	47572.000	87.000	-203.564	599.021	0.000	0.000	0.670	0.268	0.000	0.211	0.165	subject612252b1aa3c4	10R
47795.000	48719.000	957.000	-107.998	521.509	0.000	0.000	0.670	0.772	18.065	7.644	4.680	subject612252b1aa3c4	10R
48781.000	50401.000	1661.000	101.385	494.479	0.000	0.000	0.670	0.951	43.848	14.771	6.444	subject612252b1aa3c4	10R
50480.000	52078.000	1638.000	132.044	530.406	0.000	0.000	0.670	1.703	86.292	18.743	14.611	subject612252b1aa3c4	10R
52163.000	52361.000	254.000	297.653	396.302	0.000	0.000	0.670	0.956	2.945	2.623	1.955	subject612252b1aa3c4	10R
52469.000	52854.000	431.000	214.349	491.549	0.000	0.000	0.670	0.423	2.162	1.248	2.294	subject612252b1aa3c4	10R
52949.000	53166.000	265.000	217.332	533.712	0.000	0.000	0.670	0.303	0.116	0.367	0.368	subject612252b1aa3c4	10R
53257.000	56577.000	3362.000	588.885	656.643	0.000	0.000	0.670	1.146	118.129	20.854	11.702	subject612252b1aa3c4	10R
56648.000	58346.000	1742.000	399.403	535.407	0.000	0.000	0.670	1.719	62.145	25.731	6.044	subject612252b1aa3c4	10R
58445.000	58743.000	338.000	364.624	421.152	0.000	0.000	0.670	0.305	0.400	0.372	1.241	subject612252b1aa3c4	10R
58836.000	58879.000	86.000	300.319	461.379	0.000	0.000	0.670	0.737	0.000	0.496	0.545	subject612252b1aa3c4	10R
58973.000	60297.000	1364.000	225.995	497.630	0.000	0.000	0.670	1.555	57.570	25.568	8.558	subject612252b1aa3c4	10R
60378.000	60575.000	242.000	923.330	816.343	0.000	0.000	0.670	0.345	0.414	0.342	1.273	subject612252b1aa3c4	10R
60653.000	61994.000	1393.000	681.953	674.169	0.000	0.000	0.670	1.330	55.838	26.781	5.331	subject612252b1aa3c4	10R
62089.000	62438.000	396.000	133.397	590.542	0.000	0.000	0.670	0.693	1.421	3.680	1.952	subject612252b1aa3c4	10R
62529.000	62625.000	159.000	243.324	518.784	0.000	0.000	0.670	0.608	0.072	0.408	0.605	subject612252b1aa3c4	10R
62730.000	63971.000	1282.000	473.792	609.265	0.000	0.000	0.670	1.719	15.082	23.612	6.822	subject612252b1aa3c4	10R
64048.000	64222.000	217.000	861.398	699.036	0.000	0.000	0.670	0.391	0.485	0.777	0.825	subject612252b1aa3c4	10R
64307.000	64372.000	99.000	824.347	680.903	0.000	0.000	0.670	0.034	0.000	0.010	0.032	subject612252b1aa3c4	10R
64448.000	65424.000	1032.000	811.580	819.515	0.000	0.000	0.670	0.798	25.364	3.994	11.497	subject612252b1aa3c4	10R
65517.000	67967.000	2490.000	825.729	852.069	0.000	0.000	0.670	1.977	191.523	20.078	19.894	subject612252b1aa3c4	10R
1.000	1456.000	1536.000	373.962	309.142	0.000	0.000	0.653	1.352	176.459	20.112	20.839	subject612252b1aa3c4	10S
1603.000	2623.000	1069.000	203.636	29.437	0.000	0.000	0.653	0.565	3.032	6.329	1.250	subject612252b1aa3c4	10S
2722.000	5071.000	2393.000	556.246	60.651	0.000	0.000	0.653	0.457	16.384	15.912	2.193	subject612252b1aa3c4	10S
5162.000	6009.000	884.000	576.679	69.545	0.000	0.000	0.653	1.857	7.752	26.538	2.151	subject612252b1aa3c4	10S
