FixStart	FixEnd	FixDur	XPos	YPos	FlankedByDataLoss	Fraction Interpolated	WeightCutoff	RMSxy	BCEA	FixRangeX	FixRangeY	Participant	Trial
1.000	1464.000	1498.000	210.629	270.305	0.000	0.000	0.432	0.948	144.765	16.621	16.592	subject612358250f312	10I
1531.000	2026.000	523.000	353.532	33.251	0.000	0.000	0.432	0.594	8.192	1.996	6.690	subject612358250f312	10I
2079.000	5040.000	2987.000	470.137	129.602	0.000	0.000	0.432	0.712	86.842	14.468	11.631	subject612358250f312	10I
5091.000	5142.000	76.000	345.681	210.577	0.000	0.000	0.432	0.182	0.052	0.091	0.311	subject612358250f312	10I
5192.000	6075.000	911.000	505.253	326.034	0.000	0.000	0.432	0.756	21.003	15.702	2.666	subject612358250f312	10I
6131.000	6636.000	530.000	622.966	286.298	0.000	0.000	0.432	0.675	3.777	9.130	1.440	subject612358250f312	10I
6687.000	6744.000	88.000	561.971	285.313	0.000	0.000	0.432	0.135	0.010	0.123	0.076	subject612358250f312	10I
6805.000	11376.000	4603.000	548.259	328.010	0.000	0.000	0.432	0.443	41.229	10.305	8.572	subject612358250f312	10I
11441.000	11698.000	350.000	517.353	441.042	0.000	0.000	0.432	0.325	1.006	0.807	1.568	subject612358250f312	10I
11825.000	13082.000	1285.000	645.171	333.518	0.000	0.000	0.432	0.385	21.805	6.114	6.848	subject612358250f312	10I
13137.000	14573.000	1478.000	572.787	210.946	0.000	0.000	0.432	0.489	42.570	8.354	7.263	subject612358250f312	10I
14655.000	19749.000	5127.000	591.126	346.721	0.000	0.000	0.432	0.409	54.712	14.488	9.272	subject612358250f312	10I
19815.000	20298.000	512.000	519.202	417.013	0.000	0.000	0.432	0.343	1.879	2.624	2.115	subject612358250f312	10I
20353.000	21823.000	1500.000	619.185	423.780	0.000	0.000	0.432	0.396	38.254	7.220	7.440	subject612358250f312	10I
21885.000	22248.000	396.000	635.883	522.391	0.000	0.000	0.432	0.387	1.167	0.676	3.147	subject612358250f312	10I
22315.000	22414.000	134.000	639.478	453.895	0.000	0.000	0.432	0.203	0.020	0.105	0.346	subject612358250f312	10I
22481.000	22514.000	69.000	592.565	474.198	0.000	0.000	0.432	0.597	0.000	0.530	0.276	subject612358250f312	10I
22581.000	24702.000	2149.000	655.477	504.102	0.000	0.000	0.432	1.123	43.063	24.789	3.935	subject612358250f312	10I
24754.000	24997.000	272.000	523.876	483.399	0.000	0.000	0.432	0.270	0.875	0.821	1.401	subject612358250f312	10I
25058.000	26038.000	1008.000	694.144	191.568	0.000	0.000	0.432	0.726	53.154	10.159	15.177	subject612358250f312	10I
26093.000	26144.000	83.000	876.593	174.717	0.000	0.000	0.432	0.306	0.078	0.090	0.484	subject612358250f312	10I
26203.000	26567.000	395.000	889.146	151.201	0.000	0.000	0.432	0.342	0.329	1.219	0.854	subject612358250f312	10I
26625.000	27008.000	409.000	797.239	259.532	0.000	0.000	0.432	0.479	4.289	2.029	4.408	subject612358250f312	10I
27065.000	27283.000	247.000	831.674	275.499	0.000	0.000	0.432	0.384	0.290	0.958	0.592	subject612358250f312	10I
27344.000	29221.000	1904.000	735.189	415.060	0.000	0.000	0.432	0.484	55.880	11.283	9.167	subject612358250f312	10I
29273.000	29686.000	441.000	730.805	450.193	0.000	0.000	0.432	0.290	1.654	2.224	0.811	subject612358250f312	10I
29742.000	31814.000	2103.000	973.007	492.248	0.000	0.000	0.432	0.671	78.165	18.194	6.686	subject612358250f312	10I
31881.000	32489.000	636.000	853.168	664.232	0.000	0.000	0.432	1.048	25.272	16.883	3.257	subject612358250f312	10I
32548.000	32747.000	227.000	620.916	554.529	0.000	0.000	0.432	0.161	0.098	0.420	0.468	subject612358250f312	10I
32802.000	33430.000	656.000	485.534	578.509	0.000	0.000	0.432	0.410	5.610	5.133	1.962	subject612358250f312	10I
33486.000	33709.000	250.000	341.905	583.873	0.000	0.000	0.432	0.426	0.792	2.330	0.467	subject612358250f312	10I
33764.000	38033.000	4314.000	546.859	587.364	0.000	0.000	0.432	0.747	49.249	18.756	5.149	subject612358250f312	10I
38122.000	40172.000	2082.000	443.790	520.932	0.000	0.000	0.432	0.606	49.481	6.633	12.199	subject612358250f312	10I
40231.000	40328.000	124.000	478.338	567.148	0.000	0.000	0.432	0.240	0.074	0.141	0.549	subject612358250f312	10I
40383.000	40571.000	214.000	465.646	571.152	0.000	0.000	0.432	0.228	0.077	0.459	0.319	subject612358250f312	10I
40622.000	41576.000	985.000	412.928	597.071	0.000	0.000	0.432	0.256	3.747	2.417	2.803	subject612358250f312	10I
41634.000	41717.000	110.000	350.347	576.533	0.000	0.000	0.432	0.167	0.012	0.128	0.216	subject612358250f312	10I
41771.000	41885.000	142.000	375.624	566.438	0.000	0.000	0.432	0.209	0.034	0.291	0.414	subject612358250f312	10I
41943.000	43511.000	1593.000	455.047	559.691	0.000	0.000	0.432	0.455	22.071	7.336	7.344	subject612358250f312	10I
43561.000	44936.000	1401.000	525.971	473.082	0.000	0.000	0.432	0.566	124.793	12.376	14.112	subject612358250f312	10I
44990.000	46131.000	1169.000	649.282	114.690	0.000	0.000	0.432	0.404	6.219	6.880	3.013	subject612358250f312	10I
46187.000	46665.000	503.000	591.857	84.462	0.000	0.000	0.432	0.238	0.577	0.967	1.831	subject612358250f312	10I
46719.000	46778.000	87.000	636.104	126.774	0.000	0.000	0.432	0.203	0.049	0.272	0.133	subject612358250f312	10I
46831.000	47371.000	567.000	740.310	133.400	0.000	0.000	0.432	0.435	3.099	6.834	1.197	subject612358250f312	10I
47429.000	49641.000	2239.000	478.813	111.959	0.000	0.000	0.432	0.721	87.720	17.026	9.791	subject612358250f312	10I
