FixStart	FixEnd	FixDur	XPos	YPos	FlankedByDataLoss	Fraction Interpolated	WeightCutoff	RMSxy	BCEA	FixRangeX	FixRangeY	Participant	Trial
1.000	986.000	1018.000	1150.733	298.062	0.000	0.000	0.567	1.542	109.296	19.976	21.057	subject61239f9a80254	11S
1050.000	1148.000	137.000	1186.261	443.130	0.000	0.000	0.567	1.099	2.493	2.850	0.677	subject61239f9a80254	11S
1229.000	1424.000	227.000	1010.720	544.504	0.000	0.000	0.567	0.778	3.210	1.020	3.801	subject61239f9a80254	11S
1489.000	2768.000	1323.000	540.395	234.337	0.000	0.000	0.567	1.853	261.411	38.244	21.030	subject61239f9a80254	11S
2851.000	3339.000	520.000	106.872	113.665	0.000	0.000	0.567	0.652	7.889	5.240	3.502	subject61239f9a80254	11S
3403.000	4367.000	998.000	197.812	184.021	0.000	0.000	0.567	0.576	7.970	6.098	2.814	subject61239f9a80254	11S
4497.000	5044.000	588.000	581.142	190.131	0.000	0.000	0.567	0.550	4.697	4.992	4.751	subject61239f9a80254	11S
5120.000	5152.000	65.000	620.391	97.891	0.000	0.000	0.567	0.308	0.000	0.070	0.300	subject61239f9a80254	11S
5231.000	5419.000	227.000	671.301	81.339	0.000	0.000	0.567	0.409	0.349	0.736	0.527	subject61239f9a80254	11S
5498.000	5536.000	73.000	717.354	102.839	0.000	0.000	0.567	0.333	0.000	0.283	0.175	subject61239f9a80254	11S
5609.000	7183.000	1604.000	290.332	132.279	0.000	0.000	0.567	1.509	52.116	33.888	3.931	subject61239f9a80254	11S
7259.000	8127.000	922.000	494.368	113.257	0.000	0.000	0.567	0.688	11.177	13.666	2.094	subject61239f9a80254	11S
8226.000	8426.000	241.000	854.170	97.410	0.000	0.000	0.567	0.344	0.310	0.676	0.402	subject61239f9a80254	11S
8567.000	8808.000	283.000	763.568	87.214	0.000	0.000	0.567	0.217	0.116	0.835	0.191	subject61239f9a80254	11S
8899.000	10541.000	1676.000	419.672	100.700	0.000	0.000	0.567	1.906	23.196	31.749	1.522	subject61239f9a80254	11S
10628.000	10628.000	47.000	161.534	121.254	0.000	0.000	0.567	NaN	NaN	0.000	0.000	subject61239f9a80254	11S
10718.000	11100.000	416.000	295.861	115.860	0.000	0.000	0.567	0.553	1.580	4.724	0.960	subject61239f9a80254	11S
11164.000	11446.000	325.000	529.684	103.229	0.000	0.000	0.567	0.472	1.325	2.922	0.902	subject61239f9a80254	11S
11522.000	11619.000	131.000	499.224	86.740	0.000	0.000	0.567	0.493	0.379	0.665	0.431	subject61239f9a80254	11S
11696.000	11911.000	245.000	496.520	101.758	0.000	0.000	0.567	0.377	0.297	1.835	0.748	subject61239f9a80254	11S
11973.000	12567.000	631.000	651.770	172.997	0.000	0.000	0.567	0.562	9.991	5.290	2.764	subject61239f9a80254	11S
12641.000	14280.000	1686.000	757.564	126.598	0.000	0.000	0.567	1.422	42.040	33.725	2.086	subject61239f9a80254	11S
14378.000	14491.000	147.000	61.744	163.944	0.000	0.000	0.567	0.325	0.113	0.720	0.122	subject61239f9a80254	11S
14557.000	14730.000	206.000	155.590	153.111	0.000	0.000	0.567	0.481	0.548	1.915	0.405	subject61239f9a80254	11S
14804.000	14910.000	142.000	246.972	158.867	0.000	0.000	0.567	0.537	0.272	1.293	0.162	subject61239f9a80254	11S
14980.000	15722.000	777.000	348.350	123.091	0.000	0.000	0.567	0.476	4.422	6.798	1.351	subject61239f9a80254	11S
15788.000	16031.000	276.000	589.423	60.078	0.000	0.000	0.567	0.613	1.178	2.868	1.542	subject61239f9a80254	11S
16101.000	16266.000	205.000	666.863	81.250	0.000	0.000	0.567	0.184	0.084	0.145	0.727	subject61239f9a80254	11S
16338.000	16910.000	607.000	702.174	92.907	0.000	0.000	0.567	0.749	6.605	7.579	1.164	subject61239f9a80254	11S
16992.000	18209.000	1249.000	625.046	144.496	0.000	0.000	0.567	0.826	9.568	10.235	1.789	subject61239f9a80254	11S
18282.000	19067.000	825.000	529.702	134.698	0.000	0.000	0.567	1.715	20.153	27.355	1.010	subject61239f9a80254	11S
