FixStart	FixEnd	FixDur	XPos	YPos	FlankedByDataLoss	Fraction Interpolated	WeightCutoff	RMSxy	BCEA	FixRangeX	FixRangeY	Participant	Trial
1.000	30.000	55.000	858.672	345.744	0.000	0.000	0.410	2.429	0.000	2.326	0.699	subject6123b14feb4f1	11S
84.000	4420.000	4364.000	452.069	408.507	0.000	0.000	0.410	1.038	276.399	29.404	16.893	subject6123b14feb4f1	11S
4496.000	5931.000	1464.000	493.976	425.190	0.000	0.000	0.410	1.273	121.820	16.184	19.191	subject6123b14feb4f1	11S
6012.000	6852.000	870.000	755.098	516.880	0.000	0.000	0.410	0.892	35.294	15.230	10.959	subject6123b14feb4f1	11S
6912.000	6941.000	57.000	1050.663	608.285	0.000	0.000	0.410	0.092	0.000	0.085	0.036	subject6123b14feb4f1	11S
6997.000	8142.000	1169.000	555.176	596.336	0.000	0.000	0.410	0.902	160.782	18.069	11.068	subject6123b14feb4f1	11S
8193.000	8217.000	47.000	572.397	389.970	0.000	0.000	0.410	0.411	0.000	0.300	0.281	subject6123b14feb4f1	11S
8268.000	8542.000	300.000	543.898	425.236	0.000	0.000	0.410	0.279	0.213	0.724	0.381	subject6123b14feb4f1	11S
8597.000	8808.000	240.000	534.950	379.356	0.000	0.000	0.410	0.226	0.142	0.523	1.244	subject6123b14feb4f1	11S
8867.000	8951.000	107.000	586.396	336.939	0.000	0.000	0.410	0.406	0.402	0.993	0.237	subject6123b14feb4f1	11S
9002.000	9029.000	54.000	654.066	337.411	0.000	0.000	0.410	0.461	0.000	0.371	0.273	subject6123b14feb4f1	11S
9083.000	9230.000	183.000	645.286	356.724	0.000	0.000	0.410	0.157	0.051	0.407	0.121	subject6123b14feb4f1	11S
9295.000	9349.000	101.000	666.590	367.862	0.000	0.000	0.410	0.153	0.016	0.221	0.035	subject6123b14feb4f1	11S
9425.000	9454.000	58.000	645.569	374.716	0.000	0.000	0.410	0.191	0.000	0.003	0.191	subject6123b14feb4f1	11S
9508.000	9817.000	355.000	569.344	445.007	0.000	0.000	0.410	0.778	8.186	5.940	2.305	subject6123b14feb4f1	11S
9913.000	10723.000	838.000	304.140	558.558	0.000	0.000	0.410	0.679	18.080	4.643	4.686	subject6123b14feb4f1	11S
10776.000	10910.000	157.000	157.226	362.101	0.000	0.000	0.410	0.476	0.383	1.235	0.714	subject6123b14feb4f1	11S
10963.000	11300.000	364.000	184.196	383.900	0.000	0.000	0.410	0.338	0.704	2.046	0.634	subject6123b14feb4f1	11S
11355.000	11479.000	159.000	215.083	428.025	0.000	0.000	0.410	0.316	0.243	0.623	0.909	subject6123b14feb4f1	11S
11543.000	12420.000	906.000	396.468	603.098	0.000	0.000	0.410	0.569	13.432	11.207	6.336	subject6123b14feb4f1	11S
