FixStart	FixEnd	FixDur	XPos	YPos	FlankedByDataLoss	Fraction Interpolated	WeightCutoff	RMSxy	BCEA	FixRangeX	FixRangeY	Participant	Trial
101.000	55403.000	55370.000	640.457	766.743	0.000	0.000	0.841	1.596	201.642	35.746	26.611	subject6124d96aed78b	14S
202897.000	203883.000	1079.000	983.179	37.535	0.000	0.000	0.612	0.348	1.141	1.659	3.000	subject6124d96aed78b	1V
204055.000	205086.000	1117.000	941.032	49.160	0.000	0.000	0.612	0.129	0.167	0.321	0.845	subject6124d96aed78b	1V
179288.000	180340.000	1141.000	886.461	317.344	0.000	0.000	0.612	0.217	0.482	1.068	1.878	subject6124d96aed78b	1V
180502.000	181508.000	1088.000	891.580	334.905	0.000	0.000	0.612	0.082	0.122	0.988	0.452	subject6124d96aed78b	1V
183156.000	184378.000	1285.000	525.094	334.588	0.000	0.000	0.612	0.198	0.224	2.245	0.168	subject6124d96aed78b	1V
184506.000	185402.000	963.000	535.307	325.116	0.000	0.000	0.612	0.088	0.072	0.584	0.193	subject6124d96aed78b	1V
187057.000	188074.000	1095.000	175.225	590.611	0.000	0.000	0.612	0.238	0.901	0.435	2.575	subject6124d96aed78b	1V
188218.000	188285.000	158.000	190.070	603.990	0.000	0.000	0.612	0.083	0.000	0.006	0.082	subject6124d96aed78b	1V
188458.000	189292.000	901.000	187.440	625.097	0.000	0.000	0.612	0.064	0.054	0.113	0.612	subject6124d96aed78b	1V
190926.000	192019.000	1203.000	797.825	625.479	0.000	0.000	0.612	0.277	0.706	2.808	1.569	subject6124d96aed78b	1V
192212.000	193078.000	932.000	814.278	638.000	0.000	0.000	0.612	0.269	0.151	3.017	1.468	subject6124d96aed78b	1V
194736.000	195473.000	842.000	200.447	355.584	0.000	0.000	0.612	0.128	0.010	0.482	0.941	subject6124d96aed78b	1V
195696.000	195930.000	301.000	181.158	396.720	0.000	0.000	0.612	0.172	0.009	0.157	0.492	subject6124d96aed78b	1V
196087.000	197076.000	1084.000	204.599	425.036	0.000	0.000	0.612	0.244	1.197	1.580	1.838	subject6124d96aed78b	1V
198748.000	199645.000	964.000	223.409	136.509	0.000	0.000	0.612	0.138	0.044	1.097	0.422	subject6124d96aed78b	1V
199786.000	199862.000	140.000	229.158	137.353	0.000	0.000	0.612	0.018	0.000	0.001	0.018	subject6124d96aed78b	1V
200021.000	201188.000	1234.000	259.699	134.106	0.000	0.000	0.612	0.135	0.362	1.719	0.729	subject6124d96aed78b	1V
93.000	49629.000	49605.000	883.692	601.442	0.000	0.000	0.850	1.306	127.007	29.121	27.571	subject6124d96aed78b	2I
457500.000	458393.000	956.000	284.414	108.029	0.000	0.000	0.623	0.815	9.752	5.145	3.627	subject6124d96aed78b	2V
458519.000	458691.000	255.000	401.066	82.724	0.000	0.000	0.623	0.934	0.237	1.696	0.608	subject6124d96aed78b	2V
458839.000	459669.000	900.000	612.145	283.176	0.000	0.000	0.623	1.150	28.397	4.259	10.085	subject6124d96aed78b	2V
461305.000	462449.000	1229.000	587.931	203.880	0.000	0.000	0.623	1.105	5.197	2.358	14.794	subject6124d96aed78b	2V
462612.000	462612.000	64.000	668.066	412.605	0.000	0.000	0.623	NaN	NaN	0.000	0.000	subject6124d96aed78b	2V
462739.000	463544.000	902.000	575.283	561.736	0.000	0.000	0.623	0.512	1.184	3.429	4.366	subject6124d96aed78b	2V
465220.000	466210.000	1089.000	512.999	426.785	0.000	0.000	0.623	0.992	7.175	7.326	3.736	subject6124d96aed78b	2V
466392.000	466458.000	129.000	417.660	427.219	0.000	0.000	0.623	0.629	0.000	0.623	0.089	subject6124d96aed78b	2V
466586.000	467502.000	980.000	206.265	476.967	0.000	0.000	0.623	0.570	0.586	5.388	1.282	subject6124d96aed78b	2V
469132.000	471377.000	2312.000	81.414	4.644	0.000	0.000	0.623	0.239	1.594	1.600	3.432	subject6124d96aed78b	2V
473009.000	473954.000	1012.000	1073.879	-29.288	0.000	0.000	0.623	1.399	30.633	8.771	4.906	subject6124d96aed78b	2V
474085.000	474237.000	232.000	989.135	199.606	0.000	0.000	0.623	1.660	0.508	2.086	2.544	subject6124d96aed78b	2V
474429.000	475401.000	1039.000	630.953	508.828	0.000	0.000	0.623	1.600	35.170	13.525	6.126	subject6124d96aed78b	2V
477062.000	478344.000	1346.000	863.821	378.259	0.000	0.000	0.623	0.457	6.609	1.886	4.799	subject6124d96aed78b	2V
478502.000	479641.000	1216.000	745.076	382.009	0.000	0.000	0.623	0.150	0.214	1.688	0.473	subject6124d96aed78b	2V
481284.000	482342.000	1136.000	467.032	452.422	0.000	0.000	0.623	0.308	0.035	1.431	2.276	subject6124d96aed78b	2V
482487.000	482608.000	202.000	477.962	436.149	0.000	0.000	0.623	0.155	0.000	0.153	0.026	subject6124d96aed78b	2V
482776.000	483686.000	974.000	497.905	355.859	0.000	0.000	0.623	0.349	2.765	1.833	2.182	subject6124d96aed78b	2V
94.000	65169.000	65141.000	679.446	470.107	0.000	0.000	0.837	1.760	258.263	43.766	27.720	subject6124d96aed78b	3R
