FixStart	FixEnd	FixDur	XPos	YPos	FlankedByDataLoss	Fraction Interpolated	WeightCutoff	RMSxy	BCEA	FixRangeX	FixRangeY	Participant	Trial
1.000	1481.000	1509.000	293.646	466.265	0.000	0.000	0.478	1.142	84.078	20.898	17.081	subject6124ebc5a8196	10S
1599.000	1777.000	206.000	70.174	190.037	0.000	0.000	0.478	0.279	0.386	1.057	0.520	subject6124ebc5a8196	10S
1835.000	1946.000	141.000	105.379	232.801	0.000	0.000	0.478	0.264	0.246	0.521	0.546	subject6124ebc5a8196	10S
2003.000	2400.000	425.000	188.932	216.596	0.000	0.000	0.478	0.352	2.122	3.846	0.740	subject6124ebc5a8196	10S
2455.000	2753.000	331.000	316.687	272.304	0.000	0.000	0.478	0.258	0.396	1.899	1.420	subject6124ebc5a8196	10S
2814.000	2870.000	84.000	365.709	269.436	0.000	0.000	0.478	0.373	0.091	0.674	0.294	subject6124ebc5a8196	10S
2926.000	3129.000	233.000	403.726	232.170	0.000	0.000	0.478	0.291	0.454	1.377	0.436	subject6124ebc5a8196	10S
3187.000	3456.000	299.000	396.309	242.507	0.000	0.000	0.478	0.243	0.464	0.784	0.988	subject6124ebc5a8196	10S
3517.000	3602.000	112.000	441.851	292.048	0.000	0.000	0.478	0.374	0.159	0.795	0.717	subject6124ebc5a8196	10S
3666.000	3783.000	145.000	480.083	322.237	0.000	0.000	0.478	0.274	0.152	0.409	0.293	subject6124ebc5a8196	10S
3839.000	4066.000	261.000	526.506	333.232	0.000	0.000	0.478	0.469	1.858	1.449	1.976	subject6124ebc5a8196	10S
4133.000	5051.000	951.000	366.834	166.611	0.000	0.000	0.478	0.901	30.756	18.174	2.739	subject6124ebc5a8196	10S
5117.000	5589.000	507.000	213.226	258.577	0.000	0.000	0.478	0.613	4.957	4.623	4.325	subject6124ebc5a8196	10S
5659.000	5852.000	225.000	262.604	372.625	0.000	0.000	0.478	0.188	0.210	0.541	0.489	subject6124ebc5a8196	10S
5918.000	6185.000	295.000	222.025	294.500	0.000	0.000	0.478	0.458	1.174	0.509	2.878	subject6124ebc5a8196	10S
6240.000	6435.000	228.000	233.010	209.124	0.000	0.000	0.478	0.185	0.204	0.697	0.306	subject6124ebc5a8196	10S
6505.000	6602.000	130.000	236.177	184.019	0.000	0.000	0.478	0.278	0.071	0.225	0.348	subject6124ebc5a8196	10S
6668.000	7146.000	504.000	378.624	217.219	0.000	0.000	0.478	0.571	5.703	8.222	2.236	subject6124ebc5a8196	10S
7199.000	7251.000	81.000	567.373	318.866	0.000	0.000	0.478	0.329	0.091	0.426	0.433	subject6124ebc5a8196	10S
7328.000	8069.000	767.000	574.172	266.754	0.000	0.000	0.478	0.835	35.469	14.310	5.206	subject6124ebc5a8196	10S
8123.000	8286.000	198.000	136.612	230.734	0.000	0.000	0.478	0.322	0.541	0.477	0.919	subject6124ebc5a8196	10S
8356.000	8987.000	657.000	182.342	283.790	0.000	0.000	0.478	0.454	4.560	4.472	4.685	subject6124ebc5a8196	10S
9044.000	9230.000	220.000	59.248	379.942	0.000	0.000	0.478	0.233	0.107	0.558	0.221	subject6124ebc5a8196	10S
9294.000	9437.000	177.000	110.407	324.621	0.000	0.000	0.478	0.390	0.603	1.142	0.707	subject6124ebc5a8196	10S
9508.000	10596.000	1130.000	130.201	500.569	0.000	0.000	0.478	0.856	104.155	11.026	12.227	subject6124ebc5a8196	10S
10665.000	11191.000	553.000	308.552	297.523	0.000	0.000	0.478	0.484	6.143	4.622	2.026	subject6124ebc5a8196	10S
11251.000	11313.000	92.000	455.876	346.515	0.000	0.000	0.478	0.245	0.071	0.390	0.106	subject6124ebc5a8196	10S
11372.000	12331.000	986.000	478.675	317.113	0.000	0.000	0.478	0.396	13.923	5.432	4.576	subject6124ebc5a8196	10S
12383.000	12661.000	313.000	639.333	439.384	0.000	0.000	0.478	0.311	0.746	1.268	0.875	subject6124ebc5a8196	10S
12732.000	12885.000	179.000	562.283	417.337	0.000	0.000	0.478	0.224	0.160	0.583	0.375	subject6124ebc5a8196	10S
12934.000	13792.000	890.000	403.312	365.155	0.000	0.000	0.478	0.924	10.288	18.825	2.675	subject6124ebc5a8196	10S
