FixStart	FixEnd	FixDur	XPos	YPos	FlankedByDataLoss	Fraction Interpolated	WeightCutoff	RMSxy	BCEA	FixRangeX	FixRangeY	Participant	Trial
65.000	1550.000	1532.000	652.622	220.225	0.000	0.000	0.674	1.885	289.060	16.275	22.860	subject61266afc55085	10I
1647.000	1788.000	185.000	510.721	361.374	0.000	0.000	0.674	0.967	0.942	2.465	1.294	subject61266afc55085	10I
1878.000	2825.000	987.000	155.419	216.460	0.000	0.000	0.674	1.741	42.760	17.584	8.626	subject61266afc55085	10I
2900.000	4997.000	2149.000	95.399	289.315	0.000	0.000	0.674	1.891	159.061	16.549	16.531	subject61266afc55085	10I
5088.000	6311.000	1275.000	44.155	187.618	0.000	0.000	0.674	1.408	25.436	3.913	10.463	subject61266afc55085	10I
6409.000	8368.000	2004.000	207.279	187.130	0.000	0.000	0.674	1.741	45.921	8.102	15.258	subject61266afc55085	10I
8464.000	9061.000	648.000	489.368	56.185	0.000	0.000	0.674	1.278	24.549	11.289	6.912	subject61266afc55085	10I
9165.000	9989.000	876.000	181.803	-200.419	0.000	0.000	0.674	1.946	83.993	20.593	8.438	subject61266afc55085	10I
10083.000	11338.000	1305.000	451.018	-161.984	0.000	0.000	0.674	1.881	171.633	21.646	14.411	subject61266afc55085	10I
11439.000	12789.000	1403.000	408.317	-298.791	0.000	0.000	0.674	0.842	10.980	5.241	3.889	subject61266afc55085	10I
12886.000	14789.000	1945.000	107.068	-268.523	0.000	0.000	0.674	1.250	168.386	21.336	9.744	subject61266afc55085	10I
14874.000	16629.000	1810.000	164.442	-135.742	0.000	0.000	0.674	1.793	94.547	13.195	16.010	subject61266afc55085	10I
16735.000	18382.000	1693.000	108.421	-113.102	0.000	0.000	0.674	1.310	76.218	13.406	15.070	subject61266afc55085	10I
18520.000	18695.000	217.000	-38.983	-319.509	0.000	0.000	0.674	0.592	0.414	0.602	0.711	subject61266afc55085	10I
18776.000	19831.000	1118.000	299.156	-89.482	0.000	0.000	0.674	1.673	94.523	9.490	14.923	subject61266afc55085	10I
19945.000	23627.000	3745.000	352.522	-266.692	0.000	0.000	0.674	1.818	143.243	15.179	20.717	subject61266afc55085	10I
23737.000	24050.000	357.000	309.744	-248.303	0.000	0.000	0.674	0.593	2.136	2.032	1.416	subject61266afc55085	10I
24168.000	24362.000	242.000	374.399	-276.659	0.000	0.000	0.674	1.152	2.983	1.715	1.538	subject61266afc55085	10I
