FixStart	FixEnd	FixDur	XPos	YPos	FlankedByDataLoss	Fraction Interpolated	WeightCutoff	RMSxy	BCEA	FixRangeX	FixRangeY	Participant	Trial
1.000	1572.000	1601.000	488.236	486.984	0.000	0.000	0.543	1.369	99.546	25.063	7.137	subject612676e513f0b	10R
1639.000	4596.000	2989.000	337.846	311.599	0.000	0.000	0.543	0.842	68.956	19.128	11.090	subject612676e513f0b	10R
4653.000	5146.000	525.000	302.197	287.273	0.000	0.000	0.543	0.462	4.106	4.090	2.960	subject612676e513f0b	10R
5211.000	5469.000	286.000	256.680	251.329	0.000	0.000	0.543	0.357	0.546	1.692	0.426	subject612676e513f0b	10R
5521.000	5991.000	503.000	301.454	227.200	0.000	0.000	0.543	0.257	1.224	0.882	1.668	subject612676e513f0b	10R
6055.000	6267.000	239.000	385.458	195.292	0.000	0.000	0.543	0.553	1.334	2.197	0.680	subject612676e513f0b	10R
6324.000	6382.000	95.000	368.204	180.459	0.000	0.000	0.543	0.240	0.045	0.267	0.166	subject612676e513f0b	10R
6476.000	6566.000	118.000	392.939	180.435	0.000	0.000	0.543	0.250	0.063	0.370	0.104	subject612676e513f0b	10R
6622.000	7091.000	498.000	375.579	191.747	0.000	0.000	0.543	0.495	1.518	4.627	1.118	subject612676e513f0b	10R
7147.000	8929.000	1811.000	376.639	223.685	0.000	0.000	0.543	0.684	31.970	6.999	10.008	subject612676e513f0b	10R
8986.000	9078.000	127.000	494.713	148.310	0.000	0.000	0.543	0.326	0.207	0.736	0.462	subject612676e513f0b	10R
9149.000	9555.000	434.000	335.957	146.928	0.000	0.000	0.543	0.662	2.698	4.758	1.624	subject612676e513f0b	10R
9609.000	11231.000	1650.000	404.786	197.126	0.000	0.000	0.543	0.680	15.237	14.441	1.845	subject612676e513f0b	10R
11294.000	11600.000	333.000	415.004	178.919	0.000	0.000	0.543	0.425	1.418	1.797	1.073	subject612676e513f0b	10R
11654.000	11978.000	357.000	480.149	232.532	0.000	0.000	0.543	0.526	1.814	2.308	1.814	subject612676e513f0b	10R
12043.000	12273.000	270.000	404.475	221.576	0.000	0.000	0.543	0.648	0.840	2.494	0.972	subject612676e513f0b	10R
12347.000	12664.000	349.000	381.817	241.005	0.000	0.000	0.543	0.389	0.638	1.964	0.469	subject612676e513f0b	10R
12732.000	13178.000	485.000	332.282	239.445	0.000	0.000	0.543	0.703	3.565	5.848	1.739	subject612676e513f0b	10R
13271.000	13971.000	736.000	342.575	190.609	0.000	0.000	0.543	0.568	2.103	3.882	1.053	subject612676e513f0b	10R
14041.000	14389.000	396.000	309.942	236.182	0.000	0.000	0.543	0.253	0.150	0.640	0.325	subject612676e513f0b	10R
14469.000	14554.000	135.000	262.658	231.091	0.000	0.000	0.543	0.160	0.035	0.110	0.177	subject612676e513f0b	10R
14637.000	14885.000	300.000	304.618	204.386	0.000	0.000	0.543	0.400	0.543	0.612	0.935	subject612676e513f0b	10R
14987.000	15067.000	133.000	326.609	185.371	0.000	0.000	0.543	0.277	0.141	0.320	0.270	subject612676e513f0b	10R
15159.000	15745.000	644.000	293.203	211.723	0.000	0.000	0.543	0.475	0.616	2.207	0.546	subject612676e513f0b	10R
15838.000	17002.000	1214.000	379.342	181.240	0.000	0.000	0.543	0.609	2.994	6.043	1.053	subject612676e513f0b	10R
17082.000	17156.000	109.000	325.726	169.390	0.000	0.000	0.543	0.460	0.166	0.636	0.127	subject612676e513f0b	10R
17231.000	17352.000	160.000	376.003	170.392	0.000	0.000	0.543	0.437	0.395	0.692	0.443	subject612676e513f0b	10R
17429.000	18481.000	1105.000	406.426	230.417	0.000	0.000	0.543	0.495	5.873	3.376	4.441	subject612676e513f0b	10R
18584.000	18801.000	253.000	363.980	119.610	0.000	0.000	0.543	0.327	0.325	0.734	0.779	subject612676e513f0b	10R
18871.000	19227.000	390.000	400.715	130.000	0.000	0.000	0.543	0.412	1.136	2.359	0.693	subject612676e513f0b	10R
19295.000	19619.000	355.000	522.198	106.573	0.000	0.000	0.543	0.659	1.540	3.147	1.241	subject612676e513f0b	10R
19686.000	19932.000	280.000	640.521	151.704	0.000	0.000	0.543	0.539	0.860	0.945	0.785	subject612676e513f0b	10R
20004.000	21055.000	1087.000	420.001	148.579	0.000	0.000	0.543	0.665	4.380	8.688	1.218	subject612676e513f0b	10R
21131.000	21312.000	235.000	414.886	208.564	0.000	0.000	0.543	0.358	0.615	0.907	0.987	subject612676e513f0b	10R
21401.000	21478.000	132.000	352.003	237.346	0.000	0.000	0.543	0.426	0.145	0.338	0.661	subject612676e513f0b	10R
21576.000	21682.000	139.000	394.712	225.807	0.000	0.000	0.543	0.701	0.848	0.923	0.657	subject612676e513f0b	10R
21766.000	21882.000	156.000	429.724	189.024	0.000	0.000	0.543	0.381	0.227	0.490	0.382	subject612676e513f0b	10R
21962.000	22040.000	118.000	457.153	165.454	0.000	0.000	0.543	0.224	0.028	0.250	0.194	subject612676e513f0b	10R
22114.000	22565.000	484.000	417.728	131.498	0.000	0.000	0.543	0.466	1.464	1.873	1.019	subject612676e513f0b	10R
22630.000	22773.000	177.000	445.368	115.063	0.000	0.000	0.543	0.351	0.347	0.456	0.839	subject612676e513f0b	10R
22847.000	22988.000	169.000	473.662	85.413	0.000	0.000	0.543	0.332	0.105	0.631	0.144	subject612676e513f0b	10R
23065.000	23525.000	494.000	515.273	48.684	0.000	0.000	0.543	0.622	4.499	3.093	2.452	subject612676e513f0b	10R
23614.000	24384.000	833.000	419.721	137.024	0.000	0.000	0.543	0.464	1.747	1.842	1.709	subject612676e513f0b	10R
24493.000	24723.000	258.000	464.787	170.629	0.000	0.000	0.543	0.571	1.687	2.225	1.036	subject612676e513f0b	10R
24787.000	24901.000	148.000	563.440	140.986	0.000	0.000	0.543	0.334	0.280	0.432	0.573	subject612676e513f0b	10R
24964.000	25101.000	175.000	545.358	120.089	0.000	0.000	0.543	0.292	0.297	0.330	0.635	subject612676e513f0b	10R
25172.000	25580.000	449.000	469.424	102.433	0.000	0.000	0.543	0.555	1.740	2.680	0.822	subject612676e513f0b	10R
25653.000	26350.000	735.000	366.493	164.056	0.000	0.000	0.543	0.426	1.890	2.278	1.762	subject612676e513f0b	10R
26425.000	26720.000	335.000	426.149	182.052	0.000	0.000	0.543	0.506	0.502	0.768	0.817	subject612676e513f0b	10R
26805.000	27100.000	328.000	534.618	193.613	0.000	0.000	0.543	0.593	1.377	2.691	0.646	subject612676e513f0b	10R
27166.000	27736.000	599.000	466.633	207.484	0.000	0.000	0.543	0.462	1.305	1.545	1.373	subject612676e513f0b	10R
27804.000	28239.000	468.000	485.471	178.930	0.000	0.000	0.543	0.489	1.641	2.798	1.112	subject612676e513f0b	10R
28310.000	29365.000	1090.000	494.238	159.537	0.000	0.000	0.543	0.551	4.673	8.048	0.961	subject612676e513f0b	10R
29433.000	30352.000	973.000	341.038	152.427	0.000	0.000	0.543	0.643	10.104	9.724	2.400	subject612676e513f0b	10R
30436.000	32705.000	2294.000	387.254	228.581	0.000	0.000	0.543	0.762	96.147	12.443	11.872	subject612676e513f0b	10R
32775.000	32892.000	149.000	359.377	233.448	0.000	0.000	0.543	0.362	0.229	0.797	0.482	subject612676e513f0b	10R
32952.000	33912.000	990.000	417.549	183.841	0.000	0.000	0.543	0.570	5.903	5.698	2.172	subject612676e513f0b	10R
33975.000	34330.000	383.000	336.869	220.514	0.000	0.000	0.543	0.737	4.108	7.115	0.740	subject612676e513f0b	10R
34385.000	34481.000	130.000	170.256	215.833	0.000	0.000	0.543	0.310	0.111	0.426	0.254	subject612676e513f0b	10R
34543.000	34865.000	352.000	258.105	268.579	0.000	0.000	0.543	0.466	2.213	2.818	2.433	subject612676e513f0b	10R
34926.000	35136.000	235.000	422.249	299.783	0.000	0.000	0.543	0.631	1.593	3.815	0.842	subject612676e513f0b	10R
35191.000	36555.000	1394.000	528.618	350.933	0.000	0.000	0.543	0.453	13.650	7.115	5.803	subject612676e513f0b	10R
36616.000	36676.000	90.000	375.312	433.235	0.000	0.000	0.543	0.471	0.200	0.571	0.390	subject612676e513f0b	10R
36738.000	37260.000	549.000	443.915	363.936	0.000	0.000	0.543	0.509	3.147	2.154	2.326	subject612676e513f0b	10R
37315.000	37609.000	325.000	378.104	319.633	0.000	0.000	0.543	0.372	0.867	1.518	0.870	subject612676e513f0b	10R
37672.000	38093.000	449.000	295.126	347.304	0.000	0.000	0.543	0.707	4.964	2.293	6.366	subject612676e513f0b	10R
38150.000	38261.000	143.000	371.387	538.348	0.000	0.000	0.543	0.273	0.209	0.341	0.520	subject612676e513f0b	10R
38382.000	38449.000	101.000	399.993	524.433	0.000	0.000	0.543	0.099	0.010	0.121	0.059	subject612676e513f0b	10R
38509.000	38819.000	342.000	397.475	536.097	0.000	0.000	0.543	0.527	1.567	1.462	1.750	subject612676e513f0b	10R
38884.000	41140.000	2285.000	390.471	391.181	0.000	0.000	0.543	0.842	52.508	9.724	10.785	subject612676e513f0b	10R
41199.000	42233.000	1064.000	295.284	431.083	0.000	0.000	0.543	0.761	87.884	15.319	7.690	subject612676e513f0b	10R
