FixStart	FixEnd	FixDur	XPos	YPos	FlankedByDataLoss	Fraction Interpolated	WeightCutoff	RMSxy	BCEA	FixRangeX	FixRangeY	Participant	Trial
58.000	49542.000	49547.000	525.018	388.882	0.000	0.000	0.833	1.793	509.381	38.161	36.777	subject612b4a4a1e552	10S
63.000	154980.000	154980.000	619.977	779.378	0.000	0.000	0.849	1.306	188.356	33.333	33.477	subject612b4a4a1e552	11R
94.000	281677.000	281645.000	734.183	638.623	0.000	0.000	0.848	1.162	173.716	42.597	23.538	subject612b4a4a1e552	13R
65.000	72592.000	72586.000	546.260	663.198	0.000	0.000	0.837	1.800	380.767	38.774	28.205	subject612b4a4a1e552	14S
61.000	57420.000	57413.000	554.240	363.177	0.000	0.000	0.833	1.694	405.289	49.475	54.954	subject612b4a4a1e552	15S
60.000	57244.000	57247.000	495.476	568.277	0.000	0.000	0.849	1.196	154.966	32.056	28.958	subject612b4a4a1e552	1R
76.000	53671.000	53651.000	474.273	446.797	0.000	0.000	0.849	1.556	211.455	40.034	28.190	subject612b4a4a1e552	2R
605348.000	605854.000	571.000	260.555	394.387	0.000	0.000	0.634	0.399	1.118	1.766	1.308	subject612b4a4a1e552	2V
605993.000	606642.000	712.000	261.813	367.687	0.000	0.000	0.634	0.515	0.696	0.680	3.285	subject612b4a4a1e552	2V
608239.000	608798.000	625.000	635.687	456.870	0.000	0.000	0.634	0.918	6.464	5.492	1.710	subject612b4a4a1e552	2V
608916.000	609536.000	684.000	664.143	376.750	0.000	0.000	0.634	0.662	1.363	2.090	2.969	subject612b4a4a1e552	2V
611252.000	612025.000	835.000	1098.083	83.729	0.000	0.000	0.634	0.663	4.983	2.570	2.312	subject612b4a4a1e552	2V
612152.000	612661.000	587.000	1026.844	231.756	0.000	0.000	0.634	0.624	5.121	3.309	2.007	subject612b4a4a1e552	2V
614290.000	614934.000	710.000	339.528	708.948	0.000	0.000	0.634	0.293	0.401	1.371	0.507	subject612b4a4a1e552	2V
615064.000	615674.000	686.000	372.158	720.006	0.000	0.000	0.634	0.362	0.283	1.132	1.680	subject612b4a4a1e552	2V
617307.000	618059.000	831.000	1098.245	607.324	0.000	0.000	0.634	0.308	0.187	1.530	0.304	subject612b4a4a1e552	2V
618201.000	618656.000	519.000	1038.964	605.910	0.000	0.000	0.634	0.453	1.892	1.621	1.950	subject612b4a4a1e552	2V
620266.000	621782.000	1580.000	226.480	234.370	0.000	0.000	0.634	0.518	6.935	2.816	6.313	subject612b4a4a1e552	2V
623396.000	623958.000	627.000	1098.045	744.031	0.000	0.000	0.634	0.873	8.382	2.759	4.409	subject612b4a4a1e552	2V
624082.000	624772.000	751.000	958.781	696.648	0.000	0.000	0.634	0.799	0.823	3.321	2.972	subject612b4a4a1e552	2V
68.000	36935.000	36945.000	664.161	602.142	0.000	0.000	0.839	1.561	260.650	35.806	29.417	subject612b4a4a1e552	3I
1060138.000	1060530.000	453.000	256.345	58.106	0.000	0.000	0.620	0.272	0.628	1.131	0.628	subject612b4a4a1e552	3V
1060655.000	1061353.000	766.000	212.410	102.902	0.000	0.000	0.620	0.459	2.052	3.373	0.870	subject612b4a4a1e552	3V
1062967.000	1063466.000	563.000	1091.817	65.034	0.000	0.000	0.620	0.483	0.015	2.051	0.326	subject612b4a4a1e552	3V
1063591.000	1064324.000	799.000	992.238	94.052	0.000	0.000	0.620	0.650	2.009	3.745	0.708	subject612b4a4a1e552	3V
1065953.000	1066331.000	441.000	976.837	623.438	0.000	0.000	0.620	0.165	0.155	0.162	0.918	subject612b4a4a1e552	3V
1066455.000	1067291.000	897.000	948.384	593.393	0.000	0.000	0.620	0.137	0.323	0.769	0.659	subject612b4a4a1e552	3V
1068913.000	1069921.000	1072.000	252.622	412.721	0.000	0.000	0.620	0.295	1.357	1.476	1.964	subject612b4a4a1e552	3V
1070048.000	1070172.000	185.000	314.537	365.876	0.000	0.000	0.620	0.426	0.026	0.632	0.571	subject612b4a4a1e552	3V
1071773.000	1073094.000	1383.000	961.250	456.701	0.000	0.000	0.620	0.573	9.160	6.055	2.894	subject612b4a4a1e552	3V
1074703.000	1076036.000	1396.000	321.260	601.611	0.000	0.000	0.620	0.446	7.376	4.151	3.346	subject612b4a4a1e552	3V
1077650.000	1078212.000	625.000	580.669	585.335	0.000	0.000	0.620	0.228	0.685	1.050	0.879	subject612b4a4a1e552	3V
1078339.000	1078904.000	641.000	617.307	547.923	0.000	0.000	0.620	0.169	0.012	0.688	0.374	subject612b4a4a1e552	3V
1261166.000	1261665.000	563.000	1025.132	366.949	0.000	0.000	0.655	0.559	2.475	3.006	0.974	subject612b4a4a1e552	4V
1261792.000	1262355.000	628.000	993.624	437.840	0.000	0.000	0.655	0.436	0.879	0.720	2.004	subject612b4a4a1e552	4V
1263963.000	1264277.000	376.000	154.845	351.884	0.000	0.000	0.655	0.370	0.635	1.519	0.781	subject612b4a4a1e552	4V
1264404.000	1264589.000	247.000	232.204	359.937	0.000	0.000	0.655	0.386	0.047	1.071	0.428	subject612b4a4a1e552	4V
1264715.000	1265218.000	566.000	244.449	372.301	0.000	0.000	0.655	0.191	0.259	1.022	0.620	subject612b4a4a1e552	4V
1266841.000	1268126.000	1357.000	930.412	652.036	0.000	0.000	0.655	0.587	1.061	1.469	6.473	subject612b4a4a1e552	4V
1269737.000	1270380.000	710.000	591.849	439.297	0.000	0.000	0.655	0.210	0.527	1.251	0.551	subject612b4a4a1e552	4V
1270510.000	1271140.000	692.000	625.728	454.347	0.000	0.000	0.655	0.246	0.773	0.810	1.479	subject612b4a4a1e552	4V
1272800.000	1273415.000	693.000	986.914	16.225	0.000	0.000	0.655	0.422	0.500	1.261	1.358	subject612b4a4a1e552	4V
1273571.000	1274341.000	849.000	1025.171	-2.705	0.000	0.000	0.655	0.628	0.051	3.194	2.174	subject612b4a4a1e552	4V
1275978.000	1276624.000	709.000	228.324	553.557	0.000	0.000	0.655	0.517	1.253	3.520	1.630	subject612b4a4a1e552	4V
1276764.000	1276844.000	159.000	225.670	579.103	0.000	0.000	0.655	0.214	0.000	0.214	0.020	subject612b4a4a1e552	4V
1277000.000	1277389.000	453.000	264.631	571.592	0.000	0.000	0.655	0.153	0.015	0.749	0.162	subject612b4a4a1e552	4V
1279011.000	1279665.000	721.000	137.634	53.825	0.000	0.000	0.655	0.615	5.568	1.789	3.658	subject612b4a4a1e552	4V
1279791.000	1280329.000	617.000	253.224	73.653	0.000	0.000	0.655	0.332	0.716	1.560	1.010	subject612b4a4a1e552	4V
61.000	182024.000	182043.000	416.338	669.974	0.000	0.000	0.854	1.424	191.179	36.475	31.588	subject612b4a4a1e552	5I
1461175.000	1462638.000	1544.000	233.036	401.414	0.000	0.000	0.644	0.440	3.114	2.074	3.376	subject612b4a4a1e552	5V
1464276.000	1464920.000	722.000	141.507	89.064	0.000	0.000	0.644	0.304	0.375	1.253	1.126	subject612b4a4a1e552	5V
1465057.000	1465701.000	722.000	110.235	52.819	0.000	0.000	0.644	0.236	0.818	0.772	1.172	subject612b4a4a1e552	5V
1467338.000	1467952.000	675.000	944.036	328.056	0.000	0.000	0.644	0.740	4.952	1.407	4.376	subject612b4a4a1e552	5V
1468093.000	1468703.000	687.000	884.918	399.217	0.000	0.000	0.644	0.495	3.259	2.304	1.795	subject612b4a4a1e552	5V
1470329.000	1470958.000	723.000	508.928	384.483	0.000	0.000	0.644	0.430	1.606	1.090	1.638	subject612b4a4a1e552	5V
1471129.000	1471897.000	848.000	585.309	391.071	0.000	0.000	0.644	0.552	0.636	3.038	0.310	subject612b4a4a1e552	5V
1473527.000	1473902.000	452.000	146.793	589.092	0.000	0.000	0.644	0.317	0.399	0.856	1.154	subject612b4a4a1e552	5V
1474074.000	1474981.000	970.000	191.589	590.507	0.000	0.000	0.644	0.297	0.156	1.522	1.225	subject612b4a4a1e552	5V
1476592.000	1477126.000	598.000	928.460	84.737	0.000	0.000	0.644	0.409	0.460	1.852	0.331	subject612b4a4a1e552	5V
1477251.000	1477251.000	65.000	891.873	95.554	0.000	0.000	0.644	NaN	NaN	0.000	0.000	subject612b4a4a1e552	5V
1477393.000	1477912.000	580.000	867.298	49.937	0.000	0.000	0.644	0.427	2.123	1.335	2.371	subject612b4a4a1e552	5V
1479524.000	1480043.000	582.000	866.193	665.046	0.000	0.000	0.644	0.302	0.798	1.231	1.481	subject612b4a4a1e552	5V
1480169.000	1480819.000	723.000	892.088	683.995	0.000	0.000	0.644	0.252	0.695	1.375	0.825	subject612b4a4a1e552	5V
68.000	38631.000	38620.000	521.658	359.303	0.000	0.000	0.854	1.255	221.339	35.282	20.671	subject612b4a4a1e552	6I
60.000	27434.000	27424.000	603.106	379.930	0.000	0.000	0.840	1.834	354.293	41.169	23.495	subject612b4a4a1e552	6S
59.000	17963.000	17969.000	532.711	363.306	0.000	0.000	0.847	1.575	206.417	34.678	22.314	subject612b4a4a1e552	9I
