FixStart	FixEnd	FixDur	XPos	YPos	FlankedByDataLoss	Fraction Interpolated	WeightCutoff	RMSxy	BCEA	FixRangeX	FixRangeY	Participant	Trial
1.000	568.000	592.000	268.103	115.998	0.000	0.000	0.361	0.734	11.779	15.199	3.160	subject612de1b381c9a	11R
615.000	764.000	174.000	-18.872	97.015	0.000	0.000	0.361	0.315	0.412	1.117	0.467	subject612de1b381c9a	11R
812.000	4291.000	3504.000	113.566	80.528	0.000	0.000	0.361	0.452	22.627	12.919	3.475	subject612de1b381c9a	11R
4342.000	4853.000	536.000	169.522	97.482	0.000	0.000	0.361	0.338	1.098	5.881	1.051	subject612de1b381c9a	11R
4901.000	5027.000	150.000	271.697	100.174	0.000	0.000	0.361	0.230	0.219	0.755	0.337	subject612de1b381c9a	11R
5074.000	6652.000	1604.000	247.604	529.769	0.000	0.000	0.361	0.527	42.321	4.123	17.295	subject612de1b381c9a	11R
6702.000	6726.000	49.000	264.680	552.727	0.000	0.000	0.361	0.049	0.000	0.020	0.045	subject612de1b381c9a	11R
6773.000	6892.000	143.000	262.549	559.446	0.000	0.000	0.361	0.109	0.022	0.150	0.159	subject612de1b381c9a	11R
6944.000	7096.000	177.000	251.231	556.109	0.000	0.000	0.361	0.113	0.034	0.248	0.132	subject612de1b381c9a	11R
7144.000	7289.000	167.000	276.066	549.621	0.000	0.000	0.361	0.164	0.092	0.665	0.193	subject612de1b381c9a	11R
7337.000	7413.000	101.000	285.774	561.625	0.000	0.000	0.361	0.116	0.034	0.110	0.297	subject612de1b381c9a	11R
7462.000	8236.000	797.000	486.278	596.350	0.000	0.000	0.361	0.438	3.036	10.664	1.573	subject612de1b381c9a	11R
8285.000	9137.000	877.000	438.414	582.576	0.000	0.000	0.361	0.312	4.108	8.600	2.113	subject612de1b381c9a	11R
9185.000	9412.000	249.000	323.947	571.443	0.000	0.000	0.361	0.127	0.079	0.375	0.327	subject612de1b381c9a	11R
9456.000	9987.000	554.000	283.427	577.372	0.000	0.000	0.361	0.204	0.809	3.401	0.705	subject612de1b381c9a	11R
10034.000	10131.000	122.000	216.208	589.577	0.000	0.000	0.361	0.101	0.024	0.208	0.168	subject612de1b381c9a	11R
10182.000	10872.000	716.000	459.554	581.421	0.000	0.000	0.361	0.423	7.660	11.079	1.348	subject612de1b381c9a	11R
10923.000	11559.000	662.000	624.661	597.449	0.000	0.000	0.361	0.369	2.707	7.253	0.850	subject612de1b381c9a	11R
11609.000	12155.000	569.000	441.544	614.210	0.000	0.000	0.361	0.197	1.254	2.881	0.879	subject612de1b381c9a	11R
12201.000	12348.000	196.000	466.720	599.884	0.000	0.000	0.361	0.161	0.078	0.826	0.343	subject612de1b381c9a	11R
12423.000	13155.000	755.000	441.308	594.417	0.000	0.000	0.361	0.175	1.243	3.092	0.671	subject612de1b381c9a	11R
13201.000	14064.000	894.000	703.341	594.580	0.000	0.000	0.361	0.307	3.939	7.385	1.603	subject612de1b381c9a	11R
14128.000	14993.000	893.000	759.185	593.036	0.000	0.000	0.361	0.192	1.794	2.689	1.230	subject612de1b381c9a	11R
15060.000	17270.000	2234.000	463.452	584.113	0.000	0.000	0.361	0.440	8.434	16.419	0.683	subject612de1b381c9a	11R
17319.000	17420.000	126.000	443.104	578.283	0.000	0.000	0.361	0.083	0.028	0.272	0.106	subject612de1b381c9a	11R
17469.000	17555.000	110.000	423.533	581.311	0.000	0.000	0.361	0.129	0.003	0.337	0.143	subject612de1b381c9a	11R
17607.000	17706.000	123.000	394.961	589.687	0.000	0.000	0.361	0.130	0.032	0.368	0.135	subject612de1b381c9a	11R
17756.000	17974.000	241.000	375.832	611.630	0.000	0.000	0.361	0.118	0.149	0.288	0.814	subject612de1b381c9a	11R
18024.000	18972.000	971.000	665.746	635.861	0.000	0.000	0.361	0.417	1.914	13.022	0.929	subject612de1b381c9a	11R
19022.000	19074.000	77.000	815.157	638.306	0.000	0.000	0.361	0.174	0.044	0.075	0.317	subject612de1b381c9a	11R
19123.000	19147.000	49.000	836.608	629.472	0.000	0.000	0.361	0.204	0.000	0.198	0.052	subject612de1b381c9a	11R
19198.000	19325.000	152.000	860.496	622.732	0.000	0.000	0.361	0.129	0.044	0.339	0.170	subject612de1b381c9a	11R
19373.000	19422.000	73.000	832.647	620.121	0.000	0.000	0.361	0.229	0.041	0.434	0.115	subject612de1b381c9a	11R
19470.000	20143.000	697.000	445.049	615.563	0.000	0.000	0.361	0.681	8.104	15.966	0.956	subject612de1b381c9a	11R
20191.000	20389.000	220.000	300.814	647.185	0.000	0.000	0.361	0.212	0.230	1.445	0.194	subject612de1b381c9a	11R
20435.000	20658.000	246.000	384.204	645.556	0.000	0.000	0.361	0.255	0.339	2.023	0.402	subject612de1b381c9a	11R
20707.000	20782.000	100.000	414.449	626.485	0.000	0.000	0.361	0.097	0.012	0.161	0.158	subject612de1b381c9a	11R
20831.000	20928.000	121.000	418.264	623.442	0.000	0.000	0.361	0.063	0.005	0.029	0.187	subject612de1b381c9a	11R
21027.000	21196.000	194.000	459.365	629.212	0.000	0.000	0.361	0.127	0.097	0.399	0.227	subject612de1b381c9a	11R
21246.000	22042.000	820.000	337.313	663.785	0.000	0.000	0.361	0.244	3.749	4.929	1.134	subject612de1b381c9a	11R
22088.000	22135.000	71.000	367.530	628.933	0.000	0.000	0.361	0.167	0.010	0.311	0.053	subject612de1b381c9a	11R
22184.000	22385.000	228.000	402.015	625.853	0.000	0.000	0.361	0.220	0.256	1.474	0.262	subject612de1b381c9a	11R
22436.000	22610.000	201.000	456.759	636.373	0.000	0.000	0.361	0.127	0.077	0.336	0.261	subject612de1b381c9a	11R
22662.000	22805.000	165.000	418.320	650.429	0.000	0.000	0.361	0.140	0.047	0.568	0.156	subject612de1b381c9a	11R
22860.000	22962.000	127.000	440.505	645.460	0.000	0.000	0.361	0.142	0.052	0.497	0.104	subject612de1b381c9a	11R
23012.000	23124.000	146.000	456.497	662.161	0.000	0.000	0.361	0.131	0.044	0.180	0.298	subject612de1b381c9a	11R
23211.000	23398.000	223.000	450.034	666.327	0.000	0.000	0.361	0.087	0.019	0.142	0.145	subject612de1b381c9a	11R
23462.000	24006.000	572.000	381.335	662.207	0.000	0.000	0.361	0.227	0.701	2.426	0.597	subject612de1b381c9a	11R
24058.000	24326.000	292.000	420.634	643.111	0.000	0.000	0.361	0.204	0.425	1.269	0.518	subject612de1b381c9a	11R
24396.000	24829.000	455.000	379.207	684.141	0.000	0.000	0.361	0.143	0.600	0.896	1.096	subject612de1b381c9a	11R
24875.000	26471.000	1622.000	523.113	716.803	0.000	0.000	0.361	0.316	5.645	8.521	3.201	subject612de1b381c9a	11R
26519.000	26710.000	212.000	356.961	681.592	0.000	0.000	0.361	0.236	0.246	0.743	0.411	subject612de1b381c9a	11R
26806.000	26902.000	121.000	334.677	675.387	0.000	0.000	0.361	0.113	0.018	0.135	0.191	subject612de1b381c9a	11R
26952.000	27250.000	320.000	364.952	687.807	0.000	0.000	0.361	0.184	0.496	1.597	0.666	subject612de1b381c9a	11R
27294.000	27417.000	148.000	422.326	684.017	0.000	0.000	0.361	0.204	0.135	0.725	0.191	subject612de1b381c9a	11R
27465.000	27513.000	72.000	447.726	675.129	0.000	0.000	0.361	0.103	0.006	0.159	0.064	subject612de1b381c9a	11R
27561.000	30640.000	3104.000	278.779	176.129	0.000	0.000	0.361	0.624	220.866	21.420	22.078	subject612de1b381c9a	11R
