FixStart	FixEnd	FixDur	XPos	YPos	FlankedByDataLoss	Fraction Interpolated	WeightCutoff	RMSxy	BCEA	FixRangeX	FixRangeY	Participant	Trial
68.000	897.000	852.000	462.771	235.562	0.000	0.000	0.327	1.119	44.494	29.951	6.246	subject612e34bd1e60d	11S
946.000	1458.000	538.000	51.518	156.334	0.000	0.000	0.327	0.346	2.599	0.821	5.216	subject612e34bd1e60d	11S
1510.000	2082.000	598.000	206.268	-3.883	0.000	0.000	0.327	0.326	5.319	6.496	0.938	subject612e34bd1e60d	11S
2132.000	2574.000	463.000	402.755	21.065	0.000	0.000	0.327	0.284	1.073	4.809	0.413	subject612e34bd1e60d	11S
2620.000	3923.000	1328.000	582.159	114.698	0.000	0.000	0.327	0.461	83.313	13.735	7.742	subject612e34bd1e60d	11S
3974.000	4024.000	72.000	929.496	57.164	0.000	0.000	0.327	0.119	0.002	0.212	0.072	subject612e34bd1e60d	11S
4096.000	4998.000	926.000	467.420	66.297	0.000	0.000	0.327	1.176	40.285	34.881	1.780	subject612e34bd1e60d	11S
5045.000	8752.000	3730.000	560.208	117.161	0.000	0.000	0.327	0.758	116.616	30.712	7.384	subject612e34bd1e60d	11S
8824.000	10675.000	1876.000	457.739	105.362	0.000	0.000	0.327	0.864	21.924	29.457	1.605	subject612e34bd1e60d	11S
10724.000	11645.000	945.000	586.272	173.006	0.000	0.000	0.327	0.975	28.948	28.543	1.761	subject612e34bd1e60d	11S
11694.000	12761.000	1091.000	499.853	219.303	0.000	0.000	0.327	0.631	86.381	22.066	5.632	subject612e34bd1e60d	11S
12810.000	13720.000	934.000	450.937	140.021	0.000	0.000	0.327	1.123	112.584	30.490	6.184	subject612e34bd1e60d	11S
13767.000	16274.000	2528.000	477.567	207.459	0.000	0.000	0.327	0.752	56.889	22.799	5.586	subject612e34bd1e60d	11S
16320.000	17195.000	902.000	436.814	228.386	0.000	0.000	0.327	1.138	35.545	33.809	1.686	subject612e34bd1e60d	11S
17246.000	18037.000	816.000	39.177	353.056	0.000	0.000	0.327	0.465	18.846	5.370	6.197	subject612e34bd1e60d	11S
18085.000	18247.000	187.000	-80.093	283.360	0.000	0.000	0.327	0.144	0.040	0.193	0.234	subject612e34bd1e60d	11S
18299.000	21294.000	3020.000	349.549	266.865	0.000	0.000	0.327	0.609	22.647	29.039	1.532	subject612e34bd1e60d	11S
21363.000	21461.000	119.000	47.182	264.144	0.000	0.000	0.327	0.103	0.027	0.220	0.098	subject612e34bd1e60d	11S
21507.000	21656.000	174.000	51.110	250.587	0.000	0.000	0.327	0.141	0.102	0.259	0.507	subject612e34bd1e60d	11S
21706.000	22936.000	1255.000	258.118	354.309	0.000	0.000	0.327	0.390	35.812	13.528	5.604	subject612e34bd1e60d	11S
22985.000	23626.000	666.000	443.873	341.462	0.000	0.000	0.327	0.151	1.103	2.482	1.348	subject612e34bd1e60d	11S
23674.000	24893.000	1243.000	417.001	382.377	0.000	0.000	0.327	0.367	25.884	11.176	3.542	subject612e34bd1e60d	11S
24942.000	25763.000	847.000	483.628	360.102	0.000	0.000	0.327	0.928	12.382	24.846	4.025	subject612e34bd1e60d	11S
25815.000	27381.000	1592.000	523.018	391.794	0.000	0.000	0.327	0.431	24.685	24.224	2.472	subject612e34bd1e60d	11S
27433.000	28377.000	970.000	563.061	395.891	0.000	0.000	0.327	1.205	27.634	34.538	3.073	subject612e34bd1e60d	11S
28449.000	28961.000	535.000	288.788	364.698	0.000	0.000	0.327	0.444	5.272	8.244	0.969	subject612e34bd1e60d	11S
29033.000	29174.000	166.000	389.417	368.085	0.000	0.000	0.327	0.048	0.005	0.102	0.057	subject612e34bd1e60d	11S
29224.000	30649.000	1449.000	480.095	379.491	0.000	0.000	0.327	0.872	39.668	27.517	2.735	subject612e34bd1e60d	11S
30721.000	31624.000	924.000	224.719	474.188	0.000	0.000	0.327	0.389	11.687	7.632	2.243	subject612e34bd1e60d	11S
31671.000	31793.000	155.000	141.731	514.153	0.000	0.000	0.327	0.072	0.022	0.130	0.134	subject612e34bd1e60d	11S
31854.000	32132.000	301.000	151.082	517.234	0.000	0.000	0.327	0.125	0.061	0.406	0.236	subject612e34bd1e60d	11S
