FixStart	FixEnd	FixDur	XPos	YPos	FlankedByDataLoss	Fraction Interpolated	WeightCutoff	RMSxy	BCEA	FixRangeX	FixRangeY	Participant	Trial
85.000	56662.000	56637.000	584.288	464.905	0.000	0.000	0.546	3.014	476.853	43.355	36.302	subject612e3c003e111	11S
99.000	85245.000	85225.000	393.175	559.997	0.000	0.000	0.543	1.861	263.626	42.115	27.355	subject612e3c003e111	13I
79.000	7056.000	7045.000	377.075	291.988	1.000	0.000	0.575	4.180	813.809	72.856	37.328	subject612e3c003e111	14I
7322.000	55456.000	48213.000	602.755	343.743	0.000	0.000	0.575	2.853	415.802	66.291	38.138	subject612e3c003e111	14I
93.000	12196.000	12185.000	515.088	300.511	0.000	0.000	0.614	3.091	487.491	40.594	31.177	subject612e3c003e111	14S
81.000	22090.000	22102.000	381.706	403.130	1.000	0.004	0.604	4.443	286.667	63.769	20.292	subject612e3c003e111	15I
22679.000	23533.000	929.000	-51.434	104.120	1.000	0.000	0.604	11.485	230.881	54.144	7.578	subject612e3c003e111	15I
24108.000	31966.000	7933.000	485.673	286.932	1.000	0.000	0.604	4.502	185.332	54.455	34.686	subject612e3c003e111	15I
32629.000	62676.000	30133.000	367.830	363.624	0.000	0.000	0.604	2.796	299.106	37.322	32.937	subject612e3c003e111	15I
84.000	59260.000	59269.000	326.246	435.527	0.000	0.000	0.552	2.216	252.662	43.490	38.262	subject612e3c003e111	1I
83.000	20451.000	20450.000	533.175	264.072	0.000	0.000	0.588	3.005	530.229	45.115	31.797	subject612e3c003e111	1S
100.000	14957.000	14930.000	471.424	318.962	0.000	0.000	0.603	2.967	375.744	42.044	29.060	subject612e3c003e111	2S
461821.000	481470.000	19725.000	423.884	402.202	0.000	0.000	0.622	3.171	295.509	29.609	17.564	subject612e3c003e111	2V
746446.000	766370.000	20002.000	468.124	421.322	0.000	0.000	0.620	4.128	365.333	26.762	19.642	subject612e3c003e111	3V
915977.000	935513.000	19629.000	604.812	262.212	0.000	0.000	0.623	4.018	347.586	29.479	22.769	subject612e3c003e111	4V
89.000	76117.000	76142.000	430.468	315.456	1.000	0.000	0.552	2.345	208.652	60.869	44.582	subject612e3c003e111	5I
76929.000	117634.000	40794.000	327.016	311.977	0.000	0.000	0.552	2.940	305.804	47.111	28.680	subject612e3c003e111	5I
88.000	23688.000	23695.000	396.746	468.442	0.000	0.000	0.584	3.503	685.394	49.962	31.220	subject612e3c003e111	5S
1172296.000	1191964.000	19759.000	595.605	257.345	0.000	0.000	0.621	3.548	539.973	31.341	25.031	subject612e3c003e111	5V
88.000	27585.000	27584.000	447.903	314.321	0.000	0.000	0.575	2.955	486.305	39.389	30.501	subject612e3c003e111	8S
84.000	27954.000	27959.000	371.666	245.670	0.000	0.000	0.576	2.608	220.863	43.211	28.807	subject612e3c003e111	9I
