FixStart	FixEnd	FixDur	XPos	YPos	FlankedByDataLoss	Fraction Interpolated	WeightCutoff	RMSxy	BCEA	FixRangeX	FixRangeY	Participant	Trial
1.000	2553.000	2584.000	785.048	201.476	0.000	0.000	0.526	2.225	452.930	44.606	23.800	subject612e450524e12	11I
2617.000	6010.000	3427.000	771.573	558.419	0.000	0.000	0.526	0.944	111.237	11.929	15.714	subject612e450524e12	11I
6077.000	7201.000	1157.000	1059.667	521.089	0.000	0.000	0.526	0.932	78.264	10.960	9.061	subject612e450524e12	11I
7266.000	7787.000	554.000	967.345	575.149	0.000	0.000	0.526	1.070	14.272	6.854	7.409	subject612e450524e12	11I
7853.000	7888.000	67.000	876.293	645.037	0.000	0.000	0.526	0.369	0.000	0.254	0.268	subject612e450524e12	11I
7952.000	8367.000	449.000	928.531	421.050	0.000	0.000	0.526	0.767	4.432	2.193	6.326	subject612e450524e12	11I
8434.000	9210.000	809.000	968.282	704.651	0.000	0.000	0.526	0.874	28.501	5.101	8.682	subject612e450524e12	11I
9276.000	10516.000	1271.000	872.535	682.053	0.000	0.000	0.526	0.807	43.081	7.961	7.641	subject612e450524e12	11I
10578.000	10672.000	124.000	1019.595	756.346	0.000	0.000	0.526	0.395	0.138	0.141	0.753	subject612e450524e12	11I
10735.000	12068.000	1362.000	1016.639	625.646	0.000	0.000	0.526	0.922	69.301	7.128	11.616	subject612e450524e12	11I
12129.000	12958.000	859.000	887.555	666.456	0.000	0.000	0.526	0.858	20.927	5.477	7.109	subject612e450524e12	11I
13019.000	13310.000	325.000	969.492	452.160	0.000	0.000	0.526	0.627	3.351	1.223	2.530	subject612e450524e12	11I
13378.000	14846.000	1504.000	938.017	242.437	0.000	0.000	0.526	0.892	60.907	11.237	9.833	subject612e450524e12	11I
14912.000	15910.000	1030.000	908.164	487.304	0.000	0.000	0.526	0.784	58.667	8.444	9.376	subject612e450524e12	11I
15976.000	16187.000	246.000	862.602	635.711	0.000	0.000	0.526	0.307	0.497	0.632	0.822	subject612e450524e12	11I
16254.000	16521.000	308.000	903.296	647.405	0.000	0.000	0.526	0.408	0.352	0.714	0.666	subject612e450524e12	11I
16602.000	16642.000	80.000	962.955	653.129	0.000	0.000	0.526	0.487	0.000	0.394	0.287	subject612e450524e12	11I
16714.000	17397.000	713.000	730.782	613.434	0.000	0.000	0.526	0.701	7.613	10.280	3.057	subject612e450524e12	11I
17460.000	17617.000	186.000	646.722	630.201	0.000	0.000	0.526	0.480	0.645	0.928	0.624	subject612e450524e12	11I
17677.000	19239.000	1593.000	946.608	511.644	0.000	0.000	0.526	0.899	97.239	14.165	9.072	subject612e450524e12	11I
19307.000	20210.000	934.000	955.166	378.342	0.000	0.000	0.526	0.872	17.981	3.832	11.562	subject612e450524e12	11I
20272.000	20368.000	128.000	848.551	528.396	0.000	0.000	0.526	0.920	0.617	0.448	1.912	subject612e450524e12	11I
20432.000	20501.000	102.000	861.557	551.057	0.000	0.000	0.526	0.162	0.009	0.296	0.020	subject612e450524e12	11I
20565.000	21030.000	496.000	971.113	533.184	0.000	0.000	0.526	0.877	9.063	8.196	2.212	subject612e450524e12	11I
21092.000	21185.000	126.000	1176.665	503.477	0.000	0.000	0.526	0.827	0.948	0.937	1.029	subject612e450524e12	11I
21248.000	22682.000	1468.000	1129.117	323.402	0.000	0.000	0.526	1.073	137.415	16.957	12.560	subject612e450524e12	11I
22750.000	23389.000	671.000	1270.035	115.466	0.000	0.000	0.526	1.439	27.644	21.792	3.136	subject612e450524e12	11I
23457.000	27341.000	3916.000	721.169	230.795	0.000	0.000	0.526	1.176	163.337	24.475	16.099	subject612e450524e12	11I
27405.000	28298.000	928.000	879.746	211.722	0.000	0.000	0.526	0.680	22.420	5.323	10.596	subject612e450524e12	11I
28365.000	28906.000	572.000	568.637	396.815	0.000	0.000	0.526	0.682	6.625	7.166	1.540	subject612e450524e12	11I
28971.000	29104.000	166.000	561.201	435.876	0.000	0.000	0.526	0.381	0.065	0.749	0.211	subject612e450524e12	11I
29173.000	29696.000	553.000	699.537	318.416	0.000	0.000	0.526	0.807	15.207	3.361	9.277	subject612e450524e12	11I
29757.000	29852.000	128.000	670.231	127.394	0.000	0.000	0.526	0.233	0.082	0.235	0.339	subject612e450524e12	11I
29916.000	30113.000	230.000	639.801	109.044	0.000	0.000	0.526	0.406	0.619	1.080	0.913	subject612e450524e12	11I
30179.000	30284.000	140.000	713.292	118.455	0.000	0.000	0.526	0.659	0.127	0.190	1.144	subject612e450524e12	11I
30352.000	32004.000	1685.000	623.540	237.352	0.000	0.000	0.526	0.702	39.368	12.282	5.846	subject612e450524e12	11I
32070.000	35252.000	3215.000	659.350	172.094	0.000	0.000	0.526	0.946	83.126	18.393	10.194	subject612e450524e12	11I
35321.000	35458.000	171.000	688.506	198.545	0.000	0.000	0.526	0.884	0.820	1.979	0.659	subject612e450524e12	11I
35521.000	36112.000	625.000	734.029	299.029	0.000	0.000	0.526	0.711	13.715	4.785	5.423	subject612e450524e12	11I
36178.000	36538.000	391.000	648.148	333.588	0.000	0.000	0.526	0.730	4.162	3.133	2.393	subject612e450524e12	11I
36601.000	36897.000	327.000	610.565	378.265	0.000	0.000	0.526	0.894	3.078	1.962	2.309	subject612e450524e12	11I
36961.000	37518.000	593.000	656.344	251.627	0.000	0.000	0.526	0.809	9.061	3.773	5.137	subject612e450524e12	11I
37586.000	37650.000	97.000	758.925	232.564	0.000	0.000	0.526	1.140	2.392	1.132	1.423	subject612e450524e12	11I
37718.000	37913.000	226.000	864.966	222.143	0.000	0.000	0.526	0.662	1.899	2.700	0.641	subject612e450524e12	11I
