FixStart	FixEnd	FixDur	XPos	YPos	FlankedByDataLoss	Fraction Interpolated	WeightCutoff	RMSxy	BCEA	FixRangeX	FixRangeY	Participant	Trial
1.000	106159.000	106230.000	553.455	1058.763	0.000	0.000	0.850	1.964	334.006	44.636	38.638	subject612e4c6c9e41d	10I
68.000	45341.000	45332.000	258.775	416.407	0.000	0.000	0.818	2.463	317.571	49.648	31.755	subject612e4c6c9e41d	10S
1.000	80594.000	80668.000	821.153	730.792	0.000	0.000	0.829	1.511	252.489	30.825	26.568	subject612e4c6c9e41d	12I
73.000	45064.000	45063.000	543.558	256.161	0.000	0.000	0.808	2.274	555.695	39.022	33.336	subject612e4c6c9e41d	12S
76.000	167416.000	167424.000	646.691	795.201	0.000	0.000	0.831	1.449	432.321	51.082	44.585	subject612e4c6c9e41d	13I
90.000	37744.000	37718.000	698.385	653.067	0.000	0.000	0.813	2.342	489.588	39.096	37.951	subject612e4c6c9e41d	13S
158824.000	159446.000	705.000	1154.177	80.373	0.000	0.000	0.635	0.735	2.661	2.766	1.474	subject612e4c6c9e41d	1V
159595.000	160243.000	729.000	975.755	27.641	0.000	0.000	0.635	0.527	3.857	2.628	2.502	subject612e4c6c9e41d	1V
139901.000	140585.000	756.000	51.882	730.532	0.000	0.000	0.635	0.649	4.115	3.687	1.329	subject612e4c6c9e41d	1V
140740.000	141431.000	740.000	75.950	803.356	0.000	0.000	0.635	0.435	0.650	0.959	2.144	subject612e4c6c9e41d	1V
143062.000	143696.000	719.000	392.227	97.051	0.000	0.000	0.635	0.423	0.130	2.133	1.534	subject612e4c6c9e41d	1V
143855.000	144475.000	691.000	295.014	10.585	0.000	0.000	0.635	0.905	6.965	5.631	3.519	subject612e4c6c9e41d	1V
146148.000	147705.000	1636.000	1157.712	412.293	0.000	0.000	0.635	0.604	5.958	3.696	3.015	subject612e4c6c9e41d	1V
149356.000	149850.000	577.000	672.487	511.244	0.000	0.000	0.635	0.216	0.207	1.004	0.199	subject612e4c6c9e41d	1V
