FixStart	FixEnd	FixDur	XPos	YPos	FlankedByDataLoss	Fraction Interpolated	WeightCutoff	RMSxy	BCEA	FixRangeX	FixRangeY	Participant	Trial
55.000	2303.000	2300.000	121.842	197.463	0.000	0.000	0.682	1.784	90.341	36.179	15.603	subject612e6114dece4	11S
2420.000	2803.000	434.000	265.198	155.115	0.000	0.000	0.682	0.776	3.345	4.476	1.335	subject612e6114dece4	11S
2902.000	3320.000	468.000	309.978	141.689	0.000	0.000	0.682	0.573	0.940	2.337	0.550	subject612e6114dece4	11S
3422.000	4153.000	780.000	443.515	152.695	0.000	0.000	0.682	0.366	0.842	0.907	1.680	subject612e6114dece4	11S
4253.000	4603.000	401.000	507.228	136.317	0.000	0.000	0.682	0.362	0.430	1.355	0.924	subject612e6114dece4	11S
4720.000	5203.000	549.000	631.689	139.537	0.000	0.000	0.682	0.562	1.646	3.992	0.579	subject612e6114dece4	11S
5320.000	6450.000	1178.000	743.070	166.701	0.000	0.000	0.682	1.877	28.864	27.896	1.451	subject612e6114dece4	11S
6553.000	7719.000	1216.000	299.880	161.612	0.000	0.000	0.682	0.879	14.491	10.120	2.690	subject612e6114dece4	11S
7820.000	8637.000	866.000	470.904	248.245	0.000	0.000	0.682	1.559	41.216	13.599	10.338	subject612e6114dece4	11S
8737.000	8936.000	250.000	31.670	496.069	0.000	0.000	0.682	0.592	0.945	1.466	0.562	subject612e6114dece4	11S
9037.000	10938.000	1966.000	362.004	301.033	0.000	0.000	0.682	1.618	307.249	20.763	17.182	subject612e6114dece4	11S
11052.000	12252.000	1250.000	268.892	197.077	0.000	0.000	0.682	0.709	20.679	9.991	2.689	subject612e6114dece4	11S
12353.000	13391.000	1099.000	445.087	111.338	0.000	0.000	0.682	0.618	15.040	4.782	3.609	subject612e6114dece4	11S
13503.000	13819.000	366.000	583.042	239.726	0.000	0.000	0.682	0.759	1.888	3.420	1.831	subject612e6114dece4	11S
13921.000	14120.000	265.000	695.962	235.341	0.000	0.000	0.682	0.677	1.397	0.893	1.257	subject612e6114dece4	11S
14236.000	16519.000	2335.000	359.072	167.592	0.000	0.000	0.682	1.495	24.158	25.405	2.663	subject612e6114dece4	11S
16635.000	17346.000	766.000	568.747	366.586	0.000	0.000	0.682	1.904	48.205	17.451	12.458	subject612e6114dece4	11S
17450.000	18970.000	1573.000	423.078	192.656	0.000	0.000	0.682	1.875	255.591	21.879	13.029	subject612e6114dece4	11S
19085.000	21686.000	2653.000	450.367	229.478	0.000	0.000	0.682	1.367	34.064	22.808	3.559	subject612e6114dece4	11S
21786.000	23503.000	1768.000	516.787	214.573	0.000	0.000	0.682	1.582	24.626	24.263	1.927	subject612e6114dece4	11S
23618.000	24035.000	483.000	300.698	237.951	0.000	0.000	0.682	0.983	5.816	6.639	1.722	subject612e6114dece4	11S
24152.000	24202.000	107.000	461.284	268.797	0.000	0.000	0.682	0.548	0.000	0.548	0.020	subject612e6114dece4	11S
24318.000	25685.000	1418.000	541.277	250.973	0.000	0.000	0.682	0.770	9.378	6.613	2.893	subject612e6114dece4	11S
25786.000	26518.000	782.000	419.249	252.351	0.000	0.000	0.682	2.070	32.880	23.941	2.617	subject612e6114dece4	11S
26618.000	27868.000	1317.000	192.837	248.363	0.000	0.000	0.682	0.746	9.413	9.948	1.944	subject612e6114dece4	11S
27985.000	29284.000	1349.000	575.070	242.629	0.000	0.000	0.682	0.541	8.341	7.417	2.240	subject612e6114dece4	11S
29384.000	30803.000	1483.000	424.400	295.548	0.000	0.000	0.682	1.494	22.331	23.004	1.416	subject612e6114dece4	11S
30917.000	31018.000	150.000	59.001	324.447	0.000	0.000	0.682	0.792	1.219	1.221	0.657	subject612e6114dece4	11S
31118.000	31451.000	391.000	-32.092	308.862	0.000	0.000	0.682	0.524	0.403	1.197	0.624	subject612e6114dece4	11S
31569.000	32001.000	482.000	77.005	292.071	0.000	0.000	0.682	0.530	0.834	2.296	0.849	subject612e6114dece4	11S
32101.000	33385.000	1333.000	147.727	335.042	0.000	0.000	0.682	0.677	6.860	8.230	1.553	subject612e6114dece4	11S
33487.000	33648.000	219.000	351.543	317.459	0.000	0.000	0.682	0.686	0.938	1.734	0.519	subject612e6114dece4	11S
33767.000	34000.000	283.000	462.382	301.055	0.000	0.000	0.682	0.645	1.150	2.279	0.702	subject612e6114dece4	11S
34117.000	35034.000	967.000	555.321	331.675	0.000	0.000	0.682	0.552	3.460	5.084	1.771	subject612e6114dece4	11S
35134.000	35852.000	782.000	439.068	292.462	0.000	0.000	0.682	2.110	50.446	24.759	2.739	subject612e6114dece4	11S
35968.000	36572.000	666.000	34.520	317.563	0.000	0.000	0.682	0.650	2.256	3.321	1.362	subject612e6114dece4	11S
36685.000	36916.000	282.000	-32.383	369.894	0.000	0.000	0.682	0.300	0.098	0.902	0.245	subject612e6114dece4	11S
37017.000	38351.000	1383.000	260.092	331.312	0.000	0.000	0.682	0.734	12.402	9.759	2.570	subject612e6114dece4	11S
38466.000	41250.000	2833.000	392.462	397.572	0.000	0.000	0.682	1.289	134.116	19.280	14.092	subject612e6114dece4	11S
41350.000	41882.000	583.000	271.472	419.827	0.000	0.000	0.682	0.711	4.559	3.756	2.079	subject612e6114dece4	11S
41984.000	44001.000	2066.000	492.325	442.001	0.000	0.000	0.682	0.716	26.587	14.465	3.081	subject612e6114dece4	11S
