FixStart	FixEnd	FixDur	XPos	YPos	FlankedByDataLoss	Fraction Interpolated	WeightCutoff	RMSxy	BCEA	FixRangeX	FixRangeY	Participant	Trial
1.000	1.000	54.000	352.353	507.889	0.000	0.000	0.466	NaN	NaN	0.000	0.000	subject612e6571470ef	10I
89.000	1178.000	1122.000	337.591	314.213	0.000	0.000	0.466	0.710	20.348	11.913	11.421	subject612e6571470ef	10I
1245.000	1975.000	765.000	138.904	269.627	0.000	0.000	0.466	0.760	21.497	4.418	11.540	subject612e6571470ef	10I
2044.000	2402.000	392.000	337.695	467.281	0.000	0.000	0.466	0.751	2.877	5.738	1.416	subject612e6571470ef	10I
2471.000	2625.000	188.000	448.135	476.259	0.000	0.000	0.466	0.203	0.064	0.319	0.218	subject612e6571470ef	10I
2690.000	3360.000	705.000	305.207	493.069	0.000	0.000	0.466	0.558	9.015	8.744	1.519	subject612e6571470ef	10I
3427.000	3764.000	372.000	257.562	494.365	0.000	0.000	0.466	0.506	1.408	3.491	0.595	subject612e6571470ef	10I
3832.000	4569.000	770.000	242.811	499.441	0.000	0.000	0.466	0.479	3.997	6.424	0.991	subject612e6571470ef	10I
4635.000	4826.000	225.000	356.645	506.247	0.000	0.000	0.466	0.293	0.295	0.954	0.409	subject612e6571470ef	10I
4925.000	5756.000	864.000	380.135	550.333	0.000	0.000	0.466	0.478	9.945	6.492	4.023	subject612e6571470ef	10I
5821.000	5889.000	103.000	576.427	650.552	0.000	0.000	0.466	0.240	0.075	0.435	0.120	subject612e6571470ef	10I
5956.000	6906.000	983.000	398.701	571.137	0.000	0.000	0.466	0.530	7.812	8.829	5.437	subject612e6571470ef	10I
6989.000	8548.000	1592.000	269.423	478.624	0.000	0.000	0.466	0.661	86.696	9.319	13.114	subject612e6571470ef	10I
8616.000	8787.000	204.000	207.758	184.515	0.000	0.000	0.466	0.344	0.530	0.965	0.962	subject612e6571470ef	10I
8873.000	9101.000	261.000	236.254	156.539	0.000	0.000	0.466	0.194	0.066	0.446	0.329	subject612e6571470ef	10I
9168.000	11870.000	2735.000	314.216	268.231	0.000	0.000	0.466	0.825	104.634	17.945	10.062	subject612e6571470ef	10I
11937.000	12075.000	173.000	48.028	144.090	0.000	0.000	0.466	0.208	0.161	0.568	0.266	subject612e6571470ef	10I
12143.000	12452.000	341.000	45.758	125.875	0.000	0.000	0.466	0.386	0.737	1.686	2.082	subject612e6571470ef	10I
12517.000	13364.000	880.000	72.830	217.326	0.000	0.000	0.466	0.911	15.020	10.759	13.646	subject612e6571470ef	10I
