FixStart	FixEnd	FixDur	XPos	YPos	FlankedByDataLoss	Fraction Interpolated	WeightCutoff	RMSxy	BCEA	FixRangeX	FixRangeY	Participant	Trial
129.000	21705.000	21656.000	496.292	728.406	1.000	0.003	0.581	2.260	206.388	39.245	40.310	subject612f5db4e8b6b	10I
22186.000	33812.000	11691.000	409.794	793.705	1.000	0.000	0.581	2.121	203.959	26.662	29.860	subject612f5db4e8b6b	10I
34381.000	74709.000	40393.000	490.250	667.586	1.000	0.000	0.581	2.880	243.633	44.921	40.108	subject612f5db4e8b6b	10I
75154.000	79025.000	3967.000	390.569	1043.288	1.000	0.000	0.581	3.950	183.793	19.937	23.832	subject612f5db4e8b6b	10I
79548.000	94293.000	14802.000	344.440	651.506	1.000	0.000	0.581	3.728	426.972	40.942	40.283	subject612f5db4e8b6b	10I
94732.000	104104.000	9433.000	406.326	652.538	1.000	0.000	0.581	3.797	182.258	22.146	29.926	subject612f5db4e8b6b	10I
104845.000	107902.000	3140.000	396.468	1170.046	1.000	0.000	0.581	4.203	168.308	17.476	32.788	subject612f5db4e8b6b	10I
108362.000	115219.000	6943.000	494.881	728.103	1.000	0.000	0.581	3.422	290.443	20.216	35.191	subject612f5db4e8b6b	10I
118506.000	209927.000	91495.000	504.700	497.228	0.000	0.000	0.581	2.741	395.184	40.062	55.347	subject612f5db4e8b6b	10I
132.000	8202.000	8140.000	495.361	330.487	1.000	0.000	0.604	3.876	336.013	41.516	46.132	subject612f5db4e8b6b	12S
8816.000	27626.000	18937.000	789.327	215.035	0.000	0.000	0.604	3.493	615.472	50.845	43.478	subject612f5db4e8b6b	12S
134.000	55571.000	55569.000	520.563	389.035	0.000	0.000	0.553	1.519	187.702	30.332	25.500	subject612f5db4e8b6b	13R
128.000	151109.000	151080.000	518.796	502.653	0.000	0.000	0.531	1.766	201.222	40.867	29.910	subject612f5db4e8b6b	15R
143.000	30509.000	30431.000	522.971	668.753	0.000	0.000	0.571	2.256	135.196	31.866	15.790	subject612f5db4e8b6b	1S
476794.000	495671.000	18936.000	538.432	518.355	0.000	0.000	0.634	3.406	325.141	23.103	28.205	subject612f5db4e8b6b	2V
123.000	39985.000	39956.000	478.913	458.324	0.000	0.000	0.563	1.950	261.892	35.064	21.861	subject612f5db4e8b6b	3S
797579.000	816440.000	18958.000	518.139	374.721	0.000	0.000	0.635	3.541	294.682	18.905	19.301	subject612f5db4e8b6b	3V
136.000	56327.000	56253.000	473.182	430.289	1.000	0.000	0.569	1.540	186.370	28.739	39.271	subject612f5db4e8b6b	4R
57250.000	64913.000	7729.000	709.503	619.963	0.000	0.000	0.569	2.840	411.858	27.380	36.427	subject612f5db4e8b6b	4R
1044192.000	1063165.000	19050.000	410.606	365.905	0.000	0.000	0.632	3.507	310.244	19.804	19.800	subject612f5db4e8b6b	4V
156.000	22737.000	22649.000	435.614	316.755	0.000	0.000	0.583	2.010	272.009	32.199	22.832	subject612f5db4e8b6b	5S
138.000	33572.000	33502.000	354.639	422.186	0.000	0.000	0.567	1.385	168.265	33.831	20.906	subject612f5db4e8b6b	6I
131.000	59824.000	59826.000	405.463	663.310	0.000	0.000	0.550	2.743	271.612	33.802	43.642	subject612f5db4e8b6b	6R
123.000	62056.000	62004.000	328.465	549.553	0.000	0.000	0.549	1.675	183.591	36.496	17.825	subject612f5db4e8b6b	7I
