FixStart	FixEnd	FixDur	XPos	YPos	FlankedByDataLoss	Fraction Interpolated	WeightCutoff	RMSxy	BCEA	FixRangeX	FixRangeY	Participant	Trial
1.000	546.000	572.000	214.659	423.519	0.000	0.000	0.402	2.904	133.543	36.632	16.366	subject6138cb306c555	1I
601.000	1100.000	529.000	111.578	562.759	0.000	0.000	0.402	0.579	10.580	6.782	2.776	subject6138cb306c555	1I
1157.000	1385.000	260.000	289.642	482.791	0.000	0.000	0.402	0.250	0.240	0.472	1.046	subject6138cb306c555	1I
1451.000	1607.000	182.000	268.989	478.091	0.000	0.000	0.402	0.150	0.062	0.367	0.158	subject6138cb306c555	1I
1658.000	2251.000	629.000	344.433	452.382	0.000	0.000	0.402	0.296	2.905	3.075	1.512	subject6138cb306c555	1I
2318.000	2351.000	67.000	297.869	437.084	0.000	0.000	0.402	0.392	0.000	0.391	0.024	subject6138cb306c555	1I
2409.000	2488.000	105.000	255.125	443.875	0.000	0.000	0.402	0.263	0.103	0.578	0.134	subject6138cb306c555	1I
2539.000	2590.000	76.000	225.620	474.180	0.000	0.000	0.402	0.323	0.178	0.389	0.327	subject6138cb306c555	1I
2641.000	2773.000	157.000	201.162	507.484	0.000	0.000	0.402	0.200	0.137	0.455	0.657	subject6138cb306c555	1I
2821.000	2919.000	148.000	181.306	524.889	0.000	0.000	0.402	0.274	0.165	0.247	0.477	subject6138cb306c555	1I
3002.000	3562.000	588.000	352.822	467.043	0.000	0.000	0.402	0.470	3.115	6.372	2.220	subject6138cb306c555	1I
3619.000	3938.000	351.000	244.185	492.348	0.000	0.000	0.402	0.384	2.078	2.078	2.533	subject6138cb306c555	1I
4004.000	4100.000	129.000	239.155	566.088	0.000	0.000	0.402	0.185	0.097	0.386	0.217	subject6138cb306c555	1I
4164.000	4404.000	277.000	274.667	568.531	0.000	0.000	0.402	0.145	0.079	0.496	0.216	subject6138cb306c555	1I
4474.000	4535.000	91.000	222.576	561.659	0.000	0.000	0.402	0.393	0.074	0.766	0.152	subject6138cb306c555	1I
4598.000	6378.000	1806.000	246.087	481.506	0.000	0.000	0.402	0.495	75.054	7.650	14.369	subject6138cb306c555	1I
6430.000	6784.000	380.000	213.250	43.997	0.000	0.000	0.402	0.261	1.042	1.585	1.990	subject6138cb306c555	1I
6838.000	8759.000	1953.000	221.953	39.452	0.000	0.000	0.402	0.482	22.858	10.170	3.322	subject6138cb306c555	1I
8833.000	9876.000	1077.000	225.684	213.357	0.000	0.000	0.402	0.515	12.659	3.553	8.545	subject6138cb306c555	1I
9939.000	10048.000	135.000	206.180	128.235	0.000	0.000	0.402	0.209	0.102	0.184	0.417	subject6138cb306c555	1I
10101.000	10805.000	740.000	171.379	130.284	0.000	0.000	0.402	0.226	2.903	2.262	2.564	subject6138cb306c555	1I
10868.000	11000.000	159.000	177.029	41.310	0.000	0.000	0.402	0.132	0.018	0.092	0.336	subject6138cb306c555	1I
11056.000	11414.000	386.000	152.837	43.805	0.000	0.000	0.402	0.196	0.649	0.699	1.453	subject6138cb306c555	1I
11468.000	11776.000	337.000	173.389	59.219	0.000	0.000	0.402	0.213	0.330	0.521	0.849	subject6138cb306c555	1I
11838.000	12011.000	208.000	205.621	55.057	0.000	0.000	0.402	0.201	0.051	0.930	0.076	subject6138cb306c555	1I
12092.000	12262.000	206.000	232.463	55.456	0.000	0.000	0.402	0.159	0.070	0.231	0.286	subject6138cb306c555	1I
12368.000	13344.000	1013.000	193.253	188.763	0.000	0.000	0.402	0.574	11.742	1.330	13.338	subject6138cb306c555	1I
13416.000	14533.000	1145.000	244.215	349.818	0.000	0.000	0.402	0.677	49.059	9.715	9.973	subject6138cb306c555	1I
14644.000	15061.000	447.000	169.977	46.542	0.000	0.000	0.402	0.302	2.187	2.009	1.759	subject6138cb306c555	1I
15118.000	16522.000	1436.000	217.813	284.108	0.000	0.000	0.402	0.681	120.747	9.613	13.357	subject6138cb306c555	1I
16582.000	18544.000	1991.000	117.224	290.995	0.000	0.000	0.402	0.589	31.114	4.149	14.223	subject6138cb306c555	1I
18602.000	18960.000	386.000	117.320	159.010	0.000	0.000	0.402	0.160	0.210	1.011	0.615	subject6138cb306c555	1I
19017.000	19162.000	171.000	72.634	122.415	0.000	0.000	0.402	0.292	0.139	0.736	0.721	subject6138cb306c555	1I
19213.000	19850.000	670.000	82.394	193.428	0.000	0.000	0.402	0.377	5.676	4.668	4.862	subject6138cb306c555	1I
19911.000	20005.000	126.000	206.427	253.142	0.000	0.000	0.402	0.149	0.067	0.249	0.237	subject6138cb306c555	1I
20068.000	20341.000	301.000	148.179	254.902	0.000	0.000	0.402	0.257	0.368	1.683	0.278	subject6138cb306c555	1I
20401.000	20596.000	224.000	106.660	242.072	0.000	0.000	0.402	0.208	0.114	0.279	0.439	subject6138cb306c555	1I
20657.000	21360.000	736.000	124.075	377.846	0.000	0.000	0.402	0.426	7.508	2.240	4.995	subject6138cb306c555	1I
21425.000	22367.000	971.000	240.747	217.318	0.000	0.000	0.402	0.470	24.061	6.262	5.236	subject6138cb306c555	1I
22422.000	22912.000	516.000	159.907	277.480	0.000	0.000	0.402	0.291	1.284	2.394	3.291	subject6138cb306c555	1I
22963.000	23139.000	201.000	214.084	378.088	0.000	0.000	0.402	0.271	0.535	1.161	0.574	subject6138cb306c555	1I
23193.000	24666.000	1506.000	230.539	306.475	0.000	0.000	0.402	0.495	13.498	7.636	2.874	subject6138cb306c555	1I
24732.000	26600.000	1895.000	213.020	315.814	0.000	0.000	0.402	0.371	36.079	10.752	4.182	subject6138cb306c555	1I
26654.000	27258.000	631.000	294.123	286.443	0.000	0.000	0.402	0.354	2.162	4.248	0.842	subject6138cb306c555	1I
27312.000	27556.000	276.000	354.335	292.880	0.000	0.000	0.402	0.161	0.166	1.190	0.364	subject6138cb306c555	1I
27616.000	27771.000	187.000	394.622	284.622	0.000	0.000	0.402	0.299	0.263	0.839	0.660	subject6138cb306c555	1I
27833.000	28720.000	916.000	350.364	323.526	0.000	0.000	0.402	0.353	6.195	6.797	2.630	subject6138cb306c555	1I
28784.000	29419.000	672.000	196.952	331.025	0.000	0.000	0.402	0.482	7.714	6.278	2.646	subject6138cb306c555	1I
29494.000	29792.000	328.000	398.311	375.293	0.000	0.000	0.402	0.328	0.549	1.753	0.434	subject6138cb306c555	1I
29851.000	30283.000	461.000	191.843	374.144	0.000	0.000	0.402	0.446	3.202	4.838	1.210	subject6138cb306c555	1I
30342.000	30789.000	473.000	196.515	356.861	0.000	0.000	0.402	0.334	2.216	3.902	1.645	subject6138cb306c555	1I
30841.000	31703.000	892.000	719.111	440.077	0.000	0.000	0.402	1.289	18.171	31.299	12.402	subject6138cb306c555	1I
31761.000	32709.000	981.000	749.785	468.153	0.000	0.000	0.402	1.337	36.369	27.244	12.629	subject6138cb306c555	1I
32775.000	32900.000	157.000	371.780	320.016	0.000	0.000	0.402	0.412	0.457	0.618	0.752	subject6138cb306c555	1I
32965.000	34393.000	1459.000	661.432	729.960	0.000	0.000	0.402	1.067	291.024	25.589	18.181	subject6138cb306c555	1I
34519.000	34650.000	161.000	1187.891	692.010	0.000	0.000	0.402	0.206	0.038	0.172	0.314	subject6138cb306c555	1I
34709.000	35162.000	480.000	1195.217	657.361	0.000	0.000	0.402	0.180	0.309	0.536	1.096	subject6138cb306c555	1I
35214.000	35293.000	105.000	1157.571	633.213	0.000	0.000	0.402	0.243	0.068	0.529	0.188	subject6138cb306c555	1I
35344.000	35606.000	287.000	1153.257	667.185	0.000	0.000	0.402	0.230	0.463	0.969	0.657	subject6138cb306c555	1I
35658.000	35883.000	251.000	1167.781	718.175	0.000	0.000	0.402	0.202	0.324	0.430	1.414	subject6138cb306c555	1I
35935.000	36029.000	120.000	1188.541	749.717	0.000	0.000	0.402	0.273	0.096	0.431	0.169	subject6138cb306c555	1I
36084.000	37575.000	1521.000	822.460	712.993	0.000	0.000	0.402	1.127	114.916	24.404	9.419	subject6138cb306c555	1I
37646.000	39439.000	1819.000	801.802	662.670	0.000	0.000	0.402	1.306	59.310	27.354	10.749	subject6138cb306c555	1I
39489.000	40943.000	1483.000	473.292	973.941	0.000	0.000	0.402	0.906	141.819	12.214	19.808	subject6138cb306c555	1I
41005.000	41969.000	995.000	642.970	847.704	0.000	0.000	0.402	1.074	39.355	26.384	8.791	subject6138cb306c555	1I
42031.000	42367.000	369.000	1119.700	750.662	0.000	0.000	0.402	0.232	0.457	1.996	0.280	subject6138cb306c555	1I
42427.000	43330.000	928.000	713.301	671.561	0.000	0.000	0.402	0.957	12.859	24.874	4.179	subject6138cb306c555	1I
43379.000	44119.000	765.000	355.584	432.224	0.000	0.000	0.402	0.362	5.898	1.919	7.050	subject6138cb306c555	1I
44169.000	44926.000	786.000	421.763	429.758	0.000	0.000	0.402	0.477	17.531	4.589	6.172	subject6138cb306c555	1I
44990.000	45895.000	932.000	600.780	662.974	0.000	0.000	0.402	1.554	36.695	34.225	6.848	subject6138cb306c555	1I
45951.000	46071.000	155.000	1182.126	782.115	0.000	0.000	0.402	0.210	0.044	0.377	0.162	subject6138cb306c555	1I
46139.000	46615.000	501.000	1210.289	749.382	0.000	0.000	0.402	0.290	1.489	3.148	0.712	subject6138cb306c555	1I
46665.000	47044.000	407.000	1237.386	765.979	0.000	0.000	0.402	0.244	1.793	1.706	1.409	subject6138cb306c555	1I
47102.000	47324.000	247.000	1231.693	725.353	0.000	0.000	0.402	0.136	0.072	0.463	0.197	subject6138cb306c555	1I
47374.000	47964.000	614.000	1168.217	783.382	0.000	0.000	0.402	0.239	1.010	2.206	2.058	subject6138cb306c555	1I
48012.000	49824.000	1846.000	349.278	375.020	0.000	0.000	0.402	1.100	191.561	33.345	15.222	subject6138cb306c555	1I
49892.000	49954.000	92.000	154.674	351.770	0.000	0.000	0.402	0.291	0.069	0.564	0.099	subject6138cb306c555	1I
50025.000	50129.000	136.000	143.072	323.034	0.000	0.000	0.402	0.238	0.140	0.375	0.359	subject6138cb306c555	1I
50192.000	50418.000	254.000	151.114	213.752	0.000	0.000	0.402	0.528	1.260	0.840	3.959	subject6138cb306c555	1I
50501.000	51940.000	1471.000	1045.503	647.285	0.000	0.000	0.402	1.237	129.197	35.102	24.121	subject6138cb306c555	1I
144442.000	145572.000	1153.000	280.988	916.744	0.000	0.000	0.386	0.167	2.793	2.484	2.797	subject6138cb306c555	1V
128204.000	129345.000	1164.000	964.067	564.707	0.000	0.000	0.386	0.261	3.390	3.379	3.436	subject6138cb306c555	1V
130892.000	132037.000	1167.000	170.220	98.962	0.000	0.000	0.386	0.088	0.844	0.840	2.452	subject6138cb306c555	1V
