FixStart	FixEnd	FixDur	XPos	YPos	FlankedByDataLoss	Fraction Interpolated	WeightCutoff	RMSxy	BCEA	FixRangeX	FixRangeY	Participant	Trial
1.000	1783.000	1820.000	180.477	534.220	0.000	0.000	0.500	1.771	620.901	36.782	19.762	subject613a64a724765	10S
1857.000	1973.000	152.000	248.468	776.482	0.000	0.000	0.500	0.369	0.289	0.887	0.281	subject613a64a724765	10S
2047.000	2810.000	800.000	402.754	649.376	0.000	0.000	0.500	0.837	29.559	9.074	7.031	subject613a64a724765	10S
2885.000	7404.000	4556.000	363.535	271.656	0.000	0.000	0.500	1.471	294.891	27.102	22.618	subject613a64a724765	10S
7479.000	9082.000	1642.000	252.651	268.730	0.000	0.000	0.500	0.781	73.668	18.786	5.948	subject613a64a724765	10S
9158.000	11871.000	2751.000	482.711	246.079	0.000	0.000	0.500	1.507	198.474	29.461	10.203	subject613a64a724765	10S
11946.000	12060.000	151.000	54.110	400.093	0.000	0.000	0.500	0.225	0.104	0.259	0.466	subject613a64a724765	10S
12134.000	12174.000	76.000	45.687	379.925	0.000	0.000	0.500	0.304	0.000	0.298	0.059	subject613a64a724765	10S
12247.000	14947.000	2739.000	439.811	294.974	0.000	0.000	0.500	1.751	123.189	42.277	6.568	subject613a64a724765	10S
15025.000	15746.000	760.000	193.628	390.467	0.000	0.000	0.500	1.878	107.568	32.837	4.314	subject613a64a724765	10S
15822.000	16788.000	1003.000	340.285	225.767	0.000	0.000	0.500	1.011	17.511	12.888	3.134	subject613a64a724765	10S
16862.000	20955.000	4129.000	221.315	273.980	0.000	0.000	0.500	1.448	259.890	29.803	15.247	subject613a64a724765	10S
21028.000	21478.000	488.000	180.464	251.659	0.000	0.000	0.500	1.192	13.491	11.987	2.493	subject613a64a724765	10S
21561.000	23487.000	1966.000	353.246	406.920	0.000	0.000	0.500	1.639	219.401	29.240	11.271	subject613a64a724765	10S
23566.000	23979.000	451.000	185.624	328.982	0.000	0.000	0.500	1.319	39.428	5.305	8.712	subject613a64a724765	10S
24054.000	26044.000	2028.000	229.626	499.631	0.000	0.000	0.500	1.662	206.397	32.623	11.285	subject613a64a724765	10S
26120.000	26200.000	117.000	49.001	641.816	0.000	0.000	0.500	0.519	0.496	0.542	0.467	subject613a64a724765	10S
26274.000	27172.000	937.000	326.028	571.840	0.000	0.000	0.500	0.908	21.790	17.019	3.083	subject613a64a724765	10S
27248.000	28378.000	1169.000	614.178	438.603	0.000	0.000	0.500	1.445	42.820	25.521	3.317	subject613a64a724765	10S
28455.000	29031.000	615.000	276.989	448.389	0.000	0.000	0.500	1.120	19.128	15.308	2.474	subject613a64a724765	10S
29108.000	31570.000	2500.000	318.567	594.319	0.000	0.000	0.500	1.170	151.017	16.418	16.303	subject613a64a724765	10S
31646.000	32508.000	901.000	679.619	918.548	0.000	0.000	0.500	1.861	131.535	26.340	13.061	subject613a64a724765	10S
32584.000	33485.000	940.000	1317.279	826.355	0.000	0.000	0.500	0.808	12.453	6.025	3.107	subject613a64a724765	10S
1.000	1935.000	1976.000	208.867	360.600	0.000	0.000	0.528	1.675	573.600	36.322	20.194	subject613a64a724765	12S
2025.000	2944.000	957.000	350.402	247.131	0.000	0.000	0.528	1.593	212.701	17.341	20.825	subject613a64a724765	12S
3026.000	4247.000	1262.000	310.960	164.048	0.000	0.000	0.528	0.735	21.491	15.795	6.864	subject613a64a724765	12S
4324.000	4754.000	467.000	530.769	185.861	0.000	0.000	0.528	0.502	2.794	3.920	1.370	subject613a64a724765	12S
4829.000	5678.000	892.000	466.989	177.258	0.000	0.000	0.528	1.699	22.359	28.495	1.050	subject613a64a724765	12S
5758.000	6613.000	895.000	159.169	185.898	0.000	0.000	0.528	0.712	7.987	14.316	1.687	subject613a64a724765	12S
6695.000	7060.000	405.000	466.980	235.882	0.000	0.000	0.528	0.445	1.898	3.026	1.226	subject613a64a724765	12S
7140.000	8033.000	935.000	413.620	141.659	0.000	0.000	0.528	1.627	45.767	26.890	4.498	subject613a64a724765	12S
8118.000	11630.000	3552.000	325.140	173.691	0.000	0.000	0.528	1.005	57.786	27.997	4.193	subject613a64a724765	12S
11707.000	12129.000	470.000	325.421	115.833	0.000	0.000	0.528	0.627	4.213	5.188	1.411	subject613a64a724765	12S
12236.000	14984.000	2785.000	419.482	263.660	0.000	0.000	0.528	1.094	127.568	26.695	12.761	subject613a64a724765	12S
15059.000	16555.000	1538.000	204.511	236.043	0.000	0.000	0.528	1.550	52.650	24.881	3.378	subject613a64a724765	12S
16637.000	17024.000	426.000	348.338	158.023	0.000	0.000	0.528	0.930	2.055	7.848	2.026	subject613a64a724765	12S
17100.000	20401.000	3345.000	380.205	307.836	0.000	0.000	0.528	0.995	93.548	21.836	8.768	subject613a64a724765	12S
20483.000	21092.000	654.000	313.834	409.976	0.000	0.000	0.528	0.537	3.841	5.746	1.623	subject613a64a724765	12S
21179.000	21954.000	816.000	474.903	418.852	0.000	0.000	0.528	0.559	2.016	5.387	0.568	subject613a64a724765	12S
22033.000	22523.000	528.000	488.562	401.854	0.000	0.000	0.528	0.458	2.575	3.940	2.096	subject613a64a724765	12S
22599.000	24428.000	1863.000	458.010	251.773	0.000	0.000	0.528	0.640	44.986	7.105	7.797	subject613a64a724765	12S
24507.000	25351.000	882.000	380.123	269.253	0.000	0.000	0.528	1.104	44.595	4.862	18.338	subject613a64a724765	12S
25429.000	25593.000	204.000	231.704	592.105	0.000	0.000	0.528	0.225	0.056	0.484	0.245	subject613a64a724765	12S
25671.000	26529.000	898.000	748.404	657.916	0.000	0.000	0.528	1.925	46.728	35.869	3.000	subject613a64a724765	12S
26608.000	26816.000	249.000	1243.272	620.045	0.000	0.000	0.528	0.368	0.498	0.878	0.890	subject613a64a724765	12S
26900.000	27414.000	559.000	1205.147	647.415	0.000	0.000	0.528	0.274	0.435	1.190	0.670	subject613a64a724765	12S
27507.000	27796.000	337.000	1249.326	666.002	0.000	0.000	0.528	0.227	0.153	0.660	0.321	subject613a64a724765	12S
27896.000	28170.000	322.000	1255.652	701.203	0.000	0.000	0.528	0.212	0.163	0.200	0.817	subject613a64a724765	12S
28267.000	28554.000	340.000	1244.561	681.422	0.000	0.000	0.528	0.229	0.222	0.538	0.444	subject613a64a724765	12S
28656.000	29212.000	604.000	1196.843	683.728	0.000	0.000	0.528	0.435	0.725	3.332	0.321	subject613a64a724765	12S
1.000	2029.000	2068.000	341.190	83.175	0.000	0.000	0.518	1.363	107.491	22.919	26.148	subject613a64a724765	14S
2106.000	2967.000	907.000	508.311	98.140	0.000	0.000	0.518	1.529	27.857	24.003	1.530	subject613a64a724765	14S
3053.000	3901.000	885.000	400.396	128.654	0.000	0.000	0.518	0.815	15.143	14.495	2.129	subject613a64a724765	14S
3975.000	4874.000	944.000	507.606	70.641	0.000	0.000	0.518	1.461	18.323	25.250	3.002	subject613a64a724765	14S
4958.000	7642.000	2724.000	409.640	138.418	0.000	0.000	0.518	0.940	89.952	25.357	6.255	subject613a64a724765	14S
7719.000	8518.000	836.000	305.744	128.843	0.000	0.000	0.518	0.551	8.270	4.982	2.630	subject613a64a724765	14S
8597.000	8674.000	117.000	467.781	153.982	0.000	0.000	0.518	0.192	0.036	0.287	0.152	subject613a64a724765	14S
8750.000	10470.000	1761.000	231.062	141.696	0.000	0.000	0.518	0.776	37.129	15.253	4.243	subject613a64a724765	14S
10547.000	12423.000	1911.000	468.422	235.976	0.000	0.000	0.518	1.264	53.044	29.029	3.583	subject613a64a724765	14S
12494.000	12656.000	200.000	-0.528	211.725	0.000	0.000	0.518	0.394	0.632	0.874	0.967	subject613a64a724765	14S
12732.000	15267.000	2573.000	388.237	211.304	0.000	0.000	0.518	1.028	56.013	25.942	4.235	subject613a64a724765	14S
15346.000	15535.000	229.000	221.567	186.146	0.000	0.000	0.518	0.610	1.627	2.301	0.913	subject613a64a724765	14S
15613.000	16034.000	460.000	303.397	277.465	0.000	0.000	0.518	0.638	3.079	3.606	2.774	subject613a64a724765	14S
16111.000	17563.000	1490.000	417.484	324.749	0.000	0.000	0.518	0.828	38.309	16.320	3.643	subject613a64a724765	14S
