FixStart	FixEnd	FixDur	XPos	YPos	FlankedByDataLoss	Fraction Interpolated	WeightCutoff	RMSxy	BCEA	FixRangeX	FixRangeY	Participant	Trial
69.000	151205.000	151226.000	352.338	410.946	0.000	0.000	0.831	1.571	230.140	66.456	29.939	subject613b07bd72077	10I
68.000	14481.000	14484.000	458.424	252.802	0.000	0.000	0.839	2.532	512.736	36.896	29.644	subject613b07bd72077	10S
63.000	47752.000	47760.000	450.004	363.094	0.000	0.000	0.831	2.398	400.721	40.512	32.867	subject613b07bd72077	12S
96.000	106447.000	106436.000	605.365	515.392	0.000	0.000	0.854	2.024	471.400	43.478	38.616	subject613b07bd72077	13I
65.000	15569.000	15588.000	710.320	273.932	0.000	0.000	0.840	2.560	367.638	29.505	33.291	subject613b07bd72077	15S
103.000	78101.000	78083.000	281.196	329.786	0.000	0.000	0.834	1.550	300.915	39.588	36.125	subject613b07bd72077	1I
73.000	24902.000	24909.000	460.035	241.377	0.000	0.000	0.803	2.358	351.364	35.683	29.997	subject613b07bd72077	1S
156552.000	156839.000	339.000	994.127	570.079	0.000	0.000	0.645	0.122	0.035	0.195	0.416	subject613b07bd72077	1V
156937.000	157643.000	793.000	1014.101	591.449	0.000	0.000	0.645	0.258	0.091	1.268	1.130	subject613b07bd72077	1V
138935.000	140203.000	1340.000	876.200	674.117	0.000	0.000	0.645	0.992	24.871	6.826	8.652	subject613b07bd72077	1V
141847.000	142297.000	523.000	288.500	722.298	0.000	0.000	0.645	0.242	0.485	0.893	0.775	subject613b07bd72077	1V
142458.000	143050.000	683.000	300.650	762.854	0.000	0.000	0.645	0.477	1.161	2.229	1.043	subject613b07bd72077	1V
144728.000	145240.000	606.000	584.714	492.377	0.000	0.000	0.645	0.637	0.859	2.118	0.998	subject613b07bd72077	1V
145412.000	146073.000	735.000	553.622	429.649	0.000	0.000	0.645	0.576	2.296	1.699	3.044	subject613b07bd72077	1V
147736.000	148088.000	436.000	195.167	521.574	0.000	0.000	0.645	0.458	0.725	1.095	0.937	subject613b07bd72077	1V
148272.000	148369.000	177.000	250.757	449.004	0.000	0.000	0.645	0.665	0.000	0.375	0.550	subject613b07bd72077	1V
148531.000	149005.000	555.000	290.052	475.833	0.000	0.000	0.645	0.902	3.171	1.338	3.155	subject613b07bd72077	1V
150664.000	151339.000	736.000	1034.206	203.202	0.000	0.000	0.645	0.393	0.755	1.993	1.331	subject613b07bd72077	1V
151463.000	151964.000	564.000	1037.616	241.878	0.000	0.000	0.645	0.354	0.803	0.870	1.449	subject613b07bd72077	1V
153590.000	154018.000	509.000	76.702	110.652	0.000	0.000	0.645	0.928	5.490	3.454	3.118	subject613b07bd72077	1V
154186.000	154969.000	875.000	164.500	64.020	0.000	0.000	0.645	0.941	0.579	4.898	0.265	subject613b07bd72077	1V
78.000	125385.000	125383.000	423.496	465.582	0.000	0.000	0.845	1.315	164.036	38.614	28.314	subject613b07bd72077	2I
393263.000	412113.000	18923.000	506.281	394.398	0.000	0.000	0.679	3.994	607.982	26.676	24.449	subject613b07bd72077	2V
747961.000	748401.000	522.000	976.669	404.934	0.000	0.000	0.659	0.619	1.680	1.898	1.509	subject613b07bd72077	3V
748560.000	749247.000	729.000	1006.257	469.680	0.000	0.000	0.659	0.679	1.952	0.913	2.949	subject613b07bd72077	3V
750854.000	751564.000	811.000	207.511	732.984	0.000	0.000	0.659	0.690	3.016	2.089	4.816	subject613b07bd72077	3V
751765.000	752199.000	533.000	187.461	747.824	0.000	0.000	0.659	0.360	0.734	0.886	0.852	subject613b07bd72077	3V
753848.000	754424.000	656.000	950.691	777.796	0.000	0.000	0.659	0.374	0.940	0.823	2.290	subject613b07bd72077	3V
754580.000	755181.000	700.000	996.274	755.555	0.000	0.000	0.659	0.298	0.300	0.191	1.645	subject613b07bd72077	3V
756854.000	757329.000	532.000	1048.982	2.608	0.000	0.000	0.659	1.543	5.258	3.335	5.818	subject613b07bd72077	3V
757448.000	758129.000	762.000	980.204	283.594	0.000	0.000	0.659	1.627	13.926	4.538	5.921	subject613b07bd72077	3V
759784.000	760185.000	477.000	151.375	387.002	0.000	0.000	0.659	0.902	2.272	3.468	1.995	subject613b07bd72077	3V
