FixStart	FixEnd	FixDur	XPos	YPos	FlankedByDataLoss	Fraction Interpolated	WeightCutoff	RMSxy	BCEA	FixRangeX	FixRangeY	Participant	Trial
92.000	46730.000	46713.000	436.683	239.723	0.000	0.000	0.797	1.493	317.892	34.707	19.854	subject613b1941daede	11S
92.000	49806.000	49780.000	498.802	435.897	0.000	0.000	0.813	1.231	195.864	37.195	22.906	subject613b1941daede	12I
1.000	66646.000	66711.000	474.883	415.306	0.000	0.000	0.829	0.930	164.304	32.388	20.439	subject613b1941daede	14I
76.000	67797.000	67787.000	523.476	331.963	0.000	0.000	0.816	1.365	266.278	33.599	21.334	subject613b1941daede	14S
106.000	36271.000	36239.000	394.786	559.568	0.000	0.000	0.824	1.058	173.482	39.826	20.500	subject613b1941daede	15I
110.000	53695.000	53654.000	409.006	416.279	0.000	0.000	0.814	1.365	161.485	33.118	20.270	subject613b1941daede	15S
154912.000	155993.000	1140.000	325.334	680.404	0.000	0.000	0.647	0.396	2.226	1.826	2.097	subject613b1941daede	1V
138652.000	139388.000	789.000	198.496	180.013	0.000	0.000	0.647	1.524	4.824	1.897	11.550	subject613b1941daede	1V
139490.000	139805.000	381.000	255.335	321.673	0.000	0.000	0.647	0.637	0.534	1.261	2.695	subject613b1941daede	1V
141408.000	141935.000	597.000	960.135	818.567	0.000	0.000	0.647	1.087	0.970	2.875	5.949	subject613b1941daede	1V
142054.000	142466.000	466.000	948.384	738.655	0.000	0.000	0.647	0.570	2.507	1.718	1.798	subject613b1941daede	1V
144053.000	144513.000	520.000	989.196	634.455	0.000	0.000	0.647	0.395	0.048	1.825	0.967	subject613b1941daede	1V
144639.000	145173.000	601.000	954.413	622.330	0.000	0.000	0.647	0.325	0.366	1.273	0.948	subject613b1941daede	1V
146777.000	147383.000	673.000	1011.196	222.996	0.000	0.000	0.647	0.528	1.161	2.208	2.400	subject613b1941daede	1V
147518.000	147835.000	382.000	1043.438	171.240	0.000	0.000	0.647	0.247	0.239	0.888	0.646	subject613b1941daede	1V
149430.000	149710.000	354.000	536.316	543.536	0.000	0.000	0.647	0.190	0.002	0.551	0.362	subject613b1941daede	1V
149852.000	150457.000	716.000	489.259	506.194	0.000	0.000	0.647	0.335	0.272	0.883	0.768	subject613b1941daede	1V
152166.000	152753.000	642.000	199.982	442.279	0.000	0.000	0.647	1.183	0.780	2.344	8.022	subject613b1941daede	1V
152873.000	153318.000	510.000	195.323	341.773	0.000	0.000	0.647	0.495	2.093	1.366	1.692	subject613b1941daede	1V
383.000	156801.000	156481.000	533.090	600.827	0.000	0.000	0.825	0.825	94.070	29.941	21.175	subject613b1941daede	2I
443703.000	444114.000	478.000	611.114	434.448	0.000	0.000	0.655	0.437	1.184	1.810	0.745	subject613b1941daede	2V
444250.000	444686.000	515.000	571.236	381.231	0.000	0.000	0.655	0.294	0.403	0.920	0.715	subject613b1941daede	2V
446290.000	446935.000	709.000	915.946	103.362	0.000	0.000	0.655	0.893	2.004	3.282	6.694	subject613b1941daede	2V
447055.000	447433.000	445.000	920.158	81.111	0.000	0.000	0.655	0.219	0.235	0.886	0.245	subject613b1941daede	2V
449036.000	449355.000	370.000	869.278	771.498	0.000	0.000	0.655	0.351	0.574	0.809	1.410	subject613b1941daede	2V
449474.000	449539.000	113.000	918.580	799.055	0.000	0.000	0.655	0.343	0.000	0.334	0.080	subject613b1941daede	2V
449637.000	450106.000	536.000	943.239	814.232	0.000	0.000	0.655	0.426	0.190	2.066	0.898	subject613b1941daede	2V
451709.000	452225.000	566.000	265.805	755.480	0.000	0.000	0.655	0.203	0.400	0.623	0.884	subject613b1941daede	2V
452325.000	452789.000	517.000	241.633	777.716	0.000	0.000	0.655	0.111	0.079	0.428	0.316	subject613b1941daede	2V
454366.000	454893.000	592.000	216.047	56.916	0.000	0.000	0.655	0.126	0.061	0.587	0.309	subject613b1941daede	2V
455024.000	455479.000	518.000	227.951	76.632	0.000	0.000	0.655	0.092	0.096	0.283	0.389	subject613b1941daede	2V
457068.000	458196.000	1176.000	244.116	400.718	0.000	0.000	0.655	0.399	4.339	1.859	2.982	subject613b1941daede	2V
459774.000	460213.000	499.000	950.269	388.799	0.000	0.000	0.655	0.449	0.071	1.387	2.415	subject613b1941daede	2V
460340.000	460853.000	575.000	939.160	369.786	0.000	0.000	0.655	0.396	0.021	1.030	2.161	subject613b1941daede	2V
131.000	35435.000	35374.000	519.129	319.505	0.000	0.000	0.786	1.547	220.677	34.540	20.589	subject613b1941daede	3S
682497.000	699778.000	17348.000	568.805	430.219	0.000	0.000	0.673	5.290	664.485	27.219	23.651	subject613b1941daede	3V
186.000	47499.000	47363.000	359.939	332.053	0.000	0.000	0.783	1.604	250.424	39.775	23.306	subject613b1941daede	4S
903016.000	903671.000	703.000	852.360	2.690	0.000	0.000	0.649	0.363	1.029	1.137	2.013	subject613b1941daede	4V
903788.000	904020.000	300.000	830.962	29.534	0.000	0.000	0.649	0.238	0.183	0.217	0.877	subject613b1941daede	4V
905646.000	906078.000	487.000	77.744	514.595	0.000	0.000	0.649	0.641	2.034	1.004	2.893	subject613b1941daede	4V
906201.000	906683.000	549.000	109.895	449.862	0.000	0.000	0.649	0.671	0.410	0.463	3.147	subject613b1941daede	4V
908309.000	908769.000	526.000	38.995	20.089	0.000	0.000	0.649	0.303	0.517	1.339	0.629	subject613b1941daede	4V
908901.000	909401.000	561.000	44.784	54.089	0.000	0.000	0.649	0.229	0.440	1.248	0.432	subject613b1941daede	4V
910991.000	911604.000	668.000	862.299	469.151	0.000	0.000	0.649	0.171	0.134	1.266	0.434	subject613b1941daede	4V
911714.000	912101.000	439.000	841.612	482.149	0.000	0.000	0.649	0.122	0.092	0.482	0.203	subject613b1941daede	4V
913681.000	914749.000	1114.000	131.250	765.956	0.000	0.000	0.649	0.231	0.919	1.017	2.891	subject613b1941daede	4V
916336.000	916775.000	506.000	486.428	512.983	0.000	0.000	0.649	0.192	0.053	0.078	0.812	subject613b1941daede	4V
916926.000	917444.000	600.000	486.228	528.149	0.000	0.000	0.649	0.219	0.240	0.318	0.885	subject613b1941daede	4V
919071.000	919727.000	721.000	803.242	779.189	0.000	0.000	0.649	0.582	1.300	2.609	2.656	subject613b1941daede	4V
919839.000	920277.000	505.000	797.186	809.607	0.000	0.000	0.649	0.207	0.201	0.434	0.584	subject613b1941daede	4V
1211961.000	1229176.000	17282.000	529.015	528.087	0.000	0.000	0.670	4.329	675.306	27.138	25.619	subject613b1941daede	5V
108.000	47728.000	47694.000	481.539	480.012	0.000	0.000	0.839	0.943	97.010	30.458	15.204	subject613b1941daede	6I
122.000	76593.000	76542.000	516.185	480.535	0.000	0.000	0.819	1.529	316.676	41.349	25.197	subject613b1941daede	8S
292.000	34918.000	34694.000	372.824	173.118	0.000	0.000	0.839	1.165	146.861	28.000	23.865	subject613b1941daede	9I
