FixStart	FixEnd	FixDur	XPos	YPos	FlankedByDataLoss	Fraction Interpolated	WeightCutoff	RMSxy	BCEA	FixRangeX	FixRangeY	Participant	Trial
1.000	1.000	52.000	10.101	209.930	0.000	0.000	0.485	NaN	NaN	0.000	0.000	subject613b2fcc43437	10S
88.000	1822.000	1767.000	28.810	299.790	0.000	0.000	0.485	2.148	160.136	40.809	8.950	subject613b2fcc43437	10S
1889.000	2156.000	300.000	187.066	647.430	0.000	0.000	0.485	1.038	10.250	4.644	4.530	subject613b2fcc43437	10S
2222.000	4024.000	1836.000	73.589	407.785	0.000	0.000	0.485	0.914	117.745	10.883	17.562	subject613b2fcc43437	10S
4093.000	4291.000	233.000	234.392	146.429	0.000	0.000	0.485	0.330	0.259	0.774	0.604	subject613b2fcc43437	10S
4362.000	4458.000	130.000	256.741	176.196	0.000	0.000	0.485	0.285	0.198	0.412	0.567	subject613b2fcc43437	10S
4525.000	5063.000	569.000	348.210	211.585	0.000	0.000	0.485	0.401	2.794	2.991	2.854	subject613b2fcc43437	10S
5125.000	5225.000	134.000	367.017	302.428	0.000	0.000	0.485	0.259	0.138	0.278	0.489	subject613b2fcc43437	10S
5294.000	5361.000	98.000	353.728	320.097	0.000	0.000	0.485	0.188	0.067	0.121	0.308	subject613b2fcc43437	10S
5426.000	5461.000	66.000	327.919	315.322	0.000	0.000	0.485	0.075	0.000	0.019	0.073	subject613b2fcc43437	10S
5526.000	6527.000	1034.000	351.874	195.401	0.000	0.000	0.485	1.274	150.193	20.450	8.759	subject613b2fcc43437	10S
6593.000	6727.000	167.000	-282.876	472.470	0.000	0.000	0.485	0.401	0.586	0.739	0.747	subject613b2fcc43437	10S
6794.000	7263.000	500.000	-215.759	445.138	0.000	0.000	0.485	0.418	0.993	2.867	0.611	subject613b2fcc43437	10S
7327.000	7962.000	668.000	-79.363	441.778	0.000	0.000	0.485	0.654	8.223	7.940	1.487	subject613b2fcc43437	10S
8030.000	8497.000	501.000	-227.223	445.263	0.000	0.000	0.485	0.380	1.481	2.999	1.702	subject613b2fcc43437	10S
8564.000	8931.000	400.000	-187.433	419.295	0.000	0.000	0.485	0.270	0.548	1.612	0.573	subject613b2fcc43437	10S
8997.000	9164.000	199.000	-159.909	438.851	0.000	0.000	0.485	0.264	0.110	0.647	0.176	subject613b2fcc43437	10S
9230.000	9396.000	199.000	-69.312	413.883	0.000	0.000	0.485	0.550	0.990	2.455	0.684	subject613b2fcc43437	10S
9463.000	9806.000	376.000	113.116	290.940	0.000	0.000	0.485	0.862	11.832	2.290	6.834	subject613b2fcc43437	10S
9869.000	10631.000	795.000	170.340	227.899	0.000	0.000	0.485	0.577	5.233	6.559	5.497	subject613b2fcc43437	10S
10697.000	11164.000	501.000	327.071	288.336	0.000	0.000	0.485	0.462	3.581	3.583	3.067	subject613b2fcc43437	10S
11232.000	12065.000	868.000	98.822	230.015	0.000	0.000	0.485	1.223	65.535	22.433	5.102	subject613b2fcc43437	10S
12132.000	12600.000	502.000	-60.075	293.300	0.000	0.000	0.485	1.010	10.748	9.408	7.951	subject613b2fcc43437	10S
12666.000	13005.000	372.000	187.112	524.271	0.000	0.000	0.485	0.673	4.124	1.897	2.249	subject613b2fcc43437	10S
13068.000	13168.000	132.000	86.211	509.097	0.000	0.000	0.485	0.583	0.981	0.806	0.927	subject613b2fcc43437	10S
13233.000	13734.000	534.000	132.257	416.154	0.000	0.000	0.485	0.696	7.052	1.189	7.829	subject613b2fcc43437	10S
13800.000	14468.000	701.000	2.314	452.077	0.000	0.000	0.485	0.777	25.752	6.369	6.470	subject613b2fcc43437	10S
14534.000	14802.000	301.000	-75.101	426.776	0.000	0.000	0.485	0.550	1.803	3.444	1.620	subject613b2fcc43437	10S
14868.000	15802.000	968.000	214.929	366.989	0.000	0.000	0.485	0.494	6.734	9.654	3.080	subject613b2fcc43437	10S
15869.000	16770.000	935.000	72.442	375.180	0.000	0.000	0.485	1.211	32.971	22.934	7.745	subject613b2fcc43437	10S
16839.000	18272.000	1466.000	-164.880	363.873	0.000	0.000	0.485	0.802	40.653	6.389	10.825	subject613b2fcc43437	10S
18338.000	18538.000	234.000	-29.377	365.821	0.000	0.000	0.485	0.207	0.148	0.434	0.466	subject613b2fcc43437	10S
18605.000	18872.000	300.000	60.548	332.427	0.000	0.000	0.485	0.440	0.663	2.786	1.233	subject613b2fcc43437	10S
