FixStart	FixEnd	FixDur	XPos	YPos	FlankedByDataLoss	Fraction Interpolated	WeightCutoff	RMSxy	BCEA	FixRangeX	FixRangeY	Participant	Trial
69.000	139974.000	139969.000	422.831	268.232	0.000	0.000	0.840	1.217	211.616	40.317	29.838	subject613b470171f0f	10I
69.000	56167.000	56160.000	518.804	408.271	0.000	0.000	0.810	1.813	369.488	38.772	31.933	subject613b470171f0f	12I
64.000	38271.000	38283.000	540.778	275.665	0.000	0.000	0.802	2.045	415.902	41.581	31.376	subject613b470171f0f	12S
77.000	44793.000	44778.000	527.242	404.562	0.000	0.000	0.824	1.427	209.080	39.673	26.302	subject613b470171f0f	14I
80.000	97055.000	97051.000	357.826	349.265	0.000	0.000	0.822	1.371	327.533	38.153	30.055	subject613b470171f0f	15I
75.000	36171.000	36157.000	621.065	116.938	0.000	0.000	0.829	1.772	357.025	36.926	35.591	subject613b470171f0f	15S
166787.000	167426.000	703.000	982.145	356.241	0.000	0.000	0.646	0.261	0.765	0.917	1.619	subject613b470171f0f	1V
167553.000	167938.000	449.000	939.897	351.026	0.000	0.000	0.646	0.212	0.272	0.995	0.541	subject613b470171f0f	1V
148758.000	149505.000	811.000	195.204	311.471	0.000	0.000	0.646	0.853	2.507	7.345	0.586	subject613b470171f0f	1V
149630.000	150095.000	530.000	191.134	313.617	0.000	0.000	0.646	0.365	0.718	1.225	1.533	subject613b470171f0f	1V
151706.000	152373.000	731.000	144.018	-20.604	0.000	0.000	0.646	0.247	0.957	1.290	0.949	subject613b470171f0f	1V
152500.000	153012.000	574.000	153.603	21.221	0.000	0.000	0.646	0.613	2.538	3.237	1.430	subject613b470171f0f	1V
154630.000	156152.000	1582.000	652.950	427.652	0.000	0.000	0.646	0.362	1.181	0.856	4.020	subject613b470171f0f	1V
157755.000	158373.000	680.000	244.460	679.348	0.000	0.000	0.646	0.408	0.279	2.913	0.500	subject613b470171f0f	1V
158502.000	158688.000	248.000	267.196	682.054	0.000	0.000	0.646	0.098	0.004	0.255	0.128	subject613b470171f0f	1V
158813.000	159061.000	309.000	244.021	689.939	0.000	0.000	0.646	0.123	0.009	0.472	0.105	subject613b470171f0f	1V
160681.000	161261.000	644.000	951.404	-14.503	0.000	0.000	0.646	0.289	0.509	0.680	1.511	subject613b470171f0f	1V
161387.000	162024.000	697.000	980.692	-32.837	0.000	0.000	0.646	0.257	0.110	0.924	1.083	subject613b470171f0f	1V
163622.000	164404.000	861.000	1089.115	768.643	0.000	0.000	0.646	0.928	5.258	5.414	1.252	subject613b470171f0f	1V
164561.000	165169.000	670.000	982.826	813.455	0.000	0.000	0.646	0.672	5.967	2.456	2.941	subject613b470171f0f	1V
347358.000	347916.000	623.000	596.602	437.170	0.000	0.000	0.629	0.455	1.093	0.663	3.274	subject613b470171f0f	2V
348040.000	348040.000	79.000	604.657	402.622	0.000	0.000	0.629	NaN	NaN	0.000	0.000	subject613b470171f0f	2V
