FixStart	FixEnd	FixDur	XPos	YPos	FlankedByDataLoss	Fraction Interpolated	WeightCutoff	RMSxy	BCEA	FixRangeX	FixRangeY	Participant	Trial
50.000	759.000	745.000	616.051	256.508	0.000	0.000	0.581	2.816	109.321	33.066	18.463	subject613b769da5ed2	13I
831.000	1200.000	408.000	243.338	86.412	0.000	0.000	0.581	0.726	8.397	4.211	2.589	subject613b769da5ed2	13I
1277.000	1783.000	545.000	251.793	-49.819	0.000	0.000	0.581	0.480	0.595	0.587	1.598	subject613b769da5ed2	13I
1859.000	1896.000	73.000	275.842	-42.076	0.000	0.000	0.581	0.354	0.000	0.044	0.351	subject613b769da5ed2	13I
1985.000	2165.000	233.000	322.762	-43.238	0.000	0.000	0.581	0.308	0.205	0.940	0.453	subject613b769da5ed2	13I
2267.000	2935.000	716.000	286.121	-60.108	0.000	0.000	0.581	0.372	3.604	1.818	2.770	subject613b769da5ed2	13I
3022.000	3173.000	195.000	335.447	47.848	0.000	0.000	0.581	0.321	0.255	0.296	0.811	subject613b769da5ed2	13I
3255.000	5434.000	2223.000	224.036	378.297	0.000	0.000	0.581	0.774	64.362	7.174	16.616	subject613b769da5ed2	13I
5517.000	6318.000	850.000	405.157	554.913	0.000	0.000	0.581	0.751	6.585	6.646	1.257	subject613b769da5ed2	13I
6408.000	7242.000	875.000	223.370	309.252	0.000	0.000	0.581	1.351	32.387	3.037	19.477	subject613b769da5ed2	13I
7317.000	7800.000	522.000	267.353	122.388	0.000	0.000	0.581	0.588	4.245	2.430	3.949	subject613b769da5ed2	13I
7880.000	8114.000	286.000	394.804	149.186	0.000	0.000	0.581	0.248	0.195	0.397	0.545	subject613b769da5ed2	13I
8201.000	8692.000	529.000	331.052	73.182	0.000	0.000	0.581	0.575	4.549	2.648	2.277	subject613b769da5ed2	13I
8800.000	9167.000	403.000	446.205	64.688	0.000	0.000	0.581	0.352	1.007	1.557	0.753	subject613b769da5ed2	13I
9251.000	9367.000	153.000	402.056	85.635	0.000	0.000	0.581	0.358	0.222	0.494	0.341	subject613b769da5ed2	13I
9451.000	10411.000	995.000	451.108	91.801	0.000	0.000	0.581	0.530	4.084	4.267	1.437	subject613b769da5ed2	13I
10481.000	12866.000	2422.000	534.816	103.888	0.000	0.000	0.581	0.779	18.323	15.301	3.016	subject613b769da5ed2	13I
12939.000	13227.000	325.000	349.271	147.475	0.000	0.000	0.581	0.458	0.605	3.027	0.306	subject613b769da5ed2	13I
13299.000	13558.000	296.000	444.730	115.445	0.000	0.000	0.581	0.339	0.335	0.644	1.264	subject613b769da5ed2	13I
13630.000	14301.000	706.000	316.633	83.317	0.000	0.000	0.581	0.513	7.392	3.935	2.650	subject613b769da5ed2	13I
14385.000	14838.000	495.000	409.898	163.429	0.000	0.000	0.581	0.291	0.164	0.499	0.658	subject613b769da5ed2	13I
14934.000	15217.000	326.000	340.097	152.441	0.000	0.000	0.581	0.358	0.498	1.542	0.333	subject613b769da5ed2	13I
15297.000	15297.000	53.000	351.709	166.698	0.000	0.000	0.581	NaN	NaN	0.000	0.000	subject613b769da5ed2	13I
15389.000	15899.000	561.000	354.493	175.845	0.000	0.000	0.581	0.380	0.933	2.901	0.416	subject613b769da5ed2	13I
16001.000	16557.000	593.000	412.244	186.082	0.000	0.000	0.581	0.499	1.362	4.713	0.619	subject613b769da5ed2	13I
16628.000	16869.000	277.000	306.656	212.609	0.000	0.000	0.581	0.272	0.438	0.640	0.599	subject613b769da5ed2	13I
16939.000	17772.000	879.000	322.113	277.290	0.000	0.000	0.581	1.313	31.506	2.715	16.955	subject613b769da5ed2	13I
17855.000	18084.000	279.000	350.021	522.747	0.000	0.000	0.581	0.424	0.684	0.998	1.140	subject613b769da5ed2	13I
18170.000	18567.000	433.000	347.911	460.498	0.000	0.000	0.581	0.413	0.981	1.129	2.080	subject613b769da5ed2	13I
18638.000	20330.000	1727.000	234.052	444.201	0.000	0.000	0.581	0.927	43.109	8.167	8.484	subject613b769da5ed2	13I
20415.000	20924.000	567.000	330.066	507.992	0.000	0.000	0.581	0.290	0.898	0.948	1.303	subject613b769da5ed2	13I
21025.000	22099.000	1113.000	208.730	472.510	0.000	0.000	0.581	0.345	4.138	4.841	1.909	subject613b769da5ed2	13I
22179.000	22251.000	109.000	167.142	452.290	0.000	0.000	0.581	0.179	0.046	0.295	0.088	subject613b769da5ed2	13I
22333.000	22447.000	149.000	171.375	435.830	0.000	0.000	0.581	0.224	0.115	0.353	0.344	subject613b769da5ed2	13I
22515.000	22639.000	159.000	198.702	438.245	0.000	0.000	0.581	0.323	0.233	0.667	0.357	subject613b769da5ed2	13I
22710.000	24400.000	1740.000	226.501	510.193	0.000	0.000	0.581	0.397	6.917	7.367	2.114	subject613b769da5ed2	13I
24486.000	26433.000	1998.000	247.646	628.093	0.000	0.000	0.581	1.217	84.799	16.067	9.596	subject613b769da5ed2	13I
26519.000	26787.000	315.000	138.247	588.292	0.000	0.000	0.581	0.195	0.181	0.417	0.592	subject613b769da5ed2	13I
26868.000	27165.000	331.000	77.282	565.308	0.000	0.000	0.581	0.264	0.416	1.231	0.866	subject613b769da5ed2	13I
27250.000	27833.000	619.000	83.875	593.309	0.000	0.000	0.581	0.362	1.888	3.178	2.191	subject613b769da5ed2	13I
27904.000	28021.000	155.000	183.913	621.776	0.000	0.000	0.581	0.227	0.089	0.347	0.348	subject613b769da5ed2	13I
28100.000	28136.000	72.000	198.986	598.530	0.000	0.000	0.581	0.199	0.000	0.191	0.055	subject613b769da5ed2	13I
28216.000	29451.000	1300.000	118.862	549.235	0.000	0.000	0.581	0.789	39.479	7.288	7.553	subject613b769da5ed2	13I
29566.000	29939.000	434.000	218.078	517.337	0.000	0.000	0.581	0.491	1.860	2.969	0.840	subject613b769da5ed2	13I
30048.000	30380.000	368.000	245.842	541.365	0.000	0.000	0.581	0.420	0.598	1.863	0.503	subject613b769da5ed2	13I
30467.000	30844.000	434.000	359.157	511.706	0.000	0.000	0.581	0.241	0.571	1.052	0.870	subject613b769da5ed2	13I
30940.000	31067.000	162.000	376.045	505.845	0.000	0.000	0.581	0.208	0.046	0.240	0.119	subject613b769da5ed2	13I
31144.000	31937.000	828.000	217.158	502.359	0.000	0.000	0.581	0.545	9.558	7.697	2.270	subject613b769da5ed2	13I
32013.000	32483.000	510.000	140.778	587.955	0.000	0.000	0.581	0.316	0.651	1.705	1.373	subject613b769da5ed2	13I
32561.000	33117.000	605.000	221.608	618.228	0.000	0.000	0.581	0.315	1.167	2.437	0.726	subject613b769da5ed2	13I
33204.000	33283.000	119.000	300.004	604.666	0.000	0.000	0.581	0.252	0.051	0.386	0.307	subject613b769da5ed2	13I
33364.000	33605.000	279.000	325.566	642.450	0.000	0.000	0.581	0.459	1.081	0.919	1.510	subject613b769da5ed2	13I
