FixStart	FixEnd	FixDur	XPos	YPos	FlankedByDataLoss	Fraction Interpolated	WeightCutoff	RMSxy	BCEA	FixRangeX	FixRangeY	Participant	Trial
77.000	88915.000	88921.000	348.575	397.810	0.000	0.000	0.822	1.283	268.913	37.306	21.527	subject613ca72cea46f	10S
95.000	161555.000	161516.000	502.726	332.142	0.000	0.000	0.816	1.527	322.459	42.642	24.510	subject613ca72cea46f	12S
76.000	233091.000	233083.000	435.046	511.395	0.000	0.000	0.817	1.235	252.748	52.375	37.478	subject613ca72cea46f	13I
81.000	102869.000	102851.000	488.727	376.644	0.000	0.000	0.818	1.450	230.711	39.348	32.335	subject613ca72cea46f	14I
63.000	42236.000	42255.000	453.925	280.834	0.000	0.000	0.820	1.952	410.929	45.009	22.997	subject613ca72cea46f	14S
72.000	125648.000	125642.000	366.950	454.596	0.000	0.000	0.816	1.205	141.783	33.651	29.093	subject613ca72cea46f	15I
64.000	190929.000	190929.000	512.386	425.902	0.000	0.000	0.810	1.467	287.291	42.038	26.531	subject613ca72cea46f	1S
72.000	233278.000	233262.000	560.590	443.450	0.000	0.000	0.810	1.436	233.923	51.122	27.459	subject613ca72cea46f	2I
72.000	26906.000	26918.000	516.510	392.611	0.000	0.000	0.776	2.006	379.779	47.340	28.983	subject613ca72cea46f	2S
628743.000	646025.000	17350.000	424.378	465.580	0.000	0.000	0.673	4.883	633.933	28.417	25.299	subject613ca72cea46f	2V
969400.000	986612.000	17274.000	514.352	446.310	0.000	0.000	0.678	3.627	429.165	23.213	22.962	subject613ca72cea46f	3V
1240823.000	1241926.000	1159.000	197.250	380.176	0.000	0.000	0.638	0.415	5.433	3.145	2.243	subject613ca72cea46f	4V
1243516.000	1244067.000	617.000	885.767	777.109	0.000	0.000	0.638	0.412	0.803	3.465	0.905	subject613ca72cea46f	4V
1244201.000	1244650.000	505.000	945.222	737.511	0.000	0.000	0.638	0.148	0.104	0.460	0.306	subject613ca72cea46f	4V
1246233.000	1247301.000	1150.000	212.240	750.743	0.000	0.000	0.638	0.412	2.693	3.595	2.114	subject613ca72cea46f	4V
1248926.000	1249450.000	591.000	599.336	386.779	0.000	0.000	0.638	0.748	0.636	3.503	2.775	subject613ca72cea46f	4V
1249582.000	1249915.000	419.000	601.790	382.891	0.000	0.000	0.638	0.199	0.220	0.521	0.437	subject613ca72cea46f	4V
1251558.000	1252667.000	1160.000	164.935	69.074	0.000	0.000	0.638	0.311	1.468	0.666	3.909	subject613ca72cea46f	4V
1254246.000	1254850.000	664.000	955.748	408.053	0.000	0.000	0.638	0.310	0.175	1.192	1.952	subject613ca72cea46f	4V
1254966.000	1255325.000	411.000	991.174	443.669	0.000	0.000	0.638	0.280	0.594	0.513	1.101	subject613ca72cea46f	4V
1256907.000	1257318.000	485.000	1021.431	123.104	0.000	0.000	0.638	0.235	0.120	0.248	0.935	subject613ca72cea46f	4V
1257450.000	1257997.000	609.000	1013.993	139.838	0.000	0.000	0.638	0.240	0.273	0.850	0.773	subject613ca72cea46f	4V
81.000	103021.000	103023.000	514.066	186.950	0.000	0.000	0.813	1.535	221.955	37.253	23.340	subject613ca72cea46f	5I
1979165.000	1979364.000	263.000	856.898	738.716	0.000	0.000	0.657	0.337	0.331	0.530	0.623	subject613ca72cea46f	5V
1979500.000	1980201.000	764.000	879.527	744.351	0.000	0.000	0.657	1.771	4.720	10.552	8.433	subject613ca72cea46f	5V
1981795.000	1982334.000	605.000	257.344	714.812	0.000	0.000	0.657	0.527	0.705	2.915	0.832	subject613ca72cea46f	5V
1982463.000	1982890.000	486.000	274.630	700.187	0.000	0.000	0.657	0.270	0.133	1.116	0.195	subject613ca72cea46f	5V
1984504.000	1985062.000	616.000	95.612	89.678	0.000	0.000	0.657	1.291	6.357	6.622	4.364	subject613ca72cea46f	5V
1985176.000	1985559.000	459.000	165.427	12.391	0.000	0.000	0.657	0.498	1.537	1.980	1.167	subject613ca72cea46f	5V
1987196.000	1987718.000	588.000	490.010	409.356	0.000	0.000	0.657	0.698	3.513	2.723	4.499	subject613ca72cea46f	5V
1987842.000	1988209.000	443.000	483.103	501.727	0.000	0.000	0.657	0.448	0.875	2.123	0.726	subject613ca72cea46f	5V
1989842.000	1990285.000	510.000	205.123	380.697	0.000	0.000	0.657	0.550	1.838	0.871	2.489	subject613ca72cea46f	5V
1990417.000	1990892.000	547.000	130.203	381.921	0.000	0.000	0.657	0.477	2.421	1.381	2.122	subject613ca72cea46f	5V
1992524.000	1993662.000	1189.000	1096.333	123.706	0.000	0.000	0.657	1.289	23.257	9.297	4.053	subject613ca72cea46f	5V
1995239.000	1995776.000	596.000	889.579	389.605	0.000	0.000	0.657	0.707	1.959	3.991	0.843	subject613ca72cea46f	5V
1995902.000	1996419.000	586.000	900.373	448.587	0.000	0.000	0.657	0.653	3.025	3.621	1.250	subject613ca72cea46f	5V
84.000	27970.000	27964.000	443.539	160.714	0.000	0.000	0.773	1.811	358.192	40.015	25.983	subject613ca72cea46f	6S
105.000	108102.000	108081.000	437.147	123.241	0.000	0.000	0.825	1.426	213.957	41.999	26.014	subject613ca72cea46f	9I
