FixStart	FixEnd	FixDur	XPos	YPos	FlankedByDataLoss	Fraction Interpolated	WeightCutoff	RMSxy	BCEA	FixRangeX	FixRangeY	Participant	Trial
1.000	36348.000	36416.000	448.367	461.909	0.000	0.000	0.817	4.139	367.128	41.547	30.670	subject611b5ef7de44c	10S
136.000	55968.000	55906.000	684.168	725.360	0.000	0.000	0.824	8.464	602.580	59.495	33.453	subject611b5ef7de44c	11S
73.000	134708.000	134726.000	317.028	724.345	0.000	0.000	0.764	8.566	461.431	63.091	43.404	subject611b5ef7de44c	14I
1.000	1.000	72.000	1106.075	607.594	0.000	0.000	0.815	NaN	NaN	0.000	0.000	subject611b5ef7de44c	14S
171.000	18613.000	18516.000	448.367	284.751	0.000	0.000	0.815	4.402	443.889	38.948	27.978	subject611b5ef7de44c	14S
456838.000	474378.000	17618.000	496.380	420.560	0.000	0.000	0.817	5.458	484.346	30.090	24.425	subject611b5ef7de44c	2V
68.000	42645.000	42651.000	322.606	253.279	0.000	0.000	0.820	3.788	352.085	39.311	33.059	subject611b5ef7de44c	3I
1.000	36322.000	36397.000	557.901	424.853	0.000	0.000	0.784	4.608	257.616	35.232	22.413	subject611b5ef7de44c	3S
667393.000	684976.000	17657.000	589.578	460.590	0.000	0.000	0.844	4.990	555.352	29.577	26.237	subject611b5ef7de44c	3V
868232.000	885882.000	17721.000	516.641	362.797	0.000	0.000	0.781	4.788	627.988	28.853	28.109	subject611b5ef7de44c	4V
1.000	40636.000	40715.000	485.385	318.254	0.000	0.000	0.814	3.654	271.067	37.437	27.706	subject611b5ef7de44c	5I
73.000	42536.000	42553.000	404.249	390.335	0.000	0.000	0.831	4.324	465.245	39.401	29.581	subject611b5ef7de44c	5S
1063584.000	1081175.000	17669.000	629.086	442.855	0.000	0.000	0.809	4.217	622.156	28.883	28.079	subject611b5ef7de44c	5V
1.000	27406.000	27482.000	388.022	406.579	0.000	0.000	0.788	4.007	233.801	35.776	30.882	subject611b5ef7de44c	6I
1.000	73825.000	73907.000	236.907	619.269	0.000	0.000	0.807	3.516	161.292	34.567	24.863	subject611b5ef7de44c	7I
1.000	16377.000	16451.000	361.146	336.020	0.000	0.000	0.809	4.606	278.944	39.401	25.347	subject611b5ef7de44c	9I
1.000	37713.000	37796.000	376.866	198.457	0.000	0.000	0.810	5.318	370.936	38.132	35.207	subject611b5ef7de44c	9S
