FixStart	FixEnd	FixDur	XPos	YPos	FlankedByDataLoss	Fraction Interpolated	WeightCutoff	RMSxy	BCEA	FixRangeX	FixRangeY	Participant	Trial
64.000	342.000	308.000	1406.632	278.866	0.000	0.000	0.608	0.999	3.177	1.898	2.911	subject611bf93ea5a82	10I
404.000	1600.000	1226.000	348.168	53.348	0.000	0.000	0.608	5.015	87.318	13.519	21.183	subject611bf93ea5a82	10I
1662.000	1820.000	187.000	191.972	-25.605	0.000	0.000	0.608	1.451	6.802	2.132	3.327	subject611bf93ea5a82	10I
1883.000	1947.000	93.000	170.157	85.191	0.000	0.000	0.608	0.810	0.000	0.052	1.144	subject611bf93ea5a82	10I
2008.000	2163.000	185.000	276.614	-9.029	0.000	0.000	0.608	1.796	7.144	2.730	2.573	subject611bf93ea5a82	10I
2226.000	2599.000	403.000	479.930	-50.905	0.000	0.000	0.608	2.892	28.019	6.785	8.031	subject611bf93ea5a82	10I
2662.000	2832.000	232.000	569.372	120.523	0.000	0.000	0.608	4.533	56.715	8.007	10.189	subject611bf93ea5a82	10I
2924.000	3297.000	404.000	670.157	10.164	0.000	0.000	0.608	2.697	19.116	5.615	5.900	subject611bf93ea5a82	10I
3359.000	3764.000	435.000	857.330	145.387	0.000	0.000	0.608	2.390	16.995	5.459	3.951	subject611bf93ea5a82	10I
3827.000	4352.000	555.000	806.283	65.998	0.000	0.000	0.608	2.028	27.503	5.615	7.486	subject611bf93ea5a82	10I
4415.000	4879.000	493.000	697.208	94.787	0.000	0.000	0.608	4.575	48.920	13.467	5.822	subject611bf93ea5a82	10I
4939.000	5000.000	93.000	803.665	114.853	0.000	0.000	0.608	1.249	1.218	0.416	2.209	subject611bf93ea5a82	10I
5064.000	5190.000	156.000	818.499	191.625	0.000	0.000	0.608	3.721	26.271	4.472	6.628	subject611bf93ea5a82	10I
5252.000	5940.000	717.000	294.939	-51.778	0.000	0.000	0.608	2.757	18.100	5.251	6.940	subject611bf93ea5a82	10I
6000.000	6154.000	185.000	392.670	3.184	0.000	0.000	0.608	2.217	14.033	3.094	3.405	subject611bf93ea5a82	10I
6215.000	6892.000	708.000	229.494	-36.947	0.000	0.000	0.608	1.968	13.026	4.991	4.445	subject611bf93ea5a82	10I
6955.000	7079.000	154.000	301.047	68.615	0.000	0.000	0.608	1.369	2.064	1.820	1.508	subject611bf93ea5a82	10I
7141.000	7746.000	636.000	498.255	78.212	0.000	0.000	0.608	2.825	22.883	5.615	9.123	subject611bf93ea5a82	10I
7809.000	7873.000	95.000	704.188	485.627	0.000	0.000	0.608	8.198	10.717	8.267	5.822	subject611bf93ea5a82	10I
7934.000	9363.000	1459.000	272.251	40.698	0.000	0.000	0.608	3.437	36.335	12.245	8.343	subject611bf93ea5a82	10I
9424.000	10290.000	897.000	232.984	41.570	0.000	0.000	0.608	2.158	14.956	6.499	4.575	subject611bf93ea5a82	10I
10353.000	11069.000	746.000	409.250	154.547	0.000	0.000	0.608	5.132	96.861	17.444	10.942	subject611bf93ea5a82	10I
11131.000	12418.000	1319.000	307.155	39.826	0.000	0.000	0.608	2.587	19.123	7.123	6.420	subject611bf93ea5a82	10I
12480.000	12881.000	433.000	206.806	49.422	0.000	0.000	0.608	2.764	13.985	3.952	5.952	subject611bf93ea5a82	10I
12946.000	13594.000	677.000	356.021	112.236	0.000	0.000	0.608	2.577	16.771	7.435	5.224	subject611bf93ea5a82	10I
13655.000	14496.000	873.000	253.054	96.532	0.000	0.000	0.608	4.267	67.288	15.442	8.265	subject611bf93ea5a82	10I
14561.000	15147.000	616.000	365.620	1.439	0.000	0.000	0.608	2.523	17.580	7.513	4.678	subject611bf93ea5a82	10I
15211.000	15275.000	94.000	329.843	643.533	0.000	0.000	0.608	9.594	58.014	11.673	8.629	subject611bf93ea5a82	10I
15339.000	16097.000	790.000	253.927	39.826	0.000	0.000	0.608	2.890	29.272	9.099	8.863	subject611bf93ea5a82	10I
16161.000	16286.000	156.000	315.881	-1.178	0.000	0.000	0.608	1.586	5.322	2.860	1.559	subject611bf93ea5a82	10I
16350.000	16474.000	156.000	600.349	-91.036	0.000	0.000	0.608	3.583	18.370	3.510	3.769	subject611bf93ea5a82	10I
16539.000	16924.000	417.000	782.286	93.915	0.000	0.000	0.608	1.593	6.825	4.757	2.625	subject611bf93ea5a82	10I
16995.000	17412.000	450.000	328.098	186.390	0.000	0.000	0.608	2.923	16.626	6.109	5.172	subject611bf93ea5a82	10I
17496.000	17728.000	272.000	352.967	222.159	0.000	0.000	0.608	1.312	2.819	2.574	1.118	subject611bf93ea5a82	10I
17799.000	18281.000	513.000	515.707	287.590	0.000	0.000	0.608	4.578	52.120	10.685	8.291	subject611bf93ea5a82	10I
18345.000	19604.000	1290.000	302.792	401.003	0.000	0.000	0.608	3.582	42.531	11.283	8.967	subject611bf93ea5a82	10I
19667.000	20895.000	1261.000	317.627	525.758	0.000	0.000	0.608	3.428	59.585	13.389	11.384	subject611bf93ea5a82	10I
20962.000	22401.000	1469.000	382.199	529.684	0.000	0.000	0.608	3.875	32.132	12.375	5.718	subject611bf93ea5a82	10I
22463.000	22557.000	123.000	258.290	738.190	0.000	0.000	0.608	1.769	6.197	2.470	2.235	subject611bf93ea5a82	10I
22619.000	23025.000	435.000	595.113	444.624	0.000	0.000	0.608	2.422	21.381	4.913	8.343	subject611bf93ea5a82	10I
23086.000	23149.000	93.000	225.131	456.838	0.000	0.000	0.608	3.192	0.000	1.040	4.393	subject611bf93ea5a82	10I
23212.000	23273.000	90.000	272.251	161.963	0.000	0.000	0.608	2.049	0.000	0.468	2.859	subject611bf93ea5a82	10I
23334.000	23425.000	121.000	66.754	153.239	0.000	0.000	0.608	1.518	0.000	2.314	1.248	subject611bf93ea5a82	10I
23486.000	23954.000	498.000	359.511	467.306	0.000	0.000	0.608	5.559	108.242	9.125	16.998	subject611bf93ea5a82	10I
24017.000	24141.000	152.000	109.948	108.746	0.000	0.000	0.608	3.467	11.707	2.548	4.523	subject611bf93ea5a82	10I
24201.000	24265.000	94.000	127.400	359.128	0.000	0.000	0.608	2.567	4.663	3.094	1.170	subject611bf93ea5a82	10I
24327.000	24808.000	510.000	476.003	336.445	0.000	0.000	0.608	3.100	37.853	4.705	8.525	subject611bf93ea5a82	10I
24870.000	25024.000	184.000	258.290	445.060	0.000	0.000	0.608	1.757	9.942	2.548	4.029	subject611bf93ea5a82	10I
25096.000	26107.000	1050.000	173.211	458.582	0.000	0.000	0.608	2.333	22.862	11.283	4.990	subject611bf93ea5a82	10I
26195.000	26479.000	314.000	499.127	571.996	0.000	0.000	0.608	2.549	22.193	6.421	3.769	subject611bf93ea5a82	10I
26546.000	26662.000	149.000	141.798	665.780	0.000	0.000	0.608	3.151	14.765	2.834	4.471	subject611bf93ea5a82	10I
26729.000	27083.000	384.000	251.309	500.894	0.000	0.000	0.608	2.300	16.999	5.589	6.030	subject611bf93ea5a82	10I
27144.000	27548.000	434.000	478.185	489.989	0.000	0.000	0.608	2.755	18.132	6.655	3.483	subject611bf93ea5a82	10I
27612.000	27829.000	250.000	241.710	517.906	0.000	0.000	0.608	2.019	2.945	2.106	2.677	subject611bf93ea5a82	10I
27891.000	28936.000	1076.000	451.134	519.651	0.000	0.000	0.608	3.595	51.358	11.023	9.305	subject611bf93ea5a82	10I
28998.000	29342.000	375.000	520.070	456.838	0.000	0.000	0.608	3.059	29.867	10.373	6.706	subject611bf93ea5a82	10I
29405.000	29686.000	312.000	237.347	498.713	0.000	0.000	0.608	3.253	37.397	8.293	6.550	subject611bf93ea5a82	10I
29748.000	29934.000	216.000	449.825	614.744	0.000	0.000	0.608	6.954	129.417	11.465	11.514	subject611bf93ea5a82	10I
29995.000	30792.000	826.000	531.414	571.559	0.000	0.000	0.608	2.856	44.891	11.569	10.786	subject611bf93ea5a82	10I
30854.000	31133.000	308.000	442.845	515.289	0.000	0.000	0.608	3.954	56.345	9.333	8.603	subject611bf93ea5a82	10I
31195.000	31348.000	184.000	496.510	530.120	0.000	0.000	0.608	1.411	3.817	2.756	1.949	subject611bf93ea5a82	10I
31410.000	31689.000	310.000	315.881	503.511	0.000	0.000	0.608	2.582	14.116	2.132	6.186	subject611bf93ea5a82	10I
31751.000	32342.000	621.000	405.323	544.079	0.000	0.000	0.608	4.370	79.058	9.645	10.709	subject611bf93ea5a82	10I
32403.000	33085.000	712.000	514.834	490.862	0.000	0.000	0.608	2.238	13.140	7.955	3.613	subject611bf93ea5a82	10I
33147.000	33551.000	433.000	329.843	554.984	0.000	0.000	0.608	2.030	14.569	6.577	5.562	subject611bf93ea5a82	10I
33612.000	33676.000	94.000	125.654	309.400	0.000	0.000	0.608	2.288	8.405	1.690	3.717	subject611bf93ea5a82	10I
33738.000	33991.000	283.000	285.340	291.080	0.000	0.000	0.608	1.817	7.305	2.652	3.015	subject611bf93ea5a82	10I
34052.000	34481.000	459.000	324.607	17.143	0.000	0.000	0.608	2.395	15.503	5.745	3.665	subject611bf93ea5a82	10I
34543.000	34952.000	440.000	420.593	-31.712	0.000	0.000	0.608	5.121	72.395	4.939	21.859	subject611bf93ea5a82	10I
35015.000	36022.000	1039.000	363.002	327.285	0.000	0.000	0.608	5.832	172.865	14.506	26.719	subject611bf93ea5a82	10I
36086.000	36335.000	280.000	239.965	736.009	0.000	0.000	0.608	2.351	19.681	6.655	3.769	subject611bf93ea5a82	10I
36399.000	36880.000	513.000	158.813	657.928	0.000	0.000	0.608	2.478	14.647	4.809	3.873	subject611bf93ea5a82	10I
36942.000	37535.000	624.000	213.351	601.658	0.000	0.000	0.608	1.865	18.046	5.667	6.186	subject611bf93ea5a82	10I
37598.000	38346.000	778.000	310.646	505.692	0.000	0.000	0.608	2.715	40.647	12.349	8.109	subject611bf93ea5a82	10I
38407.000	38624.000	248.000	517.016	613.871	0.000	0.000	0.608	2.439	11.765	4.602	2.261	subject611bf93ea5a82	10I
38688.000	39683.000	1073.000	662.304	577.230	0.000	0.000	0.608	3.081	19.979	7.435	7.122	subject611bf93ea5a82	10I
39794.000	40355.000	591.000	557.592	627.830	0.000	0.000	0.608	5.523	50.170	14.610	8.941	subject611bf93ea5a82	10I
40417.000	40481.000	93.000	316.754	633.064	0.000	0.000	0.608	2.803	9.828	1.612	3.561	subject611bf93ea5a82	10I
