FixStart	FixEnd	FixDur	XPos	YPos	FlankedByDataLoss	Fraction Interpolated	WeightCutoff	RMSxy	BCEA	FixRangeX	FixRangeY	Participant	Trial
103.000	354.000	283.000	218.891	360.993	0.000	0.000	0.672	6.686	58.074	9.874	5.400	subject611c1d098e97d	10S
423.000	714.000	325.000	94.180	130.113	0.000	0.000	0.672	7.453	90.701	11.078	13.344	subject611c1d098e97d	10S
780.000	835.000	107.000	432.517	593.027	0.000	0.000	0.672	1.754	0.829	1.342	1.857	subject611c1d098e97d	10S
925.000	2105.000	1221.000	173.857	79.896	0.000	0.000	0.672	4.277	48.677	12.075	15.202	subject611c1d098e97d	10S
2189.000	3224.000	1072.000	604.573	112.797	0.000	0.000	0.672	3.853	59.234	12.007	9.940	subject611c1d098e97d	10S
3294.000	3400.000	139.000	767.968	-36.698	0.000	0.000	0.672	2.287	4.426	2.374	4.368	subject611c1d098e97d	10S
3461.000	3532.000	106.000	900.185	80.473	0.000	0.000	0.672	1.264	0.000	0.344	1.754	subject611c1d098e97d	10S
3607.000	3726.000	153.000	938.291	251.902	0.000	0.000	0.672	3.801	27.083	3.337	5.228	subject611c1d098e97d	10S
3794.000	4158.000	394.000	61.848	125.495	0.000	0.000	0.672	4.147	50.187	13.176	5.537	subject611c1d098e97d	10S
4224.000	5275.000	1100.000	269.700	227.082	0.000	0.000	0.672	4.143	116.611	14.243	17.987	subject611c1d098e97d	10S
5363.000	6306.000	976.000	402.494	170.517	0.000	0.000	0.672	3.544	34.947	9.048	8.564	subject611c1d098e97d	10S
6370.000	7511.000	1178.000	710.808	171.671	0.000	0.000	0.672	3.970	67.430	11.869	14.067	subject611c1d098e97d	10S
7597.000	7698.000	141.000	985.635	25.062	0.000	0.000	0.672	4.638	43.336	3.853	6.122	subject611c1d098e97d	10S
7770.000	8299.000	563.000	113.811	166.476	0.000	0.000	0.672	5.536	45.120	7.397	10.352	subject611c1d098e97d	10S
8367.000	8528.000	197.000	276.628	397.356	0.000	0.000	0.672	5.919	56.240	11.181	7.188	subject611c1d098e97d	10S
8599.000	9246.000	713.000	362.079	200.531	0.000	0.000	0.672	3.701	32.917	7.156	10.524	subject611c1d098e97d	10S
9377.000	9617.000	272.000	105.727	237.472	0.000	0.000	0.672	3.867	50.842	4.163	11.143	subject611c1d098e97d	10S
9681.000	9778.000	149.000	143.834	272.681	0.000	0.000	0.672	3.084	14.551	2.546	4.368	subject611c1d098e97d	10S
9858.000	10181.000	365.000	-32.263	222.465	0.000	0.000	0.672	2.901	22.436	3.234	7.291	subject611c1d098e97d	10S
10275.000	10441.000	212.000	134.596	191.296	0.000	0.000	0.672	3.377	22.084	3.647	7.085	subject611c1d098e97d	10S
10536.000	10684.000	183.000	251.224	255.942	0.000	0.000	0.672	1.213	4.811	2.339	2.201	subject611c1d098e97d	10S
10751.000	13311.000	2589.000	709.654	287.111	0.000	0.000	0.672	5.000	148.013	30.928	15.133	subject611c1d098e97d	10S
13368.000	13614.000	276.000	90.716	121.455	0.000	0.000	0.672	3.625	25.255	6.261	3.852	subject611c1d098e97d	10S
13673.000	14307.000	681.000	188.291	140.502	0.000	0.000	0.672	2.667	28.226	7.328	7.635	subject611c1d098e97d	10S
14402.000	15874.000	1518.000	389.215	258.828	0.000	0.000	0.672	3.643	72.575	10.355	16.233	subject611c1d098e97d	10S
15954.000	16955.000	1034.000	718.314	253.056	0.000	0.000	0.672	3.769	38.842	9.358	9.355	subject611c1d098e97d	10S
17023.000	17443.000	452.000	804.919	97.212	0.000	0.000	0.672	3.999	49.696	7.878	8.461	subject611c1d098e97d	10S
