FixStart	FixEnd	FixDur	XPos	YPos	FlankedByDataLoss	Fraction Interpolated	WeightCutoff	RMSxy	BCEA	FixRangeX	FixRangeY	Participant	Trial
79.000	985.000	971.000	464.822	226.507	0.000	0.000	0.692	11.788	339.957	28.104	26.175	subject612252b1aa3c4	10R
1102.000	1147.000	109.000	155.396	56.055	0.000	0.000	0.692	2.253	0.000	0.875	2.076	subject612252b1aa3c4	10R
1259.000	1307.000	123.000	486.339	-18.753	0.000	0.000	0.692	4.161	0.000	4.029	1.038	subject612252b1aa3c4	10R
1436.000	1851.000	471.000	173.156	80.307	0.000	0.000	0.692	8.877	42.092	15.364	7.897	subject612252b1aa3c4	10R
1960.000	2145.000	234.000	330.601	114.808	0.000	0.000	0.692	4.910	39.856	7.672	5.109	subject612252b1aa3c4	10R
2242.000	3994.000	1811.000	346.653	377.489	0.000	0.000	0.692	8.222	482.611	47.253	23.651	subject612252b1aa3c4	10R
4099.000	5508.000	1442.000	1008.880	690.726	0.000	0.000	0.692	5.445	57.631	10.033	13.800	subject612252b1aa3c4	10R
5572.000	5844.000	314.000	1200.137	299.266	0.000	0.000	0.692	4.063	26.289	10.033	3.480	subject612252b1aa3c4	10R
17958.000	18341.000	504.000	274.590	495.679	0.000	0.000	0.692	6.877	115.811	7.692	15.326	subject612252b1aa3c4	10R
18556.000	23524.000	5006.000	91.530	425.653	0.000	0.000	0.692	7.440	118.449	33.069	15.428	subject612252b1aa3c4	10R
23604.000	24643.000	1096.000	50.546	525.397	0.000	0.000	0.692	7.814	62.264	20.594	6.900	subject612252b1aa3c4	10R
24749.000	25471.000	771.000	674.180	768.608	0.000	0.000	0.692	7.026	62.736	15.405	7.572	subject612252b1aa3c4	10R
25566.000	25624.000	111.000	337.773	570.145	0.000	0.000	0.692	2.061	0.000	0.142	2.056	subject612252b1aa3c4	10R
25722.000	26134.000	453.000	81.626	510.709	0.000	0.000	0.692	4.608	26.613	10.704	7.022	subject612252b1aa3c4	10R
26232.000	29251.000	3050.000	-103.825	622.067	0.000	0.000	0.692	7.048	66.418	29.711	8.895	subject612252b1aa3c4	10R
29325.000	32329.000	3059.000	-60.792	473.476	0.000	0.000	0.692	6.924	150.240	22.385	15.265	subject612252b1aa3c4	10R
32440.000	32937.000	542.000	-344.945	359.385	0.000	0.000	0.692	9.923	163.294	33.395	13.189	subject612252b1aa3c4	10R
