FixStart	FixEnd	FixDur	XPos	YPos	FlankedByDataLoss	Fraction Interpolated	WeightCutoff	RMSxy	BCEA	FixRangeX	FixRangeY	Participant	Trial
1.000	55.000	76.000	550.922	778.383	0.000	0.000	0.473	7.021	45.918	5.832	6.128	subject612358250f312	10I
98.000	519.000	450.000	149.504	520.936	0.000	0.000	0.473	5.319	82.200	12.086	15.509	subject612358250f312	10I
575.000	625.000	77.000	450.213	175.546	0.000	0.000	0.473	1.913	0.000	0.085	2.705	subject612358250f312	10I
678.000	1557.000	904.000	262.979	216.681	0.000	0.000	0.473	7.176	146.266	18.552	20.918	subject612358250f312	10I
1614.000	2473.000	883.000	399.149	46.468	0.000	0.000	0.473	5.711	67.926	11.030	12.551	subject612358250f312	10I
2532.000	3407.000	902.000	666.525	108.170	0.000	0.000	0.473	4.996	108.699	23.074	11.030	subject612358250f312	10I
3459.000	3537.000	105.000	534.610	81.929	0.000	0.000	0.473	1.712	1.073	2.324	1.859	subject612358250f312	10I
3591.000	4399.000	842.000	554.468	119.518	0.000	0.000	0.473	7.017	97.423	14.537	16.988	subject612358250f312	10I
4466.000	4617.000	174.000	478.582	654.270	0.000	0.000	0.473	6.482	94.612	9.170	10.945	subject612358250f312	10I
4668.000	5515.000	880.000	343.830	249.305	0.000	0.000	0.473	5.693	64.041	10.354	16.735	subject612358250f312	10I
5581.000	5777.000	226.000	552.340	325.901	0.000	0.000	0.473	4.465	29.406	3.761	7.522	subject612358250f312	10I
5838.000	6165.000	353.000	847.376	315.262	0.000	0.000	0.473	4.463	50.348	13.819	6.128	subject612358250f312	10I
6217.000	6273.000	82.000	705.532	317.390	0.000	0.000	0.473	6.829	16.889	4.184	7.902	subject612358250f312	10I
6331.000	7369.000	1070.000	548.085	293.277	0.000	0.000	0.473	6.162	85.381	15.720	11.664	subject612358250f312	10I
7431.000	8514.000	1114.000	543.830	398.241	0.000	0.000	0.473	6.032	111.253	19.270	16.523	subject612358250f312	10I
8576.000	9368.000	824.000	677.163	328.738	0.000	0.000	0.473	5.075	41.075	12.636	6.001	subject612358250f312	10I
9431.000	10801.000	1402.000	453.050	233.702	0.000	0.000	0.473	4.317	53.020	11.325	11.621	subject612358250f312	10I
10929.000	11213.000	318.000	509.078	204.624	0.000	0.000	0.473	6.615	121.697	12.593	13.438	subject612358250f312	10I
11278.000	11376.000	130.000	450.922	615.262	0.000	0.000	0.473	2.801	9.634	1.606	5.071	subject612358250f312	10I
11441.000	12127.000	724.000	519.007	364.908	0.000	0.000	0.473	4.061	34.821	8.621	9.720	subject612358250f312	10I
12214.000	12866.000	681.000	665.816	308.879	0.000	0.000	0.473	4.920	41.212	9.508	9.382	subject612358250f312	10I
12922.000	13082.000	188.000	743.830	203.915	0.000	0.000	0.473	4.945	52.620	5.494	10.480	subject612358250f312	10I
13137.000	13362.000	259.000	508.369	91.858	0.000	0.000	0.473	2.574	22.331	6.043	5.451	subject612358250f312	10I
13435.000	14148.000	749.000	516.879	220.936	0.000	0.000	0.473	6.649	95.985	11.368	16.397	subject612358250f312	10I
14221.000	14374.000	194.000	748.085	378.383	0.000	0.000	0.473	2.100	2.889	2.747	2.071	subject612358250f312	10I
14450.000	14573.000	165.000	850.213	237.957	0.000	0.000	0.473	3.917	26.941	4.649	3.930	subject612358250f312	10I
14655.000	15937.000	1317.000	706.950	256.397	0.000	0.000	0.473	5.260	53.921	11.072	12.805	subject612358250f312	10I
16010.000	16158.000	188.000	508.369	362.780	0.000	0.000	0.473	3.167	14.014	2.113	5.409	subject612358250f312	10I
16237.000	17460.000	1249.000	480.000	364.908	0.000	0.000	0.473	5.614	104.988	18.298	14.284	subject612358250f312	10I
17515.000	18650.000	1167.000	560.851	337.248	0.000	0.000	0.473	4.657	54.131	13.058	12.297	subject612358250f312	10I
18714.000	18891.000	204.000	552.340	687.603	0.000	0.000	0.473	6.661	67.179	7.691	9.508	subject612358250f312	10I
18946.000	19153.000	231.000	656.596	423.773	0.000	0.000	0.473	4.430	47.285	8.325	6.635	subject612358250f312	10I
19205.000	19914.000	735.000	619.007	419.518	0.000	0.000	0.473	4.957	59.469	11.748	10.818	subject612358250f312	10I
19967.000	20919.000	978.000	511.206	417.390	0.000	0.000	0.473	6.336	109.693	16.397	14.115	subject612358250f312	10I
20975.000	21594.000	644.000	650.922	445.050	0.000	0.000	0.473	4.148	48.102	12.720	8.579	subject612358250f312	10I
21645.000	22248.000	636.000	655.177	549.305	0.000	0.000	0.473	3.241	22.610	7.269	7.057	subject612358250f312	10I
22315.000	22916.000	633.000	579.291	473.418	0.000	0.000	0.473	5.995	97.708	10.523	11.790	subject612358250f312	10I
