FixStart	FixEnd	FixDur	XPos	YPos	FlankedByDataLoss	Fraction Interpolated	WeightCutoff	RMSxy	BCEA	FixRangeX	FixRangeY	Participant	Trial
1.000	312.000	358.000	709.812	-55.841	0.000	0.000	0.597	7.116	45.758	15.520	5.110	subject61239f9a80254	11S
389.000	550.000	194.000	1230.014	424.879	0.000	0.000	0.597	4.687	9.146	10.318	3.865	subject61239f9a80254	11S
620.000	1083.000	495.000	1248.052	543.077	0.000	0.000	0.597	7.757	72.957	13.155	10.350	subject61239f9a80254	11S
1148.000	1489.000	392.000	1042.424	409.023	0.000	0.000	0.597	10.242	395.573	20.120	26.368	subject61239f9a80254	11S
1586.000	1877.000	349.000	1289.177	651.186	0.000	0.000	0.597	6.505	79.130	14.961	9.018	subject61239f9a80254	11S
1971.000	2259.000	317.000	495.527	211.546	0.000	0.000	0.597	7.407	107.051	12.209	13.742	subject61239f9a80254	11S
2318.000	3775.000	1492.000	92.208	108.483	0.000	0.000	0.597	5.104	77.622	24.075	9.190	subject61239f9a80254	11S
3844.000	4159.000	351.000	159.307	192.807	0.000	0.000	0.597	4.640	54.932	10.017	8.245	subject61239f9a80254	11S
4236.000	4748.000	546.000	416.162	234.609	0.000	0.000	0.597	5.979	80.940	14.187	9.276	subject61239f9a80254	11S
4821.000	6184.000	1393.000	755.988	92.627	0.000	0.000	0.597	6.556	101.836	20.980	11.724	subject61239f9a80254	11S
6246.000	6443.000	233.000	-100.433	96.231	0.000	0.000	0.597	2.947	21.102	11.264	2.233	subject61239f9a80254	11S
6585.000	6915.000	361.000	17.893	146.681	0.000	0.000	0.597	4.435	31.367	7.051	6.313	subject61239f9a80254	11S
6979.000	8850.000	1920.000	605.195	121.456	0.000	0.000	0.597	5.703	112.893	22.785	12.368	subject61239f9a80254	11S
8931.000	9263.000	374.000	959.452	71.005	0.000	0.000	0.597	4.249	8.137	10.318	5.798	subject61239f9a80254	11S
9362.000	9569.000	241.000	-73.016	113.528	0.000	0.000	0.597	4.444	36.640	11.178	3.607	subject61239f9a80254	11S
9637.000	9669.000	65.000	82.107	63.077	0.000	0.000	0.597	2.978	0.000	2.966	0.258	subject61239f9a80254	11S
9744.000	9813.000	103.000	-93.218	80.375	0.000	0.000	0.597	3.997	32.387	4.987	3.951	subject61239f9a80254	11S
9881.000	10095.000	248.000	680.231	166.861	0.000	0.000	0.597	8.850	150.186	15.606	10.436	subject61239f9a80254	11S
10237.000	10910.000	703.000	153.535	80.375	0.000	0.000	0.597	7.049	119.963	17.712	11.294	subject61239f9a80254	11S
10972.000	11068.000	128.000	196.825	118.573	0.000	0.000	0.597	3.592	17.083	3.267	3.393	subject61239f9a80254	11S
11134.000	13469.000	2384.000	644.156	124.339	0.000	0.000	0.597	5.970	116.207	21.625	10.994	subject61239f9a80254	11S
13565.000	14155.000	636.000	-29.726	138.032	0.000	0.000	0.597	7.241	154.138	23.774	13.270	subject61239f9a80254	11S
14241.000	14525.000	316.000	32.323	122.897	0.000	0.000	0.597	6.337	46.105	8.555	6.141	subject61239f9a80254	11S
14590.000	15140.000	582.000	270.418	156.771	0.000	0.000	0.597	5.416	62.530	18.787	7.129	subject61239f9a80254	11S
15203.000	15331.000	165.000	315.152	77.492	0.000	0.000	0.597	3.389	34.784	7.008	4.552	subject61239f9a80254	11S
15409.000	15657.000	280.000	432.756	140.195	0.000	0.000	0.597	4.444	28.401	6.277	5.368	subject61239f9a80254	11S
15722.000	17092.000	1429.000	662.193	86.861	0.000	0.000	0.597	5.903	94.302	22.527	10.436	subject61239f9a80254	11S
17181.000	18656.000	1504.000	618.182	158.213	0.000	0.000	0.597	7.159	105.908	25.150	10.693	subject61239f9a80254	11S
18717.000	19535.000	851.000	196.825	158.213	0.000	0.000	0.597	6.435	106.132	18.529	11.810	subject61239f9a80254	11S
19598.000	19986.000	419.000	540.260	169.744	0.000	0.000	0.597	4.198	71.053	13.886	8.245	subject61239f9a80254	11S
20050.000	20223.000	209.000	603.030	207.942	0.000	0.000	0.597	5.390	49.380	8.469	5.368	subject61239f9a80254	11S
20307.000	20697.000	423.000	722.799	149.564	0.000	0.000	0.597	6.003	58.702	10.275	10.006	subject61239f9a80254	11S
20828.000	20889.000	92.000	843.290	270.645	0.000	0.000	0.597	1.551	2.789	0.817	2.663	subject61239f9a80254	11S
20952.000	21107.000	205.000	965.945	233.168	0.000	0.000	0.597	4.398	36.099	8.168	4.037	subject61239f9a80254	11S
21206.000	21920.000	747.000	19.336	220.195	0.000	0.000	0.597	5.397	61.237	12.983	9.190	subject61239f9a80254	11S
21985.000	22548.000	612.000	236.508	214.429	0.000	0.000	0.597	6.167	84.911	15.090	9.061	subject61239f9a80254	11S
22629.000	24852.000	2262.000	540.981	194.969	0.000	0.000	0.597	5.578	83.064	27.170	10.908	subject61239f9a80254	11S
24938.000	25077.000	172.000	-28.283	198.573	0.000	0.000	0.597	4.186	22.835	6.492	3.393	subject61239f9a80254	11S
25143.000	25490.000	394.000	348.341	215.870	0.000	0.000	0.597	5.752	51.231	10.533	7.086	subject61239f9a80254	11S
25634.000	27782.000	2184.000	219.192	190.645	0.000	0.000	0.597	6.585	165.307	38.090	11.681	subject61239f9a80254	11S
27849.000	28934.000	1119.000	82.828	311.005	0.000	0.000	0.597	7.100	139.533	17.196	14.129	subject61239f9a80254	11S
29008.000	29124.000	148.000	494.805	243.978	0.000	0.000	0.597	3.814	13.582	1.892	7.215	subject61239f9a80254	11S
29191.000	31102.000	1941.000	694.661	114.249	0.000	0.000	0.597	6.684	85.511	22.011	10.607	subject61239f9a80254	11S
31160.000	31372.000	246.000	961.616	89.023	0.000	0.000	0.597	6.721	78.187	11.178	9.362	subject61239f9a80254	11S
31438.000	32041.000	638.000	215.584	122.177	0.000	0.000	0.597	6.909	166.348	31.598	11.294	subject61239f9a80254	11S
32108.000	32736.000	660.000	296.392	70.285	0.000	0.000	0.597	7.342	88.673	17.669	11.037	subject61239f9a80254	11S
32800.000	33546.000	781.000	292.785	87.582	0.000	0.000	0.597	5.197	57.794	19.647	7.386	subject61239f9a80254	11S
33612.000	33856.000	276.000	476.046	88.303	0.000	0.000	0.597	5.311	61.772	11.651	8.675	subject61239f9a80254	11S
33919.000	34020.000	136.000	650.649	42.897	0.000	0.000	0.597	5.033	34.177	7.180	3.221	subject61239f9a80254	11S
34085.000	34571.000	520.000	857.720	91.906	0.000	0.000	0.597	6.556	114.188	15.348	11.724	subject61239f9a80254	11S
34654.000	35687.000	1070.000	162.193	42.177	0.000	0.000	0.597	5.013	75.821	18.529	10.135	subject61239f9a80254	11S
35758.000	36045.000	324.000	903.896	132.267	0.000	0.000	0.597	5.254	46.489	10.834	6.656	subject61239f9a80254	11S
36116.000	36352.000	266.000	852.670	106.321	0.000	0.000	0.597	4.389	30.425	6.793	5.497	subject61239f9a80254	11S
36415.000	36756.000	379.000	-29.726	130.825	0.000	0.000	0.597	7.541	52.074	13.456	4.595	subject61239f9a80254	11S
36824.000	36917.000	124.000	126.118	58.032	0.000	0.000	0.597	3.167	11.596	3.826	3.307	subject61239f9a80254	11S
36988.000	37058.000	108.000	297.835	362.897	0.000	0.000	0.597	5.237	45.440	5.804	5.025	subject61239f9a80254	11S
37136.000	37755.000	651.000	276.190	300.915	0.000	0.000	0.597	5.605	131.029	13.671	17.564	subject61239f9a80254	11S
37826.000	38925.000	1141.000	771.861	170.465	0.000	0.000	0.597	7.421	283.072	34.522	11.595	subject61239f9a80254	11S
38999.000	39447.000	482.000	494.084	225.960	0.000	0.000	0.597	4.604	40.939	7.437	7.301	subject61239f9a80254	11S
39512.000	39926.000	445.000	29.437	277.852	0.000	0.000	0.597	5.988	69.918	11.135	9.448	subject61239f9a80254	11S
39998.000	40258.000	289.000	213.420	341.996	0.000	0.000	0.597	3.044	14.906	3.181	5.454	subject61239f9a80254	11S
40322.000	41244.000	956.000	117.460	351.366	0.000	0.000	0.597	6.718	63.663	16.852	9.233	subject61239f9a80254	11S
41308.000	41380.000	132.000	61.183	423.438	0.000	0.000	0.597	5.071	21.558	2.407	6.141	subject61239f9a80254	11S
41475.000	41728.000	283.000	504.185	289.384	0.000	0.000	0.597	5.119	25.247	10.662	3.350	subject61239f9a80254	11S
41788.000	41993.000	242.000	391.631	285.059	0.000	0.000	0.597	3.451	22.797	5.976	4.423	subject61239f9a80254	11S
42069.000	43249.000	1222.000	661.472	270.645	0.000	0.000	0.597	4.546	106.913	23.903	7.558	subject61239f9a80254	11S
43331.000	44505.000	1214.000	-3.752	400.375	0.000	0.000	0.597	6.358	108.806	15.176	19.024	subject61239f9a80254	11S
44597.000	44803.000	239.000	215.584	336.951	0.000	0.000	0.597	4.040	25.846	6.191	5.153	subject61239f9a80254	11S
44873.000	47355.000	2517.000	244.444	372.987	0.000	0.000	0.597	6.656	163.305	34.006	15.031	subject61239f9a80254	11S
47423.000	48364.000	975.000	477.489	447.222	0.000	0.000	0.597	5.504	53.245	13.241	9.319	subject61239f9a80254	11S
