FixStart	FixEnd	FixDur	XPos	YPos	FlankedByDataLoss	Fraction Interpolated	WeightCutoff	RMSxy	BCEA	FixRangeX	FixRangeY	Participant	Trial
1.000	511.000	545.000	1041.993	343.236	0.000	0.000	0.481	4.295	44.814	12.670	6.938	subject6123b14feb4f1	11S
574.000	812.000	265.000	428.559	439.680	0.000	0.000	0.481	5.333	38.527	12.034	5.270	subject6123b14feb4f1	11S
868.000	1022.000	183.000	219.484	114.347	0.000	0.000	0.481	3.341	21.541	3.207	7.680	subject6123b14feb4f1	11S
1079.000	1470.000	420.000	199.021	166.347	0.000	0.000	0.481	5.023	39.674	10.841	5.773	subject6123b14feb4f1	11S
1527.000	1612.000	110.000	336.032	693.013	0.000	0.000	0.481	10.549	169.510	14.737	10.514	subject6123b14feb4f1	11S
1669.000	1841.000	200.000	202.135	321.458	0.000	0.000	0.481	4.824	27.836	7.422	4.767	subject6123b14feb4f1	11S
1894.000	2174.000	336.000	158.541	132.124	0.000	0.000	0.481	6.210	187.357	31.383	10.090	subject6123b14feb4f1	11S
2261.000	2583.000	350.000	619.395	537.458	0.000	0.000	0.481	7.065	193.223	13.439	20.074	subject6123b14feb4f1	11S
2644.000	2778.000	163.000	770.641	492.569	0.000	0.000	0.481	2.497	9.740	3.287	2.701	subject6123b14feb4f1	11S
2837.000	3294.000	486.000	963.256	442.791	0.000	0.000	0.481	5.748	86.006	12.034	12.844	subject6123b14feb4f1	11S
3351.000	3565.000	243.000	861.388	431.236	0.000	0.000	0.481	4.916	42.401	5.513	10.143	subject6123b14feb4f1	11S
3623.000	3874.000	306.000	491.281	686.791	0.000	0.000	0.481	4.471	30.576	7.395	10.540	subject6123b14feb4f1	11S
3959.000	4063.000	150.000	79.359	457.902	0.000	0.000	0.481	5.465	34.635	4.214	6.382	subject6123b14feb4f1	11S
4140.000	4247.000	136.000	403.203	532.124	0.000	0.000	0.481	6.075	84.666	9.648	9.110	subject6123b14feb4f1	11S
4305.000	4663.000	397.000	327.580	401.458	0.000	0.000	0.481	9.521	190.768	22.716	13.903	subject6123b14feb4f1	11S
4734.000	4970.000	261.000	-85.231	-144.320	0.000	0.000	0.481	8.435	94.396	11.610	19.782	subject6123b14feb4f1	11S
5023.000	5491.000	495.000	535.765	648.569	0.000	0.000	0.481	6.762	228.548	17.680	16.048	subject6123b14feb4f1	11S
5547.000	6342.000	832.000	603.381	431.680	0.000	0.000	0.481	7.640	187.334	17.865	19.094	subject6123b14feb4f1	11S
6419.000	6852.000	463.000	940.569	629.013	0.000	0.000	0.481	7.724	135.608	15.374	20.577	subject6123b14feb4f1	11S
6912.000	7082.000	199.000	907.651	599.680	0.000	0.000	0.481	6.282	53.558	7.740	7.283	subject6123b14feb4f1	11S
7203.000	7287.000	111.000	844.484	638.347	0.000	0.000	0.481	4.053	25.222	4.798	4.052	subject6123b14feb4f1	11S
7342.000	7876.000	560.000	487.722	577.458	0.000	0.000	0.481	8.357	189.375	22.053	20.127	subject6123b14feb4f1	11S
7938.000	8034.000	124.000	731.050	266.347	0.000	0.000	0.481	5.819	51.036	8.800	4.343	subject6123b14feb4f1	11S
8112.000	8924.000	839.000	530.872	382.791	0.000	0.000	0.481	5.032	69.455	16.619	9.560	subject6123b14feb4f1	11S
8974.000	9266.000	321.000	707.473	348.569	0.000	0.000	0.481	3.437	46.630	12.431	5.508	subject6123b14feb4f1	11S
9323.000	9601.000	304.000	547.331	389.013	0.000	0.000	0.481	7.388	93.118	13.439	10.619	subject6123b14feb4f1	11S
9679.000	9913.000	261.000	581.584	459.680	0.000	0.000	0.481	2.811	16.617	5.725	3.761	subject6123b14feb4f1	11S
9972.000	10241.000	293.000	93.149	460.569	0.000	0.000	0.481	8.794	97.850	11.398	13.162	subject6123b14feb4f1	11S
10288.000	10485.000	227.000	570.463	794.347	0.000	0.000	0.481	7.696	111.915	18.395	9.693	subject6123b14feb4f1	11S
10542.000	11380.000	866.000	203.025	382.347	0.000	0.000	0.481	5.639	56.049	16.328	10.090	subject6123b14feb4f1	11S
11432.000	11989.000	585.000	251.512	554.791	0.000	0.000	0.481	6.689	92.016	13.386	11.732	subject6123b14feb4f1	11S
12050.000	12740.000	731.000	558.007	713.458	0.000	0.000	0.481	6.370	80.789	12.590	11.520	subject6123b14feb4f1	11S
12809.000	13051.000	272.000	676.335	819.680	0.000	0.000	0.481	6.036	41.527	5.460	15.439	subject6123b14feb4f1	11S
13110.000	15288.000	2205.000	427.224	417.458	0.000	0.000	0.481	6.612	144.590	30.270	20.524	subject6123b14feb4f1	11S
15343.000	15530.000	229.000	287.544	271.680	0.000	0.000	0.481	3.384	33.520	8.137	5.535	subject6123b14feb4f1	11S
15600.000	15687.000	127.000	274.644	176.569	0.000	0.000	0.481	3.178	11.184	5.381	1.774	subject6123b14feb4f1	11S
15752.000	15979.000	254.000	115.836	412.569	0.000	0.000	0.481	4.689	58.937	9.675	8.183	subject6123b14feb4f1	11S
16030.000	16140.000	139.000	676.335	696.569	0.000	0.000	0.481	6.915	93.476	11.928	9.269	subject6123b14feb4f1	11S
16197.000	16282.000	111.000	374.288	653.013	0.000	0.000	0.481	2.263	9.769	2.942	2.039	subject6123b14feb4f1	11S
16337.000	17186.000	879.000	569.573	453.013	0.000	0.000	0.481	8.238	114.369	25.472	11.202	subject6123b14feb4f1	11S
17242.000	17418.000	215.000	888.968	307.236	0.000	0.000	0.481	7.436	126.553	13.121	10.884	subject6123b14feb4f1	11S
