FixStart	FixEnd	FixDur	XPos	YPos	FlankedByDataLoss	Fraction Interpolated	WeightCutoff	RMSxy	BCEA	FixRangeX	FixRangeY	Participant	Trial
1.000	1.000	48.000	83.805	483.657	0.000	0.000	0.565	NaN	NaN	0.000	0.000	subject6124c7c85c2cc	10I
76.000	374.000	326.000	207.146	430.619	0.000	0.000	0.565	2.019	3.275	4.647	2.041	subject6124c7c85c2cc	10I
432.000	1102.000	698.000	197.743	114.597	0.000	0.000	0.565	3.141	37.254	9.492	8.329	subject6124c7c85c2cc	10I
1158.000	1837.000	709.000	241.991	556.586	0.000	0.000	0.565	2.454	29.449	7.580	10.600	subject6124c7c85c2cc	10I
1894.000	2146.000	280.000	141.881	795.812	0.000	0.000	0.565	1.706	7.395	3.395	5.366	subject6124c7c85c2cc	10I
2203.000	2428.000	251.000	532.920	816.254	0.000	0.000	0.565	2.601	17.625	9.393	5.004	subject6124c7c85c2cc	10I
2482.000	2565.000	109.000	216.549	369.293	0.000	0.000	0.565	1.551	0.000	2.241	1.481	subject6124c7c85c2cc	10I
2619.000	3089.000	499.000	192.212	162.663	0.000	0.000	0.565	2.738	34.453	7.250	8.263	subject6124c7c85c2cc	10I
3144.000	3553.000	436.000	415.111	94.155	0.000	0.000	0.565	2.275	21.735	8.602	3.885	subject6124c7c85c2cc	10I
3607.000	3749.000	170.000	246.969	261.006	0.000	0.000	0.565	3.285	5.752	6.097	1.547	subject6124c7c85c2cc	10I
3803.000	4949.000	1179.000	228.717	504.652	0.000	0.000	0.565	2.943	37.716	11.930	6.551	subject6124c7c85c2cc	10I
5016.000	5165.000	183.000	542.876	439.459	0.000	0.000	0.565	1.089	3.541	2.637	1.547	subject6124c7c85c2cc	10I
5232.000	5432.000	228.000	257.478	479.238	0.000	0.000	0.565	2.855	19.423	5.636	3.490	subject6124c7c85c2cc	10I
5487.000	5568.000	107.000	326.062	438.906	0.000	0.000	0.565	1.892	2.054	2.702	0.494	subject6124c7c85c2cc	10I
5620.000	6680.000	1088.000	209.912	520.122	0.000	0.000	0.565	2.206	19.181	6.328	4.971	subject6124c7c85c2cc	10I
6737.000	7315.000	606.000	366.991	488.077	0.000	0.000	0.565	2.863	22.000	7.646	5.037	subject6124c7c85c2cc	10I
7370.000	8152.000	809.000	248.075	405.757	0.000	0.000	0.565	2.135	20.805	6.262	6.683	subject6124c7c85c2cc	10I
8204.000	8422.000	244.000	299.513	294.707	0.000	0.000	0.565	1.993	7.889	2.175	3.885	subject6124c7c85c2cc	10I
8475.000	9491.000	1042.000	371.416	112.387	0.000	0.000	0.565	2.965	63.711	9.030	14.551	subject6124c7c85c2cc	10I
9547.000	9691.000	171.000	692.212	284.210	0.000	0.000	0.565	3.588	33.183	3.856	8.428	subject6124c7c85c2cc	10I
