FixStart	FixEnd	FixDur	XPos	YPos	FlankedByDataLoss	Fraction Interpolated	WeightCutoff	RMSxy	BCEA	FixRangeX	FixRangeY	Participant	Trial
1.000	222.000	266.000	477.936	588.124	0.000	0.000	0.531	4.746	44.698	8.614	5.932	subject6124ebc5a8196	10S
301.000	484.000	209.000	864.947	795.236	0.000	0.000	0.531	3.839	25.469	6.812	5.376	subject6124ebc5a8196	10S
541.000	1714.000	1208.000	85.587	237.902	0.000	0.000	0.531	4.315	86.000	14.499	16.234	subject6124ebc5a8196	10S
1777.000	2507.000	754.000	161.210	204.124	0.000	0.000	0.531	4.406	46.880	10.231	11.467	subject6124ebc5a8196	10S
2558.000	2870.000	340.000	300.000	287.680	0.000	0.000	0.531	3.430	27.937	6.998	5.720	subject6124ebc5a8196	10S
2926.000	4583.000	1691.000	479.715	235.680	0.000	0.000	0.531	4.997	91.501	17.945	16.234	subject6124ebc5a8196	10S
4650.000	4784.000	167.000	-41.637	178.347	0.000	0.000	0.531	1.884	5.014	2.439	3.151	subject6124ebc5a8196	10S
4854.000	5151.000	346.000	93.594	173.902	0.000	0.000	0.531	2.994	25.219	7.978	4.661	subject6124ebc5a8196	10S
5234.000	5659.000	452.000	226.157	288.569	0.000	0.000	0.531	5.624	59.119	9.516	9.004	subject6124ebc5a8196	10S
5715.000	5777.000	103.000	315.125	450.347	0.000	0.000	0.531	2.764	13.399	2.995	2.251	subject6124ebc5a8196	10S
5852.000	6101.000	283.000	211.032	322.791	0.000	0.000	0.531	3.457	23.085	3.843	8.395	subject6124ebc5a8196	10S
6185.000	6910.000	753.000	254.626	176.124	0.000	0.000	0.531	4.614	33.021	6.918	13.188	subject6124ebc5a8196	10S
6975.000	7414.000	467.000	558.007	270.347	0.000	0.000	0.531	4.957	48.648	7.978	10.593	subject6124ebc5a8196	10S
7470.000	7811.000	371.000	619.395	381.902	0.000	0.000	0.531	5.277	75.286	9.224	13.374	subject6124ebc5a8196	10S
