FixStart	FixEnd	FixDur	XPos	YPos	FlankedByDataLoss	Fraction Interpolated	WeightCutoff	RMSxy	BCEA	FixRangeX	FixRangeY	Participant	Trial
1.000	373.000	429.000	666.548	-148.320	0.000	0.000	0.685	6.705	105.787	15.161	9.242	subject61266afc55085	10I
483.000	581.000	144.000	289.324	-116.764	0.000	0.000	0.685	5.882	34.980	6.627	5.508	subject61266afc55085	10I
685.000	727.000	104.000	587.367	58.791	0.000	0.000	0.685	9.375	0.000	1.219	9.295	subject61266afc55085	10I
840.000	1122.000	335.000	1045.107	382.791	0.000	0.000	0.685	9.941	191.695	14.287	14.830	subject61266afc55085	10I
1215.000	1256.000	94.000	716.815	623.236	0.000	0.000	0.685	0.992	0.000	0.822	0.556	subject61266afc55085	10I
1351.000	1400.000	98.000	561.121	733.902	0.000	0.000	0.685	3.233	0.000	1.776	2.701	subject61266afc55085	10I
1499.000	1691.000	238.000	447.687	379.236	0.000	0.000	0.685	6.999	148.158	9.330	16.101	subject61266afc55085	10I
1788.000	2002.000	292.000	808.007	452.124	0.000	0.000	0.685	9.278	236.288	12.696	18.220	subject61266afc55085	10I
2133.000	2291.000	199.000	371.174	360.569	0.000	0.000	0.685	7.007	96.647	5.884	13.135	subject61266afc55085	10I
2383.000	2825.000	482.000	12.633	23.236	0.000	0.000	0.685	11.053	238.152	13.677	26.456	subject61266afc55085	10I
2900.000	4009.000	1160.000	293.772	297.458	0.000	0.000	0.685	13.784	325.391	37.161	29.316	subject61266afc55085	10I
4102.000	4809.000	754.000	-88.790	102.791	0.000	0.000	0.685	9.812	196.416	12.617	20.206	subject61266afc55085	10I
4903.000	4944.000	94.000	-250.712	802.347	0.000	0.000	0.685	12.265	0.000	11.345	4.661	subject61266afc55085	10I
5049.000	6749.000	1752.000	49.110	65.013	0.000	0.000	0.685	10.772	251.399	20.754	36.175	subject61266afc55085	10I
6853.000	8654.000	1843.000	195.018	180.124	0.000	0.000	0.685	9.480	329.000	30.986	38.294	subject61266afc55085	10I
8739.000	9566.000	884.000	517.527	-74.987	0.000	0.000	0.685	7.855	183.272	18.872	19.835	subject61266afc55085	10I
9685.000	10083.000	448.000	-181.762	-429.209	0.000	0.000	0.685	8.487	165.639	13.280	17.637	subject61266afc55085	10I
10185.000	10476.000	336.000	256.406	79.680	0.000	0.000	0.685	13.215	477.920	15.533	36.917	subject61266afc55085	10I
10565.000	12737.000	2224.000	469.929	-261.653	0.000	0.000	0.685	8.913	186.397	20.383	20.815	subject61266afc55085	10I
12842.000	13539.000	750.000	531.317	-262.542	0.000	0.000	0.685	6.876	99.613	15.718	12.235	subject61266afc55085	10I
13643.000	14733.000	1146.000	-11.388	-277.653	0.000	0.000	0.685	8.958	188.719	20.092	20.603	subject61266afc55085	10I
14831.000	17361.000	2582.000	175.445	-112.320	0.000	0.000	0.685	10.365	317.458	23.590	38.585	subject61266afc55085	10I
17465.000	17519.000	105.000	200.801	-264.320	0.000	0.000	0.685	2.383	0.000	1.776	1.589	subject61266afc55085	10I
17623.000	19782.000	2208.000	83.808	-230.542	0.000	0.000	0.685	9.726	394.911	28.361	45.338	subject61266afc55085	10I
