FixStart	FixEnd	FixDur	XPos	YPos	FlankedByDataLoss	Fraction Interpolated	WeightCutoff	RMSxy	BCEA	FixRangeX	FixRangeY	Participant	Trial
40.000	470.000	460.000	150.730	513.492	0.000	0.000	0.495	9.846	147.653	19.313	14.156	subject612676e513f0b	10R
546.000	904.000	388.000	802.279	414.044	0.000	0.000	0.495	8.140	133.705	16.050	12.180	subject612676e513f0b	10R
962.000	1068.000	139.000	144.646	310.177	0.000	0.000	0.495	5.642	12.624	7.185	1.218	subject612676e513f0b	10R
1129.000	1190.000	117.000	577.168	772.055	0.000	0.000	0.495	6.786	68.380	12.392	3.095	subject612676e513f0b	10R
1297.000	1380.000	117.000	531.814	467.083	0.000	0.000	0.495	9.729	39.430	12.886	1.975	subject612676e513f0b	10R
1449.000	1695.000	296.000	1065.000	477.580	0.000	0.000	0.495	7.719	73.879	14.830	6.617	subject612676e513f0b	10R
1784.000	1921.000	171.000	339.336	707.967	0.000	0.000	0.495	5.447	52.557	7.185	6.683	subject612676e513f0b	10R
1990.000	2631.000	671.000	235.354	262.663	0.000	0.000	0.495	7.380	97.758	15.193	11.489	subject612676e513f0b	10R
2712.000	2798.000	119.000	573.850	607.414	0.000	0.000	0.495	6.763	76.127	3.889	11.259	subject612676e513f0b	10R
2860.000	3092.000	263.000	272.965	239.459	0.000	0.000	0.495	5.421	73.037	12.491	9.053	subject612676e513f0b	10R
3153.000	3832.000	710.000	475.398	211.834	0.000	0.000	0.495	6.765	206.032	16.610	23.867	subject612676e513f0b	10R
3894.000	5146.000	1284.000	271.858	268.188	0.000	0.000	0.495	7.903	77.802	20.071	10.732	subject612676e513f0b	10R
5211.000	5931.000	749.000	299.513	237.249	0.000	0.000	0.495	6.111	61.005	19.082	8.197	subject612676e513f0b	10R
5991.000	7810.000	1849.000	349.292	217.912	0.000	0.000	0.495	9.227	106.874	26.563	12.115	subject612676e513f0b	10R
7874.000	9609.000	1764.000	397.965	165.425	0.000	0.000	0.495	10.156	267.000	29.331	28.641	subject612676e513f0b	10R
9722.000	10431.000	738.000	309.469	178.685	0.000	0.000	0.495	7.627	135.974	26.135	9.777	subject612676e513f0b	10R
10490.000	10787.000	325.000	672.301	190.840	0.000	0.000	0.495	8.751	125.150	19.708	9.646	subject612676e513f0b	10R
10851.000	11259.000	443.000	352.611	190.287	0.000	0.000	0.495	8.969	97.151	22.674	9.975	subject612676e513f0b	10R
11325.000	11768.000	474.000	423.960	173.160	0.000	0.000	0.495	9.914	68.487	20.301	5.103	subject612676e513f0b	10R
11829.000	11920.000	121.000	326.615	224.541	0.000	0.000	0.495	7.003	121.507	10.942	7.506	subject612676e513f0b	10R
11978.000	12071.000	123.000	649.624	177.028	0.000	0.000	0.495	5.198	70.497	9.656	4.675	subject612676e513f0b	10R
12130.000	12214.000	112.000	660.686	320.674	0.000	0.000	0.495	4.418	31.092	4.416	5.070	subject612676e513f0b	10R
12273.000	12593.000	354.000	228.717	221.779	0.000	0.000	0.495	10.262	136.913	29.496	8.493	subject612676e513f0b	10R
12664.000	12903.000	280.000	359.248	262.663	0.000	0.000	0.495	6.358	76.559	13.314	6.946	subject612676e513f0b	10R
12983.000	13138.000	195.000	72.743	199.680	0.000	0.000	0.495	3.073	11.996	4.746	2.535	subject612676e513f0b	10R
13217.000	13217.000	54.000	588.230	184.210	0.000	0.000	0.495	NaN	NaN	0.000	0.000	subject612676e513f0b	10R
13310.000	14041.000	771.000	362.566	182.000	0.000	0.000	0.495	5.529	55.033	15.918	6.288	subject612676e513f0b	10R
14113.000	16843.000	2757.000	307.257	211.834	0.000	0.000	0.495	10.109	87.541	24.520	8.625	subject612676e513f0b	10R
16907.000	17231.000	359.000	359.248	170.950	0.000	0.000	0.495	6.655	48.177	12.524	6.123	subject612676e513f0b	10R
17297.000	19450.000	2186.000	428.938	157.691	0.000	0.000	0.495	10.482	146.684	31.078	14.452	subject612676e513f0b	10R
19534.000	22165.000	2664.000	453.827	181.448	0.000	0.000	0.495	10.081	158.041	30.221	15.374	subject612676e513f0b	10R
22229.000	22885.000	692.000	449.956	133.381	0.000	0.000	0.495	9.095	87.311	22.312	7.802	subject612676e513f0b	10R
22953.000	24028.000	1128.000	474.292	73.713	0.000	0.000	0.495	10.422	150.586	27.815	13.826	subject612676e513f0b	10R
24119.000	24826.000	748.000	403.496	132.276	0.000	0.000	0.495	8.388	124.544	17.797	11.193	subject612676e513f0b	10R
24901.000	24995.000	129.000	647.412	104.099	0.000	0.000	0.495	9.275	200.752	20.433	9.382	subject612676e513f0b	10R
25067.000	28404.000	3377.000	435.575	182.000	0.000	0.000	0.495	10.559	141.698	37.966	13.333	subject612676e513f0b	10R
28485.000	30960.000	2509.000	389.668	137.801	0.000	0.000	0.495	9.719	144.157	28.277	17.316	subject612676e513f0b	10R
31028.000	31414.000	423.000	666.770	177.580	0.000	0.000	0.495	6.952	113.089	15.226	13.333	subject612676e513f0b	10R
31483.000	31778.000	322.000	484.248	486.972	0.000	0.000	0.495	9.945	307.525	30.749	18.139	subject612676e513f0b	10R
31843.000	33888.000	2069.000	345.420	227.304	0.000	0.000	0.495	9.776	143.181	29.529	14.386	subject612676e513f0b	10R
33942.000	34414.000	506.000	331.593	257.138	0.000	0.000	0.495	8.712	168.425	22.081	15.308	subject612676e513f0b	10R
34481.000	34778.000	325.000	233.142	264.873	0.000	0.000	0.495	5.271	55.371	15.160	7.835	subject612676e513f0b	10R
34836.000	35219.000	414.000	374.735	289.182	0.000	0.000	0.495	6.555	100.024	15.490	15.868	subject612676e513f0b	10R
35280.000	36374.000	1126.000	479.823	348.851	0.000	0.000	0.495	7.662	100.949	22.345	10.666	subject612676e513f0b	10R
36435.000	37829.000	1425.000	386.903	381.448	0.000	0.000	0.495	7.885	101.951	21.521	14.715	subject612676e513f0b	10R
37924.000	38093.000	197.000	340.442	356.586	0.000	0.000	0.495	5.280	31.721	9.393	3.654	subject612676e513f0b	10R
38150.000	38787.000	669.000	328.274	522.331	0.000	0.000	0.495	9.284	234.787	19.214	17.481	subject612676e513f0b	10R
38851.000	39302.000	479.000	254.159	582.000	0.000	0.000	0.495	7.052	169.392	16.083	18.995	subject612676e513f0b	10R
39417.000	39559.000	171.000	473.739	320.122	0.000	0.000	0.495	6.958	47.530	4.943	10.633	subject612676e513f0b	10R
39618.000	39991.000	405.000	334.912	457.138	0.000	0.000	0.495	4.634	87.061	12.589	14.320	subject612676e513f0b	10R
40055.000	40265.000	241.000	379.712	719.017	0.000	0.000	0.495	5.386	80.690	15.028	8.691	subject612676e513f0b	10R
40327.000	41049.000	751.000	370.310	344.431	0.000	0.000	0.495	7.781	92.754	16.281	11.292	subject612676e513f0b	10R
41111.000	41409.000	328.000	740.885	422.884	0.000	0.000	0.495	6.353	94.517	13.051	11.522	subject612676e513f0b	10R
41470.000	41584.000	142.000	396.858	470.398	0.000	0.000	0.495	6.258	58.874	8.832	6.749	subject612676e513f0b	10R
41641.000	42507.000	896.000	259.137	351.613	0.000	0.000	0.495	6.909	116.466	19.148	16.526	subject612676e513f0b	10R
42566.000	42807.000	269.000	202.168	454.928	0.000	0.000	0.495	7.554	141.977	17.006	10.995	subject612676e513f0b	10R
42893.000	42950.000	88.000	432.257	821.779	0.000	0.000	0.495	4.336	30.069	3.592	4.280	subject612676e513f0b	10R
43012.000	43302.000	324.000	268.540	581.448	0.000	0.000	0.495	5.156	35.178	12.524	5.070	subject612676e513f0b	10R
43373.000	43407.000	68.000	333.805	270.950	0.000	0.000	0.495	9.913	0.000	9.162	3.786	subject612676e513f0b	10R
43531.000	44000.000	499.000	97.080	236.144	0.000	0.000	0.495	6.291	115.414	10.744	14.123	subject612676e513f0b	10R
44057.000	44329.000	306.000	150.177	170.950	0.000	0.000	0.495	6.505	57.733	9.557	9.119	subject612676e513f0b	10R
44414.000	45317.000	932.000	171.195	520.122	0.000	0.000	0.495	8.728	206.130	20.927	29.859	subject612676e513f0b	10R
45377.000	46151.000	805.000	357.035	420.674	0.000	0.000	0.495	8.516	97.270	20.268	8.493	subject612676e513f0b	10R
46234.000	46322.000	117.000	109.248	109.072	0.000	0.000	0.495	3.155	19.328	2.505	4.280	subject612676e513f0b	10R
46381.000	46773.000	420.000	420.088	-297.006	0.000	0.000	0.495	14.253	287.947	42.316	15.802	subject612676e513f0b	10R
46836.000	47065.000	258.000	266.327	254.928	0.000	0.000	0.495	8.054	106.456	14.534	14.715	subject612676e513f0b	10R
47123.000	47361.000	266.000	268.540	328.961	0.000	0.000	0.495	6.436	180.639	13.776	17.316	subject612676e513f0b	10R
47421.000	47509.000	115.000	261.350	861.558	0.000	0.000	0.495	6.387	98.304	7.745	8.329	subject612676e513f0b	10R
47564.000	47770.000	235.000	51.726	485.867	0.000	0.000	0.495	5.519	38.353	10.414	6.782	subject612676e513f0b	10R
47831.000	47979.000	178.000	287.345	286.972	0.000	0.000	0.495	3.209	39.788	5.965	7.210	subject612676e513f0b	10R
48039.000	48314.000	303.000	140.221	237.249	0.000	0.000	0.495	10.418	118.713	21.290	9.185	subject612676e513f0b	10R
48374.000	48798.000	455.000	130.265	356.586	0.000	0.000	0.495	5.327	54.858	10.250	9.382	subject612676e513f0b	10R
48859.000	49811.000	982.000	326.062	330.066	0.000	0.000	0.495	6.976	121.636	21.817	12.806	subject612676e513f0b	10R
49869.000	51273.000	1449.000	448.850	95.812	0.000	0.000	0.495	8.510	69.018	23.004	9.481	subject612676e513f0b	10R
51411.000	51631.000	246.000	385.243	453.271	0.000	0.000	0.495	7.041	244.257	15.259	19.983	subject612676e513f0b	10R
51684.000	51872.000	219.000	218.208	165.425	0.000	0.000	0.495	4.579	62.940	9.261	7.144	subject612676e513f0b	10R
51934.000	51964.000	62.000	570.531	190.840	0.000	0.000	0.495	5.222	0.000	5.207	0.395	subject612676e513f0b	10R
52029.000	53263.000	1263.000	331.593	164.320	0.000	0.000	0.495	7.861	106.731	28.079	16.592	subject612676e513f0b	10R
53323.000	54254.000	958.000	369.204	154.376	0.000	0.000	0.495	6.458	78.035	16.610	13.201	subject612676e513f0b	10R
54310.000	54595.000	318.000	327.168	240.564	0.000	0.000	0.495	5.630	61.615	11.535	8.625	subject612676e513f0b	10R
54660.000	56592.000	1963.000	474.292	248.298	0.000	0.000	0.495	7.630	120.056	28.442	17.151	subject612676e513f0b	10R
56651.000	57999.000	1381.000	574.956	177.580	0.000	0.000	0.495	6.482	79.842	20.565	11.851	subject612676e513f0b	10R
58126.000	60762.000	2666.000	403.496	201.890	0.000	0.000	0.495	7.891	118.405	27.618	14.617	subject612676e513f0b	10R
60818.000	61664.000	885.000	458.805	144.431	0.000	0.000	0.495	6.408	75.347	14.105	10.567	subject612676e513f0b	10R
61733.000	61768.000	65.000	779.049	104.652	0.000	0.000	0.495	5.833	NaN	5.833	0.000	subject612676e513f0b	10R
61825.000	63346.000	1551.000	432.257	228.409	0.000	0.000	0.495	8.744	151.065	27.321	14.913	subject612676e513f0b	10R
63407.000	64035.000	654.000	319.978	291.945	0.000	0.000	0.495	6.911	96.224	23.169	11.489	subject612676e513f0b	10R
64090.000	64339.000	280.000	253.053	511.282	0.000	0.000	0.495	6.464	128.175	14.105	12.312	subject612676e513f0b	10R
64444.000	65008.000	611.000	383.584	491.392	0.000	0.000	0.495	8.266	92.900	16.742	10.074	subject612676e513f0b	10R
65111.000	65271.000	191.000	227.611	508.519	0.000	0.000	0.495	5.816	56.406	7.119	8.197	subject612676e513f0b	10R
65333.000	66008.000	707.000	497.522	251.613	0.000	0.000	0.495	8.856	154.745	14.237	24.756	subject612676e513f0b	10R
66068.000	66403.000	364.000	486.460	208.519	0.000	0.000	0.495	6.502	68.286	13.446	8.395	subject612676e513f0b	10R
66459.000	66537.000	123.000	77.168	195.260	0.000	0.000	0.495	3.490	3.460	2.307	2.897	subject612676e513f0b	10R
66611.000	67636.000	1053.000	486.460	261.558	0.000	0.000	0.495	10.098	175.287	31.770	16.394	subject612676e513f0b	10R
67698.000	68453.000	790.000	425.066	210.729	0.000	0.000	0.495	7.524	98.301	21.191	13.497	subject612676e513f0b	10R
68525.000	68560.000	68.000	567.765	296.917	0.000	0.000	0.495	6.849	0.000	0.956	6.782	subject612676e513f0b	10R
68626.000	68836.000	238.000	467.102	263.215	0.000	0.000	0.495	6.305	81.539	11.106	10.831	subject612676e513f0b	10R
68896.000	68923.000	60.000	823.850	282.000	0.000	0.000	0.495	2.888	0.000	2.768	0.823	subject612676e513f0b	10R
68987.000	69120.000	164.000	397.965	278.133	0.000	0.000	0.495	5.887	50.042	4.218	10.271	subject612676e513f0b	10R
69181.000	69270.000	138.000	297.854	353.823	0.000	0.000	0.495	4.772	49.818	7.481	7.440	subject612676e513f0b	10R
69350.000	69382.000	64.000	191.106	437.249	0.000	0.000	0.495	0.000	NaN	0.000	0.000	subject612676e513f0b	10R
69446.000	69607.000	189.000	388.009	354.928	0.000	0.000	0.495	4.345	29.658	10.085	4.905	subject612676e513f0b	10R
