FixStart	FixEnd	FixDur	XPos	YPos	FlankedByDataLoss	Fraction Interpolated	WeightCutoff	RMSxy	BCEA	FixRangeX	FixRangeY	Participant	Trial
1.000	49542.000	49604.000	529.187	430.560	0.000	0.000	0.791	6.844	616.161	47.129	44.728	subject612b4a4a1e552	10S
63.000	154980.000	154980.000	619.199	780.052	0.000	0.000	0.774	8.579	310.482	49.378	42.549	subject612b4a4a1e552	11R
1.000	281677.000	281738.000	740.569	639.559	0.000	0.000	0.771	6.991	259.167	52.319	33.728	subject612b4a4a1e552	13R
1.000	72592.000	72650.000	545.447	673.231	0.000	0.000	0.777	8.897	517.107	53.876	43.033	subject612b4a4a1e552	14S
1.000	57420.000	57473.000	547.770	378.311	0.000	0.000	0.776	7.282	508.645	60.139	65.449	subject612b4a4a1e552	15S
1.000	57244.000	57306.000	508.281	562.926	0.000	0.000	0.773	6.502	227.955	41.212	33.831	subject612b4a4a1e552	1R
1.000	53671.000	53726.000	464.146	451.460	0.000	0.000	0.791	7.021	312.933	47.682	32.621	subject612b4a4a1e552	2R
605286.000	605286.000	62.000	173.137	427.588	0.000	0.000	0.792	NaN	NaN	0.000	0.000	subject612b4a4a1e552	2V
605412.000	624772.000	19421.000	629.415	538.830	0.000	0.000	0.792	6.721	566.275	34.255	29.759	subject612b4a4a1e552	2V
1.000	36935.000	37012.000	667.398	632.592	0.000	0.000	0.789	7.362	359.951	42.527	35.008	subject612b4a4a1e552	3I
1060073.000	1078904.000	18907.000	568.195	536.513	0.000	0.000	0.763	6.838	566.472	34.398	32.521	subject612b4a4a1e552	3V
1261102.000	1280329.000	19306.000	574.891	465.827	0.000	0.000	0.773	5.944	588.435	32.403	32.970	subject612b4a4a1e552	4V
1.000	1.000	60.000	228.374	962.345	0.000	0.000	0.771	NaN	NaN	0.000	0.000	subject612b4a4a1e552	5I
125.000	182024.000	181979.000	423.496	654.653	0.000	0.000	0.771	9.239	324.791	54.361	45.316	subject612b4a4a1e552	5I
1461062.000	1480819.000	19830.000	527.063	447.287	0.000	0.000	0.773	5.968	551.627	29.809	30.242	subject612b4a4a1e552	5V
1.000	1.000	67.000	575.645	315.611	0.000	0.000	0.788	NaN	NaN	0.000	0.000	subject612b4a4a1e552	6I
131.000	38631.000	38557.000	529.187	394.566	0.000	0.000	0.788	6.770	306.478	43.080	29.127	subject612b4a4a1e552	6I
1.000	1.000	59.000	570.999	539.704	0.000	0.000	0.782	NaN	NaN	0.000	0.000	subject612b4a4a1e552	6S
131.000	27434.000	27353.000	605.842	370.183	0.000	0.000	0.782	7.470	461.391	47.059	31.306	subject612b4a4a1e552	6S
59.000	17963.000	17969.000	534.413	357.991	0.000	0.000	0.781	6.564	310.840	38.513	29.196	subject612b4a4a1e552	9I
