FixStart	FixEnd	FixDur	XPos	YPos	FlankedByDataLoss	Fraction Interpolated	WeightCutoff	RMSxy	BCEA	FixRangeX	FixRangeY	Participant	Trial
54.000	300.000	269.000	345.374	118.791	0.000	0.000	0.448	3.692	22.068	6.918	4.476	subject612de1b381c9a	11R
348.000	468.000	144.000	150.979	115.236	0.000	0.000	0.448	2.180	9.802	2.810	2.542	subject612de1b381c9a	11R
517.000	1022.000	528.000	17.527	90.791	0.000	0.000	0.448	3.091	25.057	10.284	6.462	subject612de1b381c9a	11R
1067.000	1284.000	242.000	432.562	-2.542	0.000	0.000	0.448	2.283	12.919	4.002	5.217	subject612de1b381c9a	11R
1332.000	1533.000	233.000	330.249	190.791	0.000	0.000	0.448	2.895	18.140	5.328	7.283	subject612de1b381c9a	11R
1596.000	1974.000	399.000	-5.160	99.236	0.000	0.000	0.448	2.170	11.434	5.858	3.522	subject612de1b381c9a	11R
2018.000	2364.000	372.000	138.968	61.902	0.000	0.000	0.448	2.117	8.272	6.971	2.648	subject612de1b381c9a	11R
2413.000	2729.000	341.000	-31.406	86.791	0.000	0.000	0.448	2.171	10.742	4.055	3.999	subject612de1b381c9a	11R
2775.000	2923.000	173.000	31.317	52.124	0.000	0.000	0.448	1.814	7.942	3.154	2.966	subject612de1b381c9a	11R
2972.000	3294.000	345.000	127.847	44.124	0.000	0.000	0.448	1.943	8.328	4.135	3.363	subject612de1b381c9a	11R
3339.000	3621.000	307.000	265.302	168.569	0.000	0.000	0.448	2.780	24.406	8.402	5.800	subject612de1b381c9a	11R
3671.000	3824.000	179.000	477.936	120.569	0.000	0.000	0.448	1.125	3.698	2.386	1.880	subject612de1b381c9a	11R
3872.000	4067.000	220.000	93.594	97.458	0.000	0.000	0.448	1.838	8.789	6.149	2.251	subject612de1b381c9a	11R
4118.000	4291.000	198.000	-19.395	71.236	0.000	0.000	0.448	1.451	3.839	1.961	3.337	subject612de1b381c9a	11R
4342.000	4462.000	146.000	119.395	56.569	0.000	0.000	0.448	1.875	5.156	2.386	2.463	subject612de1b381c9a	11R
4512.000	4584.000	93.000	72.687	108.124	0.000	0.000	0.448	0.516	0.648	0.371	1.245	subject612de1b381c9a	11R
4632.000	4729.000	123.000	187.011	120.569	0.000	0.000	0.448	2.577	16.088	5.089	3.628	subject612de1b381c9a	11R
4780.000	5123.000	366.000	230.605	112.569	0.000	0.000	0.448	2.701	9.594	6.759	2.913	subject612de1b381c9a	11R
5171.000	5294.000	148.000	378.737	108.124	0.000	0.000	0.448	2.893	14.288	3.737	3.866	subject612de1b381c9a	11R
5344.000	5464.000	145.000	75.801	187.236	0.000	0.000	0.448	3.191	13.243	6.865	5.667	subject612de1b381c9a	11R
5511.000	6139.000	652.000	211.922	599.680	0.000	0.000	0.448	3.280	45.860	11.769	7.627	subject612de1b381c9a	11R
6189.000	6892.000	727.000	258.185	537.902	0.000	0.000	0.448	2.827	18.296	10.337	5.217	subject612de1b381c9a	11R
6944.000	7144.000	227.000	304.004	544.569	0.000	0.000	0.448	2.431	13.075	3.658	3.840	subject612de1b381c9a	11R
7194.000	7968.000	801.000	334.698	568.124	0.000	0.000	0.448	2.678	23.392	8.296	4.740	subject612de1b381c9a	11R
8018.000	9063.000	1070.000	497.064	600.124	0.000	0.000	0.448	3.237	45.359	17.733	6.356	subject612de1b381c9a	11R
9113.000	9674.000	584.000	325.801	573.458	0.000	0.000	0.448	1.939	6.459	5.116	2.516	subject612de1b381c9a	11R
9723.000	10260.000	562.000	230.605	584.569	0.000	0.000	0.448	2.135	10.415	3.896	4.926	subject612de1b381c9a	11R
10312.000	10512.000	222.000	404.093	587.236	0.000	0.000	0.448	2.192	11.491	3.101	4.608	subject612de1b381c9a	11R
10557.000	10772.000	241.000	530.427	578.791	0.000	0.000	0.448	2.536	10.777	5.434	3.072	subject612de1b381c9a	11R
10823.000	11344.000	543.000	663.879	598.791	0.000	0.000	0.448	2.794	13.281	5.884	5.455	subject612de1b381c9a	11R
