FixStart	FixEnd	FixDur	XPos	YPos	FlankedByDataLoss	Fraction Interpolated	WeightCutoff	RMSxy	BCEA	FixRangeX	FixRangeY	Participant	Trial
1.000	196.000	219.000	956.950	372.044	0.000	0.000	0.550	1.875	3.644	3.999	1.420	subject612e34bd1e60d	11S
242.000	401.000	183.000	913.264	337.088	0.000	0.000	0.550	0.454	0.860	0.734	0.828	subject612e34bd1e60d	11S
450.000	601.000	175.000	190.469	230.634	0.000	0.000	0.550	3.966	33.520	10.081	4.237	subject612e34bd1e60d	11S
650.000	1284.000	659.000	60.207	110.276	0.000	0.000	0.550	4.410	78.989	12.305	12.213	subject612e34bd1e60d	11S
1334.000	2034.000	724.000	184.114	-2.931	0.000	0.000	0.550	2.818	18.111	11.856	3.574	subject612e34bd1e60d	11S
2082.000	2182.000	124.000	314.376	68.568	0.000	0.000	0.550	1.032	1.457	1.018	1.657	subject612e34bd1e60d	11S
2232.000	2595.000	388.000	428.356	6.602	0.000	0.000	0.550	1.346	4.342	4.804	1.633	subject612e34bd1e60d	11S
2646.000	3059.000	440.000	465.290	38.379	0.000	0.000	0.550	1.688	19.067	8.188	6.059	subject612e34bd1e60d	11S
3119.000	3412.000	317.000	593.963	225.867	0.000	0.000	0.550	3.447	49.640	10.980	10.485	subject612e34bd1e60d	11S
3459.000	4514.000	1079.000	908.499	87.635	0.000	0.000	0.550	3.556	24.317	9.868	5.941	subject612e34bd1e60d	11S
4561.000	4779.000	244.000	-118.507	63.801	0.000	0.000	0.550	2.419	32.484	9.939	3.456	subject612e34bd1e60d	11S
4829.000	5264.000	458.000	30.024	97.962	0.000	0.000	0.550	2.343	22.875	8.637	4.497	subject612e34bd1e60d	11S
5310.000	5534.000	248.000	239.714	98.757	0.000	0.000	0.550	1.946	13.402	3.384	5.112	subject612e34bd1e60d	11S
5582.000	5807.000	248.000	354.091	117.823	0.000	0.000	0.550	0.674	2.436	1.727	1.254	subject612e34bd1e60d	11S
5856.000	6147.000	317.000	492.295	62.213	0.000	0.000	0.550	1.305	4.605	2.556	3.527	subject612e34bd1e60d	11S
6196.000	6492.000	322.000	773.471	168.667	0.000	0.000	0.550	1.943	25.857	8.259	4.118	subject612e34bd1e60d	11S
6544.000	7400.000	881.000	925.973	117.029	0.000	0.000	0.550	2.691	83.639	12.684	18.319	subject612e34bd1e60d	11S
7457.000	7738.000	302.000	-46.624	127.357	0.000	0.000	0.550	2.567	11.515	5.443	2.556	subject612e34bd1e60d	11S
7785.000	7933.000	174.000	187.292	105.907	0.000	0.000	0.550	1.356	1.498	2.272	0.757	subject612e34bd1e60d	11S
7991.000	8392.000	426.000	533.598	112.262	0.000	0.000	0.550	1.926	14.397	8.827	1.941	subject612e34bd1e60d	11S
8441.000	8799.000	383.000	798.888	122.590	0.000	0.000	0.550	1.434	8.252	4.922	2.391	subject612e34bd1e60d	11S
8850.000	9013.000	192.000	854.091	100.743	0.000	0.000	0.550	0.187	0.099	0.331	0.473	subject612e34bd1e60d	11S
9067.000	9237.000	195.000	947.419	98.757	0.000	0.000	0.550	4.614	14.906	13.181	2.107	subject612e34bd1e60d	11S
9285.000	9377.000	113.000	22.875	107.496	0.000	0.000	0.550	0.203	0.000	0.402	0.047	subject612e34bd1e60d	11S
9421.000	9586.000	189.000	-142.335	116.234	0.000	0.000	0.550	2.110	14.584	7.265	1.775	subject612e34bd1e60d	11S
9634.000	9927.000	317.000	273.868	90.018	0.000	0.000	0.550	1.109	7.399	4.969	1.515	subject612e34bd1e60d	11S
9976.000	10700.000	748.000	481.176	96.373	0.000	0.000	0.550	3.066	28.955	13.820	3.598	subject612e34bd1e60d	11S
10746.000	11160.000	439.000	964.098	157.545	0.000	0.000	0.550	1.612	7.359	3.573	2.675	subject612e34bd1e60d	11S
11209.000	11796.000	610.000	117.395	192.500	0.000	0.000	0.550	3.549	24.004	9.040	4.308	subject612e34bd1e60d	11S
11845.000	11994.000	174.000	284.988	156.751	0.000	0.000	0.550	1.055	4.284	1.704	2.201	subject612e34bd1e60d	11S
12042.000	12140.000	122.000	612.232	175.023	0.000	0.000	0.550	0.516	0.000	0.615	0.828	subject612e34bd1e60d	11S
12188.000	12265.000	104.000	395.393	522.193	0.000	0.000	0.550	0.962	1.854	0.947	1.728	subject612e34bd1e60d	11S
12313.000	12436.000	148.000	466.878	260.028	0.000	0.000	0.550	2.900	6.367	4.543	1.515	subject612e34bd1e60d	11S
12485.000	13239.000	778.000	871.168	132.123	0.000	0.000	0.550	2.169	22.600	9.797	3.574	subject612e34bd1e60d	11S
13295.000	13720.000	449.000	-12.073	159.929	0.000	0.000	0.550	2.162	11.570	5.940	4.284	subject612e34bd1e60d	11S
13767.000	13838.000	97.000	362.431	625.470	0.000	0.000	0.550	4.298	27.037	7.265	6.012	subject612e34bd1e60d	11S
13888.000	14074.000	211.000	139.635	342.649	0.000	0.000	0.550	2.417	9.290	4.567	3.882	subject612e34bd1e60d	11S
14124.000	14268.000	167.000	331.056	185.351	0.000	0.000	0.550	1.189	2.259	2.698	0.686	subject612e34bd1e60d	11S
14314.000	14465.000	174.000	362.033	237.784	0.000	0.000	0.550	0.380	0.613	0.876	0.497	subject612e34bd1e60d	11S
14513.000	14678.000	189.000	561.795	205.609	0.000	0.000	0.550	0.743	0.928	2.934	0.663	subject612e34bd1e60d	11S
14728.000	14879.000	175.000	649.563	212.361	0.000	0.000	0.550	0.648	0.964	0.852	1.420	subject612e34bd1e60d	11S
