FixStart	FixEnd	FixDur	XPos	YPos	FlankedByDataLoss	Fraction Interpolated	WeightCutoff	RMSxy	BCEA	FixRangeX	FixRangeY	Participant	Trial
85.000	56662.000	56637.000	587.974	458.802	0.000	0.001	0.546	12.081	719.126	60.131	57.265	subject612e3c003e111	11S
99.000	85245.000	85225.000	409.542	541.944	0.000	0.000	0.543	8.444	370.006	48.214	36.512	subject612e3c003e111	13I
79.000	6988.000	6977.000	420.654	292.517	1.000	0.000	0.593	11.970	1066.679	68.660	60.736	subject612e3c003e111	14I
7455.000	40446.000	33074.000	581.438	215.921	1.000	0.000	0.593	13.182	407.974	45.877	57.538	subject612e3c003e111	14I
40950.000	55456.000	14585.000	623.922	573.368	0.000	0.000	0.593	11.135	476.747	57.366	32.611	subject612e3c003e111	14I
93.000	12196.000	12185.000	521.961	354.056	0.000	0.000	0.614	9.763	667.527	52.692	36.707	subject612e3c003e111	14S
81.000	14761.000	14768.000	387.974	451.601	1.000	0.000	0.628	8.845	231.045	50.161	31.012	subject612e3c003e111	15I
15254.000	20773.000	5595.000	584.052	191.699	1.000	0.000	0.628	11.378	276.798	49.382	22.547	subject612e3c003e111	15I
21600.000	22090.000	583.000	395.817	369.768	1.000	0.000	0.628	64.861	3578.809	84.861	44.314	subject612e3c003e111	15I
22431.000	23533.000	1177.000	312.157	143.254	1.000	0.000	0.628	24.133	962.044	75.981	21.533	subject612e3c003e111	15I
24108.000	31966.000	7933.000	484.052	303.646	1.000	0.000	0.628	10.821	283.272	50.940	30.349	subject612e3c003e111	15I
32629.000	62676.000	30133.000	361.830	365.840	0.000	0.000	0.628	9.962	447.666	50.122	52.623	subject612e3c003e111	15I
84.000	59260.000	59269.000	339.608	437.853	0.000	0.000	0.552	9.396	393.938	62.818	47.590	subject612e3c003e111	1I
83.000	20451.000	20450.000	547.451	293.827	0.000	0.000	0.588	9.686	686.429	53.277	41.934	subject612e3c003e111	1S
100.000	14957.000	14930.000	480.131	351.437	0.000	0.000	0.603	9.646	537.634	49.810	35.459	subject612e3c003e111	2S
461821.000	481470.000	19725.000	476.259	505.469	0.000	0.000	0.622	8.168	523.315	35.063	34.088	subject612e3c003e111	2V
746446.000	766370.000	20002.000	563.152	521.143	0.000	0.000	0.620	8.592	617.803	37.816	34.983	subject612e3c003e111	3V
915977.000	935513.000	19629.000	659.943	335.673	0.000	0.000	0.623	8.167	581.135	42.961	37.785	subject612e3c003e111	4V
89.000	7682.000	7710.000	387.320	276.151	1.000	0.000	0.564	11.320	523.114	49.421	47.317	subject612e3c003e111	5I
8110.000	76117.000	68121.000	427.190	330.488	1.000	0.000	0.564	9.387	305.441	48.954	51.140	subject612e3c003e111	5I
76929.000	117634.000	40794.000	342.876	304.301	0.000	0.000	0.564	10.271	488.892	58.028	43.183	subject612e3c003e111	5I
88.000	23688.000	23695.000	436.993	457.493	0.000	0.000	0.584	11.606	923.942	63.246	47.356	subject612e3c003e111	5S
1172296.000	1191964.000	19759.000	668.743	339.592	0.000	0.000	0.621	7.566	845.415	42.305	37.006	subject612e3c003e111	5V
88.000	27585.000	27584.000	467.712	331.797	0.000	0.000	0.575	8.980	613.175	54.367	38.189	subject612e3c003e111	8S
84.000	27954.000	27959.000	377.516	245.381	0.000	0.000	0.576	10.236	398.981	65.934	36.902	subject612e3c003e111	9I
