FixStart	FixEnd	FixDur	XPos	YPos	FlankedByDataLoss	Fraction Interpolated	WeightCutoff	RMSxy	BCEA	FixRangeX	FixRangeY	Participant	Trial
1.000	119.000	150.000	1858.230	662.991	0.000	0.000	0.510	6.247	39.620	8.411	6.829	subject612e450524e12	11I
186.000	285.000	132.000	1962.655	802.372	0.000	0.250	0.510	4.941	7.140	2.162	8.964	subject612e450524e12	11I
351.000	1857.000	1543.000	625.487	164.319	0.000	0.000	0.510	9.882	234.184	30.557	24.177	subject612e450524e12	11I
1930.000	1998.000	103.000	1574.159	129.805	1.000	0.000	0.510	11.252	21.539	7.989	20.829	subject612e450524e12	11I
2199.000	4135.000	1967.000	784.779	608.566	0.000	0.000	0.510	11.812	383.035	40.603	33.247	subject612e450524e12	11I
4198.000	6474.000	2313.000	792.301	539.097	0.000	0.000	0.510	11.656	331.723	33.458	31.375	subject612e450524e12	11I
6541.000	7398.000	887.000	1157.345	478.478	0.000	0.000	0.510	13.279	407.409	31.876	25.443	subject612e450524e12	11I
7460.000	7621.000	194.000	894.513	621.841	0.000	0.000	0.510	5.807	87.364	9.571	7.567	subject612e450524e12	11I
7689.000	7920.000	263.000	849.823	644.850	0.000	0.000	0.510	7.967	102.639	17.190	10.019	subject612e450524e12	11I
7981.000	8205.000	256.000	805.575	520.071	0.000	0.000	0.510	8.922	103.332	8.832	15.081	subject612e450524e12	11I
8270.000	10321.000	2083.000	989.204	668.743	0.000	0.000	0.510	12.992	381.418	31.217	33.985	subject612e450524e12	11I
10383.000	11039.000	688.000	988.319	741.310	0.000	0.000	0.510	7.888	123.561	16.083	13.868	subject612e450524e12	11I
11103.000	13344.000	2275.000	986.549	613.876	0.000	0.000	0.510	12.894	380.387	40.181	29.318	subject612e450524e12	11I
13410.000	13471.000	93.000	764.425	329.805	0.000	0.000	0.510	5.860	70.304	7.540	5.168	subject612e450524e12	11I
13538.000	13570.000	63.000	881.239	-4.708	0.000	0.000	0.510	5.462	0.000	5.326	1.213	subject612e450524e12	11I
13632.000	13722.000	120.000	756.460	321.398	0.000	0.000	0.510	6.572	59.879	4.851	9.043	subject612e450524e12	11I
13782.000	16449.000	2699.000	958.230	403.257	0.000	0.000	0.510	9.578	315.129	35.066	28.923	subject612e450524e12	11I
16521.000	17177.000	687.000	931.681	641.310	0.000	0.000	0.510	7.830	175.914	21.514	17.401	subject612e450524e12	11I
17240.000	17810.000	601.000	643.186	655.469	0.000	0.000	0.510	7.070	100.987	21.040	8.252	subject612e450524e12	11I
17870.000	18357.000	518.000	773.717	366.531	0.000	0.000	0.510	11.740	342.175	30.900	25.495	subject612e450524e12	11I
18420.000	18621.000	233.000	767.965	397.062	0.000	0.000	0.510	5.333	85.359	10.994	11.574	subject612e450524e12	11I
18681.000	20082.000	1431.000	944.513	472.726	0.000	0.000	0.510	10.570	272.219	27.789	22.991	subject612e450524e12	11I
20145.000	20672.000	558.000	921.062	528.035	0.000	0.000	0.510	12.155	268.686	22.200	21.356	subject612e450524e12	11I
20801.000	21218.000	447.000	1053.363	644.850	0.000	0.000	0.510	10.682	171.605	27.446	10.757	subject612e450524e12	11I
