FixStart	FixEnd	FixDur	XPos	YPos	FlankedByDataLoss	Fraction Interpolated	WeightCutoff	RMSxy	BCEA	FixRangeX	FixRangeY	Participant	Trial
1.000	106159.000	106230.000	566.397	1047.232	0.000	0.000	0.764	9.980	471.844	62.559	47.847	subject612e4c6c9e41d	10I
68.000	45341.000	45332.000	273.483	420.798	0.000	0.000	0.800	7.361	416.661	54.263	41.309	subject612e4c6c9e41d	10S
1.000	1.000	76.000	1144.242	1135.511	0.000	0.000	0.770	NaN	NaN	0.000	0.000	subject612e4c6c9e41d	12I
152.000	80594.000	80517.000	830.369	694.613	0.000	0.000	0.770	5.852	317.462	38.237	39.942	subject612e4c6c9e41d	12I
73.000	45064.000	45063.000	549.431	260.698	0.000	0.000	0.794	6.612	656.527	45.284	41.160	subject612e4c6c9e41d	12S
1.000	85420.000	85505.000	541.447	584.888	1.000	0.000	0.792	5.896	470.606	51.677	49.452	subject612e4c6c9e41d	13I
85723.000	167416.000	81777.000	705.120	937.007	0.000	0.000	0.792	4.853	301.400	50.279	45.261	subject612e4c6c9e41d	13I
1.000	37744.000	37807.000	707.116	660.200	0.000	0.000	0.810	6.890	596.236	47.157	42.587	subject612e4c6c9e41d	13S
1.000	1.000	67.000	-148.174	346.484	0.000	0.000	0.772	NaN	NaN	0.000	0.000	subject612e4c6c9e41d	2I
115.000	320435.000	320383.000	471.587	663.691	0.000	0.000	0.772	7.418	464.469	60.269	45.469	subject612e4c6c9e41d	2I
430559.000	450864.000	20385.000	655.743	480.268	0.000	0.000	0.767	6.184	715.463	35.685	32.625	subject612e4c6c9e41d	2V
915818.000	936022.000	20291.000	695.498	447.387	0.000	0.000	0.771	5.943	594.266	32.450	31.051	subject612e4c6c9e41d	3V
1.000	212194.000	212263.000	523.483	453.217	0.000	0.000	0.784	6.542	569.117	49.417	71.146	subject612e4c6c9e41d	4I
1300206.000	1300206.000	96.000	757.481	457.351	0.000	0.000	0.801	NaN	NaN	0.000	0.000	subject612e4c6c9e41d	4V
1300363.000	1320208.000	19917.000	623.255	495.713	0.000	0.000	0.801	6.286	601.808	32.043	38.235	subject612e4c6c9e41d	4V
64.000	30547.000	30549.000	492.545	406.334	0.000	0.000	0.805	6.959	491.603	47.930	37.921	subject612e4c6c9e41d	5S
1668708.000	1688770.000	20140.000	596.324	423.971	0.000	0.000	0.809	5.663	599.312	28.808	29.270	subject612e4c6c9e41d	5V
58.000	42920.000	42947.000	505.519	727.531	0.000	0.000	0.785	10.366	551.528	58.426	46.955	subject612e4c6c9e41d	6S
1.000	36381.000	36453.000	541.447	422.793	0.000	0.000	0.780	6.792	309.320	50.398	35.781	subject612e4c6c9e41d	8I
83.000	40585.000	40582.000	306.916	345.486	0.000	0.000	0.783	7.919	562.152	50.457	50.759	subject612e4c6c9e41d	9S
