FixStart	FixEnd	FixDur	XPos	YPos	FlankedByDataLoss	Fraction Interpolated	WeightCutoff	RMSxy	BCEA	FixRangeX	FixRangeY	Participant	Trial
1.000	260.000	312.000	1145.609	631.713	0.000	0.000	0.681	6.126	37.565	4.378	9.315	subject612e6114dece4	11S
363.000	463.000	149.000	568.100	329.362	0.000	0.000	0.681	2.769	9.905	4.165	2.295	subject612e6114dece4	11S
565.000	1021.000	505.000	45.699	205.733	0.000	0.000	0.681	4.357	46.274	10.225	7.473	subject612e6114dece4	11S
1127.000	2588.000	1511.000	120.520	180.202	0.000	0.000	0.681	5.749	57.879	12.734	10.276	subject612e6114dece4	11S
2688.000	6039.000	3409.000	546.595	138.544	0.000	0.000	0.681	4.594	75.265	23.493	8.407	subject612e6114dece4	11S
6147.000	8238.000	2148.000	313.620	170.795	0.000	0.000	0.681	6.097	134.088	27.844	12.518	subject612e6114dece4	11S
8353.000	8510.000	216.000	207.885	488.824	0.000	0.000	0.681	4.900	33.034	6.567	3.550	subject612e6114dece4	11S
8637.000	9037.000	452.000	5.376	503.158	0.000	0.000	0.681	5.130	49.183	9.050	6.299	subject612e6114dece4	11S
9153.000	9778.000	673.000	374.552	647.391	0.000	0.000	0.681	4.423	62.150	10.331	10.169	subject612e6114dece4	11S
9880.000	10253.000	423.000	627.688	199.462	0.000	0.000	0.681	4.904	59.255	7.021	9.902	subject612e6114dece4	11S
10353.000	10504.000	202.000	242.832	181.993	0.000	0.000	0.681	3.374	4.810	4.912	1.094	subject612e6114dece4	11S
10619.000	14536.000	3985.000	380.824	181.545	0.000	0.000	0.681	5.279	133.177	31.501	11.450	subject612e6114dece4	11S
14658.000	15035.000	428.000	-83.781	221.411	0.000	0.000	0.681	5.863	56.711	11.746	5.525	subject612e6114dece4	11S
15152.000	16941.000	1842.000	435.932	160.941	0.000	0.000	0.681	4.683	127.263	24.694	10.649	subject612e6114dece4	11S
17043.000	17146.000	153.000	385.305	514.804	0.000	0.000	0.681	4.707	19.766	6.007	3.256	subject612e6114dece4	11S
17246.000	17849.000	654.000	318.996	566.764	0.000	0.000	0.681	6.405	105.625	16.952	8.434	subject612e6114dece4	11S
17952.000	18560.000	662.000	701.613	212.004	0.000	0.000	0.681	6.635	86.725	20.983	6.005	subject612e6114dece4	11S
18667.000	18920.000	303.000	24.642	177.066	0.000	0.000	0.681	4.723	36.070	10.732	4.991	subject612e6114dece4	11S
19023.000	20188.000	1214.000	562.724	204.838	0.000	0.000	0.681	4.647	80.937	15.377	12.358	subject612e6114dece4	11S
20287.000	22902.000	2681.000	444.892	218.723	0.000	0.000	0.681	4.858	119.459	29.366	10.035	subject612e6114dece4	11S
23020.000	23984.000	1015.000	112.903	229.026	0.000	0.000	0.681	5.453	89.171	16.205	11.343	subject612e6114dece4	11S
24101.000	25885.000	1835.000	571.685	252.318	0.000	0.000	0.681	4.643	52.713	14.096	9.048	subject612e6114dece4	11S
25984.000	26085.000	152.000	835.125	240.672	0.000	0.000	0.681	2.224	1.945	1.922	2.375	subject612e6114dece4	11S
26188.000	29176.000	3037.000	377.240	255.006	0.000	0.000	0.681	5.469	141.366	27.577	14.012	subject612e6114dece4	11S
29284.000	30070.000	836.000	684.140	289.496	0.000	0.000	0.681	5.886	37.511	11.586	6.032	subject612e6114dece4	11S
30171.000	35034.000	4913.000	186.380	334.737	0.000	0.000	0.681	5.877	119.772	28.458	10.089	subject612e6114dece4	11S
35134.000	35189.000	116.000	837.814	370.123	0.000	0.000	0.681	4.362	0.000	3.470	2.642	subject612e6114dece4	11S
35300.000	35455.000	204.000	707.885	285.913	0.000	0.000	0.681	2.034	5.463	2.136	2.109	subject612e6114dece4	11S
35553.000	35801.000	299.000	25.538	287.704	0.000	0.000	0.681	3.236	23.561	4.325	5.205	subject612e6114dece4	11S
35916.000	37542.000	1681.000	17.025	357.133	0.000	0.000	0.681	5.154	59.398	18.420	10.516	subject612e6114dece4	11S
37650.000	40300.000	2700.000	427.867	350.862	0.000	0.000	0.681	5.078	88.553	26.322	14.253	subject612e6114dece4	11S
40401.000	40668.000	319.000	244.624	779.530	0.000	0.000	0.681	4.858	44.437	10.972	9.635	subject612e6114dece4	11S
40770.000	40821.000	112.000	697.581	620.067	0.000	0.000	0.681	4.117	0.000	2.803	3.016	subject612e6114dece4	11S
40932.000	42783.000	1901.000	283.154	438.656	0.000	0.000	0.681	5.014	63.063	14.816	11.717	subject612e6114dece4	11S
42883.000	43099.000	266.000	535.842	415.364	0.000	0.000	0.681	2.780	12.968	2.536	4.270	subject612e6114dece4	11S
43216.000	43768.000	617.000	569.892	422.531	0.000	0.000	0.681	4.498	41.556	7.502	9.315	subject612e6114dece4	11S
43882.000	44783.000	958.000	760.305	443.135	0.000	0.000	0.681	5.127	45.961	10.759	7.927	subject612e6114dece4	11S
44903.000	46518.000	1664.000	316.308	441.344	0.000	0.000	0.681	6.167	176.331	28.511	11.263	subject612e6114dece4	11S
46617.000	48234.000	1682.000	191.756	453.886	0.000	0.000	0.681	4.964	55.169	15.671	8.087	subject612e6114dece4	11S
48350.000	48885.000	583.000	77.957	536.305	0.000	0.000	0.681	3.929	32.448	5.179	8.087	subject612e6114dece4	11S
48984.000	52849.000	3914.000	217.742	565.420	0.000	0.000	0.681	4.826	57.571	13.268	17.669	subject612e6114dece4	11S
52948.000	53466.000	583.000	379.928	636.641	0.000	0.000	0.681	4.345	22.128	7.902	5.338	subject612e6114dece4	11S
53584.000	54248.000	731.000	447.133	187.816	0.000	0.000	0.681	4.283	60.069	9.290	12.678	subject612e6114dece4	11S
54365.000	55980.000	1667.000	308.244	146.607	0.000	0.000	0.681	6.538	151.504	29.526	11.317	subject612e6114dece4	11S
56082.000	56867.000	836.000	136.201	220.067	0.000	0.000	0.681	4.959	74.887	15.964	8.621	subject612e6114dece4	11S
56974.000	58299.000	1374.000	748.208	162.732	0.000	0.000	0.681	5.343	69.584	14.896	12.838	subject612e6114dece4	11S
58415.000	59287.000	926.000	1146.953	745.039	0.000	0.000	0.681	8.200	86.972	10.759	14.626	subject612e6114dece4	11S
59392.000	62535.000	3193.000	677.419	193.191	0.000	0.000	0.681	5.240	297.925	30.353	34.750	subject612e6114dece4	11S
62633.000	63152.000	568.000	1107.527	674.267	0.000	0.000	0.681	6.427	65.871	10.465	8.781	subject612e6114dece4	11S
63250.000	64700.000	1501.000	682.796	138.544	0.000	0.000	0.681	5.321	47.227	13.134	11.317	subject612e6114dece4	11S
