FixStart	FixEnd	FixDur	XPos	YPos	FlankedByDataLoss	Fraction Interpolated	WeightCutoff	RMSxy	BCEA	FixRangeX	FixRangeY	Participant	Trial
1.000	757.000	792.000	441.026	444.991	0.000	0.000	0.583	4.143	74.946	13.801	12.783	subject612e6571470ef	10I
826.000	1775.000	984.000	100.855	136.017	0.000	0.000	0.583	5.419	94.001	11.408	17.519	subject612e6571470ef	10I
1843.000	2210.000	419.000	166.667	505.675	0.000	0.000	0.583	3.954	38.550	10.848	8.352	subject612e6571470ef	10I
2298.000	2471.000	225.000	544.872	454.393	0.000	0.000	0.583	3.033	23.431	3.921	7.435	subject612e6571470ef	10I
2556.000	3764.000	1243.000	288.034	483.453	0.000	0.000	0.583	3.728	58.401	14.005	9.651	subject612e6571470ef	10I
3832.000	3936.000	137.000	232.479	497.128	0.000	0.000	0.583	2.170	4.066	2.063	1.655	subject612e6571470ef	10I
4003.000	4136.000	167.000	35.043	454.393	0.000	0.000	0.583	5.351	34.118	2.445	11.179	subject612e6571470ef	10I
4223.000	4704.000	513.000	375.214	520.205	0.000	0.000	0.583	3.759	23.799	8.250	4.889	subject612e6571470ef	10I
4791.000	5492.000	734.000	328.205	545.846	0.000	0.000	0.583	2.364	19.042	5.857	4.965	subject612e6571470ef	10I
5561.000	6088.000	561.000	551.282	605.675	0.000	0.000	0.583	4.903	57.578	9.422	13.470	subject612e6571470ef	10I
6155.000	6441.000	318.000	476.068	662.940	0.000	0.000	0.583	3.400	25.406	6.290	7.461	subject612e6571470ef	10I
6505.000	7025.000	554.000	290.598	529.607	0.000	0.000	0.583	3.508	16.723	4.838	7.817	subject612e6571470ef	10I
7093.000	7689.000	629.000	430.769	479.179	0.000	0.000	0.583	2.604	12.437	4.584	7.104	subject612e6571470ef	10I
7756.000	7941.000	218.000	124.786	526.188	0.000	0.000	0.583	1.483	2.619	2.139	3.005	subject612e6571470ef	10I
8008.000	8113.000	138.000	163.248	439.863	0.000	0.000	0.583	3.001	0.000	0.178	5.195	subject612e6571470ef	10I
8178.000	9595.000	1451.000	194.017	178.752	0.000	0.000	0.583	3.827	36.688	7.486	10.262	subject612e6571470ef	10I
9662.000	10365.000	736.000	510.684	233.880	0.000	0.000	0.583	3.412	58.376	10.899	11.535	subject612e6571470ef	10I
10432.000	10497.000	98.000	427.350	238.154	0.000	0.000	0.583	4.418	30.514	4.864	3.921	subject612e6571470ef	10I
10563.000	10770.000	242.000	152.137	347.556	0.000	0.000	0.583	2.819	17.242	4.456	5.271	subject612e6571470ef	10I
10856.000	11274.000	451.000	361.538	507.385	0.000	0.000	0.583	2.102	15.562	6.086	7.181	subject612e6571470ef	10I
11356.000	11937.000	616.000	126.496	197.983	0.000	0.000	0.583	3.402	59.385	8.887	9.524	subject612e6571470ef	10I
12008.000	12854.000	879.000	41.026	130.889	0.000	0.000	0.583	4.352	30.724	8.760	11.662	subject612e6571470ef	10I
12939.000	13166.000	261.000	69.658	337.299	0.000	0.000	0.583	5.073	55.352	11.179	6.341	subject612e6571470ef	10I
13233.000	13364.000	164.000	305.128	679.179	0.000	0.000	0.583	5.399	21.741	6.009	4.736	subject612e6571470ef	10I
