FixStart	FixEnd	FixDur	XPos	YPos	FlankedByDataLoss	Fraction Interpolated	WeightCutoff	RMSxy	BCEA	FixRangeX	FixRangeY	Participant	Trial
129.000	6097.000	6059.000	501.094	570.525	1.000	0.000	0.608	10.104	493.985	31.977	44.673	subject612f5db4e8b6b	10I
6417.000	21582.000	15288.000	481.400	724.623	1.000	0.000	0.608	9.930	234.706	39.604	40.082	subject612f5db4e8b6b	10I
22186.000	33937.000	11814.000	374.726	824.077	1.000	0.000	0.608	11.424	394.841	35.986	37.998	subject612f5db4e8b6b	10I
34381.000	48440.000	14118.000	518.600	659.596	1.000	0.005	0.608	11.788	539.647	46.841	45.226	subject612f5db4e8b6b	10I
48709.000	74522.000	25877.000	495.077	641.563	1.000	0.006	0.608	11.949	356.947	56.848	47.408	subject612f5db4e8b6b	10I
74943.000	74943.000	70.000	-245.077	1125.716	1.000	0.000	0.608	NaN	NaN	0.000	0.000	subject612f5db4e8b6b	10I
75285.000	77772.000	2567.000	392.232	943.749	1.000	0.029	0.608	13.733	393.278	37.583	27.709	subject612f5db4e8b6b	10I
78031.000	79025.000	1090.000	463.895	895.115	1.000	0.000	0.608	11.639	209.026	21.187	21.197	subject612f5db4e8b6b	10I
79548.000	88658.000	9170.000	258.206	636.645	1.000	0.008	0.608	11.340	370.275	55.479	30.607	subject612f5db4e8b6b	10I
89046.000	94010.000	5038.000	559.081	582.546	1.000	0.014	0.608	12.980	598.762	33.933	45.487	subject612f5db4e8b6b	10I
94350.000	94411.000	132.000	51.969	1031.727	1.000	0.000	0.608	20.296	0.000	14.505	14.196	subject612f5db4e8b6b	10I
94732.000	104165.000	9494.000	398.249	608.776	1.000	0.008	0.608	20.399	479.246	35.139	53.725	subject612f5db4e8b6b	10I
104907.000	107902.000	3078.000	473.742	1014.240	1.000	0.047	0.608	13.222	433.655	25.523	43.175	subject612f5db4e8b6b	10I
108265.000	115219.000	7040.000	476.477	778.721	1.000	0.000	0.608	14.008	516.106	37.746	42.622	subject612f5db4e8b6b	10I
118569.000	179520.000	61012.000	490.153	345.388	1.000	0.002	0.608	11.359	463.492	48.536	62.321	subject612f5db4e8b6b	10I
179894.000	209927.000	30107.000	582.057	643.202	0.000	0.002	0.608	10.890	484.075	45.569	45.096	subject612f5db4e8b6b	10I
132.000	8202.000	8140.000	481.400	401.126	1.000	0.000	0.647	10.747	458.226	39.702	35.393	subject612f5db4e8b6b	12S
8683.000	8756.000	133.000	537.199	1040.470	1.000	0.000	0.647	18.462	0.000	18.058	3.842	subject612f5db4e8b6b	12S
9043.000	23248.000	14273.000	741.794	168.339	1.000	0.000	0.647	10.798	600.769	42.375	58.316	subject612f5db4e8b6b	12S
23581.000	27626.000	4172.000	886.214	575.989	0.000	0.000	0.647	12.572	477.580	35.106	42.198	subject612f5db4e8b6b	12S
134.000	55571.000	55569.000	535.011	393.475	0.000	0.000	0.553	6.116	255.592	38.333	32.170	subject612f5db4e8b6b	13R
128.000	151109.000	151080.000	524.617	495.115	0.000	0.000	0.531	7.973	297.236	68.517	44.966	subject612f5db4e8b6b	15R
143.000	30509.000	30431.000	527.352	663.421	0.000	0.000	0.571	7.894	241.564	45.113	26.146	subject612f5db4e8b6b	1S
476794.000	495671.000	18936.000	661.473	562.310	0.000	0.000	0.634	7.443	519.520	35.543	33.050	subject612f5db4e8b6b	2V
123.000	39985.000	39956.000	491.247	448.120	0.000	0.000	0.563	6.206	321.651	40.093	30.151	subject612f5db4e8b6b	3S
797579.000	816440.000	18958.000	673.169	407.265	0.000	0.000	0.635	6.347	452.357	36.007	25.145	subject612f5db4e8b6b	3V
136.000	56327.000	56253.000	467.177	418.612	1.000	0.000	0.570	5.372	229.912	32.498	36.370	subject612f5db4e8b6b	4R
57347.000	64913.000	7632.000	691.466	616.426	0.000	0.000	0.570	5.506	452.538	23.958	38.226	subject612f5db4e8b6b	4R
1044192.000	1063165.000	19050.000	514.624	387.612	0.000	0.000	0.632	6.313	479.459	30.277	29.212	subject612f5db4e8b6b	4V
156.000	22737.000	22649.000	421.225	344.842	0.000	0.000	0.583	6.963	352.256	47.721	30.607	subject612f5db4e8b6b	5S
138.000	33572.000	33502.000	359.956	433.913	0.000	0.000	0.567	6.321	221.257	51.306	32.756	subject612f5db4e8b6b	6I
131.000	18586.000	18529.000	345.186	636.098	1.000	0.008	0.587	10.114	367.946	44.917	45.161	subject612f5db4e8b6b	6R
18977.000	43793.000	24879.000	398.796	667.246	1.000	0.003	0.587	9.998	342.709	43.418	44.966	subject612f5db4e8b6b	6R
44036.000	59824.000	15921.000	596.280	630.087	0.000	0.005	0.587	10.833	379.409	39.148	41.970	subject612f5db4e8b6b	6R
123.000	62056.000	62004.000	321.663	537.738	0.000	0.000	0.549	6.514	253.424	54.435	29.142	subject612f5db4e8b6b	7I
