FixStart	FixEnd	FixDur	XPos	YPos	FlankedByDataLoss	Fraction Interpolated	WeightCutoff	RMSxy	BCEA	FixRangeX	FixRangeY	Participant	Trial
1.000	111.000	139.000	1070.896	806.950	0.000	0.000	0.492	5.326	22.117	5.796	3.790	subject6138cb306c555	1I
174.000	347.000	200.000	219.787	386.459	0.000	0.000	0.492	3.654	19.836	5.821	4.884	subject6138cb306c555	1I
400.000	633.000	269.000	-21.681	443.663	0.000	0.000	0.492	6.221	48.879	9.914	5.443	subject6138cb306c555	1I
699.000	1833.000	1162.000	233.865	506.416	0.000	0.000	0.492	3.649	47.493	11.083	12.668	subject6138cb306c555	1I
1886.000	2164.000	304.000	406.220	418.476	0.000	0.000	0.492	3.265	20.978	5.033	5.952	subject6138cb306c555	1I
2218.000	2385.000	191.000	241.118	455.616	0.000	0.000	0.492	3.229	15.983	3.076	3.841	subject6138cb306c555	1I
2435.000	2852.000	450.000	246.237	506.843	0.000	0.000	0.492	4.047	48.874	11.414	9.997	subject6138cb306c555	1I
2919.000	3226.000	331.000	237.278	494.890	0.000	0.000	0.492	3.130	27.325	11.032	4.095	subject6138cb306c555	1I
3274.000	3590.000	345.000	413.473	407.804	0.000	0.000	0.492	4.030	34.232	5.338	7.936	subject6138cb306c555	1I
3652.000	4038.000	416.000	162.619	532.457	0.000	0.000	0.492	3.473	20.416	5.211	7.377	subject6138cb306c555	1I
4164.000	5121.000	987.000	210.401	579.415	0.000	0.000	0.492	3.646	28.433	8.923	9.132	subject6138cb306c555	1I
5189.000	5662.000	502.000	390.435	467.996	0.000	0.000	0.492	3.275	23.279	8.160	5.978	subject6138cb306c555	1I
5724.000	6922.000	1226.000	228.319	142.275	0.000	0.000	0.492	4.006	88.495	8.846	20.324	subject6138cb306c555	1I
6980.000	8101.000	1155.000	280.794	13.353	0.000	0.000	0.492	3.472	73.866	13.676	7.682	subject6138cb306c555	1I
8166.000	9322.000	1192.000	169.445	45.797	0.000	0.000	0.492	3.293	26.311	7.474	6.054	subject6138cb306c555	1I
9394.000	9568.000	207.000	307.244	489.340	0.000	0.000	0.492	6.289	69.318	7.016	11.014	subject6138cb306c555	1I
9640.000	9817.000	207.000	200.589	213.567	0.000	0.000	0.492	2.055	8.118	3.356	2.416	subject6138cb306c555	1I
9876.000	9939.000	91.000	185.657	103.855	0.000	0.000	0.492	1.828	0.000	2.567	0.305	subject6138cb306c555	1I
9995.000	11335.000	1365.000	186.510	103.001	0.000	0.000	0.492	3.504	30.989	6.609	9.335	subject6138cb306c555	1I
11388.000	11496.000	135.000	176.271	40.674	0.000	0.000	0.492	2.107	2.301	3.203	0.636	subject6138cb306c555	1I
11547.000	11572.000	55.000	169.872	167.462	0.000	0.000	0.492	1.384	0.000	1.296	0.483	subject6138cb306c555	1I
11631.000	12816.000	1219.000	202.722	30.856	0.000	0.000	0.492	3.734	31.501	11.338	8.623	subject6138cb306c555	1I
12881.000	12959.000	115.000	328.148	630.642	0.000	0.000	0.492	6.133	62.758	5.974	5.596	subject6138cb306c555	1I
13033.000	13205.000	210.000	144.701	251.133	0.000	0.000	0.492	3.255	14.226	3.661	5.011	subject6138cb306c555	1I
13276.000	13575.000	332.000	197.176	491.048	0.000	0.000	0.492	3.655	22.429	5.745	4.909	subject6138cb306c555	1I
13644.000	14074.000	459.000	431.817	418.476	0.000	0.000	0.492	3.324	30.274	8.389	6.359	subject6138cb306c555	1I
14134.000	14274.000	168.000	109.718	241.315	0.000	0.000	0.492	5.161	22.752	4.703	11.701	subject6138cb306c555	1I
14330.000	15383.000	1080.000	142.142	92.329	0.000	0.000	0.492	3.723	42.569	10.194	12.159	subject6138cb306c555	1I
15436.000	15468.000	59.000	335.828	130.749	0.000	0.000	0.492	2.229	0.000	2.186	0.432	subject6138cb306c555	1I
15522.000	15678.000	184.000	229.172	-0.307	0.000	0.000	0.492	3.768	47.505	10.295	7.835	subject6138cb306c555	1I
15733.000	16122.000	425.000	455.282	435.979	0.000	0.000	0.492	3.861	37.948	7.296	7.377	subject6138cb306c555	1I
16189.000	16708.000	554.000	102.892	461.592	0.000	0.000	0.492	4.533	42.812	6.431	11.752	subject6138cb306c555	1I
16778.000	17044.000	297.000	97.773	155.082	0.000	0.000	0.492	4.708	38.404	4.932	10.048	subject6138cb306c555	1I
17107.000	17712.000	642.000	148.968	549.533	0.000	0.000	0.492	4.821	49.705	8.668	9.590	subject6138cb306c555	1I
17783.000	18253.000	497.000	108.865	302.361	0.000	0.000	0.492	4.289	69.063	7.779	13.863	subject6138cb306c555	1I
18306.000	19415.000	1136.000	93.080	130.322	0.000	0.000	0.492	3.575	26.231	7.931	8.114	subject6138cb306c555	1I
19470.000	21360.000	1923.000	137.022	272.905	0.000	0.000	0.492	4.299	58.156	9.939	15.059	subject6138cb306c555	1I
21425.000	21832.000	439.000	307.671	278.882	0.000	0.000	0.492	3.394	21.712	6.508	6.181	subject6138cb306c555	1I
21907.000	22477.000	598.000	126.783	209.725	0.000	0.000	0.492	4.533	37.267	6.711	8.852	subject6138cb306c555	1I
22529.000	22716.000	214.000	173.285	206.309	0.000	0.000	0.492	1.359	4.737	6.635	1.374	subject6138cb306c555	1I
22771.000	23164.000	422.000	177.978	347.185	0.000	0.000	0.492	3.471	20.037	5.898	6.766	subject6138cb306c555	1I
23221.000	23582.000	388.000	312.790	297.665	0.000	0.000	0.492	3.603	39.441	7.575	8.445	subject6138cb306c555	1I
23635.000	23998.000	390.000	25.247	310.472	0.000	0.000	0.492	4.283	33.779	7.372	8.063	subject6138cb306c555	1I
24085.000	24732.000	682.000	288.899	291.688	0.000	0.000	0.492	3.672	22.135	8.287	4.655	subject6138cb306c555	1I
24801.000	24940.000	183.000	110.572	558.070	0.000	0.000	0.492	2.032	6.594	2.517	2.340	subject6138cb306c555	1I
25021.000	25598.000	609.000	137.875	286.139	0.000	0.000	0.492	3.741	23.190	9.355	4.044	subject6138cb306c555	1I
25661.000	25755.000	126.000	237.705	245.584	0.000	0.000	0.492	1.400	0.754	2.364	0.331	subject6138cb306c555	1I
25823.000	26519.000	727.000	407.073	319.010	0.000	0.000	0.492	3.422	34.548	11.821	6.792	subject6138cb306c555	1I
26575.000	29221.000	2679.000	320.469	293.396	0.000	0.000	0.492	3.786	47.267	16.295	10.683	subject6138cb306c555	1I
29286.000	29419.000	170.000	474.906	372.798	0.000	0.000	0.492	4.916	36.050	5.999	5.749	subject6138cb306c555	1I
29494.000	29759.000	298.000	431.391	343.343	0.000	0.000	0.492	1.999	7.976	2.923	3.154	subject6138cb306c555	1I
29822.000	31227.000	1435.000	238.558	343.769	0.000	0.000	0.492	3.822	45.030	11.770	11.828	subject6138cb306c555	1I
31288.000	32181.000	949.000	1167.739	649.426	0.000	0.000	0.492	4.234	34.691	9.914	9.768	subject6138cb306c555	1I
32268.000	32900.000	664.000	429.684	292.542	0.000	0.000	0.492	4.294	42.900	9.177	9.310	subject6138cb306c555	1I
32965.000	33320.000	391.000	461.254	483.791	0.000	0.000	0.492	2.229	17.259	5.948	3.968	subject6138cb306c555	1I
33390.000	33555.000	200.000	742.398	1030.216	0.000	0.000	0.492	3.178	12.950	3.127	6.308	subject6138cb306c555	1I
33621.000	33893.000	308.000	601.186	980.696	0.000	0.000	0.492	4.718	37.701	7.321	6.741	subject6138cb306c555	1I
33968.000	35550.000	1609.000	1176.698	654.549	0.000	0.000	0.492	3.815	30.457	9.253	8.572	subject6138cb306c555	1I
35606.000	35883.000	303.000	1189.923	694.677	0.000	0.000	0.492	2.603	21.533	4.830	6.156	subject6138cb306c555	1I
35935.000	35995.000	94.000	1049.991	844.090	0.000	0.000	0.492	1.717	2.459	1.932	1.323	subject6138cb306c555	1I
36055.000	36320.000	295.000	1137.875	735.658	0.000	0.000	0.492	2.722	16.856	4.601	5.367	subject6138cb306c555	1I
36378.000	37144.000	799.000	516.715	557.217	0.000	0.000	0.492	4.618	90.849	14.007	18.747	subject6138cb306c555	1I
37207.000	38146.000	967.000	1170.299	734.805	0.000	0.000	0.492	4.216	32.058	10.448	7.707	subject6138cb306c555	1I
38209.000	38709.000	524.000	441.203	570.023	0.000	0.000	0.492	4.476	59.688	15.812	7.987	subject6138cb306c555	1I
38758.000	39030.000	300.000	1167.739	720.290	0.000	0.000	0.492	5.857	86.999	8.618	12.362	subject6138cb306c555	1I
39083.000	39237.000	179.000	318.763	581.123	0.000	0.000	0.492	4.415	42.308	10.677	4.655	subject6138cb306c555	1I
39288.000	39742.000	481.000	366.544	453.908	0.000	0.000	0.492	3.049	22.001	6.508	6.130	subject6138cb306c555	1I
39795.000	40256.000	489.000	470.640	1014.420	0.000	0.000	0.492	4.390	40.191	8.795	10.098	subject6138cb306c555	1I
40313.000	40590.000	319.000	890.009	970.450	0.000	0.000	0.492	4.015	26.684	5.542	5.850	subject6138cb306c555	1I
40661.000	41466.000	838.000	369.104	988.807	0.000	0.000	0.492	3.321	23.390	5.287	9.691	subject6138cb306c555	1I
41531.000	42400.000	896.000	1088.387	730.536	0.000	0.000	0.492	5.112	56.747	11.693	8.699	subject6138cb306c555	1I
42455.000	42908.000	479.000	938.217	698.092	0.000	0.000	0.492	3.402	26.118	8.719	5.774	subject6138cb306c555	1I
42960.000	43379.000	446.000	259.036	581.123	0.000	0.000	0.492	6.683	50.153	10.778	11.981	subject6138cb306c555	1I
43432.000	43531.000	124.000	353.746	575.146	0.000	0.000	0.492	1.599	3.653	3.254	0.992	subject6138cb306c555	1I
43584.000	43870.000	310.000	370.811	470.130	0.000	0.000	0.492	3.540	21.170	9.177	5.443	subject6138cb306c555	1I
43918.000	44487.000	634.000	398.541	380.909	0.000	0.000	0.492	3.971	31.080	8.490	9.386	subject6138cb306c555	1I
44587.000	44926.000	368.000	433.097	507.697	0.000	0.000	0.492	2.702	17.107	6.203	4.121	subject6138cb306c555	1I
44990.000	45386.000	427.000	78.148	575.146	0.000	0.000	0.492	3.704	21.320	6.787	5.240	subject6138cb306c555	1I
45448.000	46426.000	1003.000	1185.657	765.541	0.000	0.000	0.492	4.277	42.980	13.295	8.928	subject6138cb306c555	1I
46479.000	47044.000	593.000	1218.080	769.810	0.000	0.000	0.492	3.185	30.368	7.041	10.098	subject6138cb306c555	1I
47102.000	47250.000	173.000	1221.067	724.559	0.000	0.000	0.492	3.047	15.867	4.271	5.698	subject6138cb306c555	1I
47299.000	47913.000	639.000	1176.271	772.371	0.000	0.000	0.492	3.130	27.232	9.431	6.639	subject6138cb306c555	1I
47964.000	48138.000	199.000	1209.974	706.630	0.000	0.000	0.492	2.490	10.311	3.254	5.036	subject6138cb306c555	1I
48187.000	48405.000	251.000	1218.507	722.425	0.000	0.000	0.492	1.568	4.754	1.932	2.340	subject6138cb306c555	1I
48466.000	48773.000	342.000	351.186	506.843	0.000	0.000	0.492	9.003	120.732	10.956	22.537	subject6138cb306c555	1I
48836.000	50843.000	2033.000	201.869	263.513	0.000	0.000	0.492	3.497	84.994	14.159	15.109	subject6138cb306c555	1I
