FixStart	FixEnd	FixDur	XPos	YPos	FlankedByDataLoss	Fraction Interpolated	WeightCutoff	RMSxy	BCEA	FixRangeX	FixRangeY	Participant	Trial
1.000	337.000	380.000	1174.978	434.380	0.000	0.000	0.641	8.171	79.903	6.212	22.935	subject613a64a724765	10S
431.000	1625.000	1235.000	145.697	551.583	0.000	0.000	0.641	6.933	337.507	20.355	34.680	subject613a64a724765	10S
1704.000	2237.000	569.000	260.160	749.585	0.000	0.000	0.641	5.038	94.928	11.024	18.279	subject613a64a724765	10S
2311.000	3078.000	807.000	559.184	740.706	0.000	0.000	0.641	6.071	116.291	13.138	22.406	subject613a64a724765	10S
3160.000	3279.000	159.000	669.654	783.769	0.000	0.000	0.641	3.986	18.644	3.542	4.206	subject613a64a724765	10S
3359.000	4317.000	997.000	200.266	196.866	0.000	0.000	0.641	6.210	72.999	10.944	14.338	subject613a64a724765	10S
4394.000	5212.000	855.000	727.773	283.880	0.000	0.000	0.641	5.908	147.284	17.183	13.279	subject613a64a724765	10S
5288.000	6106.000	857.000	198.935	278.109	0.000	0.000	0.641	5.528	145.042	12.636	17.512	subject613a64a724765	10S
6182.000	6754.000	611.000	853.771	269.230	0.000	0.000	0.641	5.639	151.453	18.373	14.972	subject613a64a724765	10S
6830.000	7479.000	687.000	203.815	261.239	0.000	0.000	0.641	5.597	122.250	14.619	16.374	subject613a64a724765	10S
7555.000	8699.000	1182.000	243.301	295.867	0.000	0.000	0.641	5.906	100.852	13.694	17.168	subject613a64a724765	10S
8775.000	10260.000	1523.000	581.366	167.121	0.000	0.000	0.641	7.179	280.139	38.331	18.067	subject613a64a724765	10S
10336.000	11408.000	1114.000	732.209	304.746	0.000	0.000	0.641	5.541	198.821	22.444	18.570	subject613a64a724765	10S
11489.000	12247.000	796.000	86.247	341.150	0.000	0.000	0.641	4.215	66.240	12.557	12.645	subject613a64a724765	10S
12323.000	12398.000	114.000	-0.710	491.205	0.000	0.000	0.641	2.529	2.312	3.172	0.741	subject613a64a724765	10S
12480.000	12630.000	190.000	76.486	156.466	0.000	0.000	0.641	8.201	44.677	7.693	10.528	subject613a64a724765	10S
12707.000	13506.000	836.000	746.406	358.908	0.000	0.000	0.641	7.439	214.537	20.937	19.496	subject613a64a724765	10S
13579.000	13809.000	272.000	302.751	120.062	0.000	0.000	0.641	3.216	27.198	5.102	7.301	subject613a64a724765	10S
13889.000	13963.000	113.000	629.281	157.354	0.000	0.000	0.641	3.284	4.853	0.952	3.677	subject613a64a724765	10S
14040.000	14492.000	490.000	772.138	299.418	0.000	0.000	0.641	5.997	73.044	10.204	11.295	subject613a64a724765	10S
14568.000	14947.000	418.000	-363.620	241.705	0.000	0.000	0.641	5.958	99.488	9.279	11.798	subject613a64a724765	10S
15025.000	15103.000	116.000	-425.732	514.291	0.000	0.000	0.641	3.878	23.982	5.472	4.338	subject613a64a724765	10S
15177.000	15329.000	190.000	-140.018	322.504	0.000	0.000	0.641	6.299	33.763	10.098	10.740	subject613a64a724765	10S
15404.000	15947.000	584.000	587.578	342.926	0.000	0.000	0.641	5.748	117.882	12.927	15.025	subject613a64a724765	10S
16027.000	16901.000	909.000	297.427	236.377	0.000	0.000	0.641	4.992	109.019	16.549	12.433	subject613a64a724765	10S
16975.000	17205.000	267.000	159.006	23.281	0.000	0.000	0.641	3.473	31.985	5.419	6.216	subject613a64a724765	10S
17277.000	17843.000	604.000	69.388	574.668	0.000	0.000	0.641	6.004	103.985	10.786	17.089	subject613a64a724765	10S
17920.000	18148.000	269.000	340.018	586.211	0.000	0.000	0.641	3.864	28.528	5.261	10.237	subject613a64a724765	10S
18225.000	18378.000	193.000	515.705	282.548	0.000	0.000	0.641	4.009	45.058	4.970	7.909	subject613a64a724765	10S
18456.000	19059.000	646.000	112.866	119.174	0.000	0.000	0.641	4.960	96.842	15.095	10.714	subject613a64a724765	10S
19138.000	19327.000	231.000	598.669	375.778	0.000	0.000	0.641	7.777	24.373	3.225	14.126	subject613a64a724765	10S
19405.000	20492.000	1125.000	336.469	253.248	0.000	0.000	0.641	6.283	315.171	37.512	16.216	subject613a64a724765	10S
20570.000	20760.000	227.000	294.765	347.809	0.000	0.000	0.641	4.323	83.737	10.178	11.295	subject613a64a724765	10S
20835.000	21028.000	230.000	588.909	257.243	0.000	0.000	0.641	2.123	5.758	1.903	6.957	subject613a64a724765	10S
21104.000	21982.000	917.000	183.851	287.432	0.000	0.000	0.641	5.097	95.425	16.654	11.745	subject613a64a724765	10S
