FixStart	FixEnd	FixDur	XPos	YPos	FlankedByDataLoss	Fraction Interpolated	WeightCutoff	RMSxy	BCEA	FixRangeX	FixRangeY	Participant	Trial
69.000	53882.000	53897.000	317.558	472.602	1.000	0.000	0.802	6.090	210.595	40.186	33.343	subject613b07bd72077	10I
54205.000	151205.000	97090.000	375.698	355.297	0.000	0.000	0.802	6.191	324.253	68.215	39.923	subject613b07bd72077	10I
68.000	14481.000	14484.000	440.180	253.844	0.000	0.000	0.823	8.093	628.228	41.918	38.506	subject613b07bd72077	10S
1.000	47752.000	47822.000	437.008	345.258	0.000	0.000	0.802	8.841	564.908	50.610	40.490	subject613b07bd72077	12S
1.000	1.000	95.000	939.123	688.190	0.000	0.000	0.785	NaN	NaN	0.000	0.000	subject613b07bd72077	13I
178.000	106447.000	106354.000	573.901	496.380	0.000	0.000	0.785	8.738	609.158	53.791	44.646	subject613b07bd72077	13I
65.000	15569.000	15588.000	738.805	254.373	0.000	0.000	0.786	9.552	540.883	39.367	38.601	subject613b07bd72077	15S
1.000	78101.000	78185.000	279.503	338.388	0.000	0.000	0.794	5.695	365.185	43.713	41.214	subject613b07bd72077	1I
1.000	1.000	72.000	695.994	525.443	0.000	0.000	0.816	NaN	NaN	0.000	0.000	subject613b07bd72077	1S
152.000	24902.000	24830.000	453.393	248.032	0.000	0.000	0.816	7.277	457.986	46.012	31.454	subject613b07bd72077	1S
1.000	1.000	77.000	160.053	287.662	0.000	0.000	0.791	NaN	NaN	0.000	0.000	subject613b07bd72077	2I
151.000	125385.000	125310.000	430.137	464.148	0.000	0.000	0.791	5.367	220.728	43.115	32.619	subject613b07bd72077	2I
393190.000	412113.000	18996.000	531.532	410.200	0.000	0.000	0.799	5.718	632.252	35.040	31.605	subject613b07bd72077	2V
747961.000	766681.000	18799.000	490.505	411.782	0.000	0.000	0.795	6.976	676.819	34.524	31.197	subject613b07bd72077	3V
996421.000	1015912.000	19588.000	497.343	414.418	0.000	0.000	0.779	5.890	557.743	33.845	29.312	subject613b07bd72077	4V
1.000	1.000	84.000	938.066	171.413	0.000	0.000	0.800	NaN	NaN	0.000	0.000	subject613b07bd72077	5I
165.000	104156.000	104064.000	476.121	229.538	0.000	0.000	0.800	7.995	411.284	66.199	44.709	subject613b07bd72077	5I
1212432.000	1231476.000	19123.000	529.253	506.160	0.000	0.000	0.820	5.613	552.112	36.208	30.003	subject613b07bd72077	5V
82.000	27296.000	27263.000	276.332	294.531	0.000	0.000	0.809	6.058	406.909	43.650	35.515	subject613b07bd72077	6I
85.000	27146.000	27136.000	465.550	202.061	0.000	0.000	0.823	7.543	475.343	48.405	36.995	subject613b07bd72077	8S
1.000	15119.000	15199.000	444.408	214.742	0.000	0.000	0.818	7.581	571.584	43.618	35.421	subject613b07bd72077	9S
