FixStart	FixEnd	FixDur	XPos	YPos	FlankedByDataLoss	Fraction Interpolated	WeightCutoff	RMSxy	BCEA	FixRangeX	FixRangeY	Participant	Trial
1.000	46730.000	46804.000	438.661	231.165	0.000	0.000	0.802	4.279	362.291	37.394	22.470	subject613b1941daede	11S
1.000	49806.000	49871.000	493.581	429.734	0.000	0.000	0.788	4.310	244.285	39.712	27.483	subject613b1941daede	12I
1.000	66646.000	66711.000	470.698	424.011	0.000	0.000	0.795	4.028	199.058	37.360	24.823	subject613b1941daede	14I
1.000	67797.000	67862.000	515.320	326.730	0.000	0.000	0.800	4.404	309.999	39.474	27.892	subject613b1941daede	14S
106.000	36271.000	36239.000	391.751	556.773	0.000	0.000	0.806	3.481	204.150	43.121	24.243	subject613b1941daede	15I
1.000	53695.000	53763.000	397.471	419.433	0.000	0.000	0.788	4.734	213.964	37.360	24.073	subject613b1941daede	15S
383.000	156801.000	156481.000	523.330	601.408	0.000	0.000	0.799	3.267	118.911	34.736	23.698	subject613b1941daede	2I
443703.000	460853.000	17212.000	578.435	389.750	0.000	0.000	0.787	4.612	560.506	27.796	26.454	subject613b1941daede	2V
1.000	35435.000	35504.000	502.735	321.579	0.000	0.000	0.791	4.479	266.035	42.167	24.346	subject613b1941daede	3S
682497.000	699778.000	17348.000	574.383	425.701	0.000	0.000	0.812	5.689	673.832	29.819	28.120	subject613b1941daede	3V
186.000	47499.000	47363.000	352.849	326.157	0.000	0.000	0.813	3.860	286.246	43.871	27.312	subject613b1941daede	4S
902969.000	920277.000	17375.000	483.211	491.896	0.000	0.000	0.778	4.849	651.365	27.676	28.664	subject613b1941daede	4V
1211913.000	1229176.000	17330.000	528.797	526.705	0.000	0.000	0.763	4.862	686.804	28.279	29.956	subject613b1941daede	5V
1.000	1.000	107.000	223.558	300.406	0.000	0.000	0.809	NaN	NaN	0.000	0.000	subject613b1941daede	6I
173.000	47728.000	47629.000	489.005	485.814	0.000	0.000	0.809	3.444	124.850	33.781	18.924	subject613b1941daede	6I
1.000	76593.000	76663.000	500.446	476.658	0.000	0.000	0.806	5.014	374.030	44.962	32.188	subject613b1941daede	8S
292.000	34918.000	34694.000	367.151	168.790	0.000	0.000	0.818	4.476	189.756	29.963	29.188	subject613b1941daede	9I
