FixStart	FixEnd	FixDur	XPos	YPos	FlankedByDataLoss	Fraction Interpolated	WeightCutoff	RMSxy	BCEA	FixRangeX	FixRangeY	Participant	Trial
53.000	688.000	668.000	-117.148	356.375	0.000	0.000	0.518	5.918	75.179	14.140	9.940	subject613b2fcc43437	10S
754.000	854.000	134.000	282.390	158.395	0.000	0.000	0.518	5.418	36.724	3.096	8.323	subject613b2fcc43437	10S
921.000	1090.000	203.000	1170.958	335.019	0.000	0.000	0.518	5.725	68.225	16.273	4.677	subject613b2fcc43437	10S
1155.000	1388.000	266.000	959.065	215.538	0.000	0.000	0.518	4.079	54.905	9.736	7.566	subject613b2fcc43437	10S
1455.000	3092.000	1670.000	91.859	521.455	0.000	0.000	0.518	9.387	320.144	28.348	30.231	subject613b2fcc43437	10S
3157.000	3190.000	68.000	308.949	512.219	0.000	0.000	0.518	2.031	0.000	0.963	1.788	subject613b2fcc43437	10S
3257.000	3657.000	434.000	-57.102	437.183	0.000	0.000	0.518	6.259	108.671	12.179	15.374	subject613b2fcc43437	10S
3750.000	4326.000	612.000	240.820	170.517	0.000	0.000	0.518	5.416	48.077	13.142	7.188	subject613b2fcc43437	10S
4396.000	4492.000	129.000	230.427	113.374	0.000	0.000	0.518	2.060	4.873	1.342	2.751	subject613b2fcc43437	10S
4583.000	4783.000	242.000	308.949	242.089	0.000	0.000	0.518	4.686	37.535	5.676	7.085	subject613b2fcc43437	10S
4859.000	6240.000	1463.000	375.924	239.781	0.000	0.000	0.518	8.855	199.835	37.877	18.091	subject613b2fcc43437	10S
6356.000	8428.000	2107.000	-179.503	444.110	0.000	0.000	0.518	5.040	69.731	20.538	9.424	subject613b2fcc43437	10S
8497.000	9363.000	899.000	-166.801	439.492	0.000	0.000	0.518	5.412	63.721	13.761	10.765	subject613b2fcc43437	10S
9429.000	11098.000	1702.000	222.344	289.420	0.000	0.000	0.518	5.780	102.416	28.830	14.926	subject613b2fcc43437	10S
11164.000	11598.000	467.000	459.065	192.450	0.000	0.000	0.518	5.058	46.148	13.451	6.982	subject613b2fcc43437	10S
11666.000	12132.000	500.000	-264.954	329.824	0.000	0.000	0.518	5.581	55.640	15.137	8.014	subject613b2fcc43437	10S
12199.000	12299.000	133.000	-18.418	-92.110	0.000	0.000	0.518	9.425	73.807	13.004	3.990	subject613b2fcc43437	10S
12367.000	16270.000	3951.000	145.554	418.713	0.000	0.000	0.518	7.699	203.646	31.995	22.115	subject613b2fcc43437	10S
16351.000	16703.000	386.000	-356.178	464.889	0.000	0.000	0.518	5.090	65.124	12.144	8.495	subject613b2fcc43437	10S
16839.000	16912.000	103.000	-199.134	602.263	0.000	0.000	0.518	2.809	10.691	2.924	2.614	subject613b2fcc43437	10S
16970.000	17504.000	567.000	-211.836	489.131	0.000	0.000	0.518	4.584	50.025	11.628	7.394	subject613b2fcc43437	10S
17571.000	17704.000	167.000	24.885	-128.473	0.000	0.000	0.518	7.391	57.095	8.532	11.040	subject613b2fcc43437	10S
17771.000	17904.000	167.000	-267.263	374.846	0.000	0.000	0.518	1.995	10.744	3.784	2.373	subject613b2fcc43437	10S
17971.000	18141.000	202.000	-143.129	306.159	0.000	0.000	0.518	2.528	17.701	5.436	3.852	subject613b2fcc43437	10S
18207.000	20074.000	1900.000	125.346	356.375	0.000	0.000	0.518	5.499	84.449	25.252	10.937	subject613b2fcc43437	10S
20140.000	21982.000	1875.000	199.827	345.986	0.000	0.000	0.518	7.388	190.194	34.128	11.522	subject613b2fcc43437	10S
22045.000	23215.000	1202.000	-188.741	516.837	0.000	0.000	0.518	5.430	50.570	14.208	11.143	subject613b2fcc43437	10S
