FixStart	FixEnd	FixDur	XPos	YPos	FlankedByDataLoss	Fraction Interpolated	WeightCutoff	RMSxy	BCEA	FixRangeX	FixRangeY	Participant	Trial
1.000	252.000	303.000	1085.601	403.382	0.000	0.000	0.711	4.826	27.022	5.573	5.443	subject613b3bb9e825a	12I
354.000	404.000	100.000	789.683	429.481	0.000	0.000	0.711	0.952	0.000	0.101	0.947	subject613b3bb9e825a	12I
493.000	655.000	200.000	350.340	205.935	0.000	0.000	0.711	4.154	31.421	4.560	6.119	subject613b3bb9e825a	12I
733.000	1266.000	568.000	250.567	342.105	0.000	0.000	0.711	4.664	46.789	9.188	9.094	subject613b3bb9e825a	12I
1354.000	1637.000	325.000	582.766	196.857	0.000	0.000	0.711	3.420	38.002	8.918	8.689	subject613b3bb9e825a	12I
1714.000	4164.000	2487.000	342.971	214.445	0.000	0.000	0.711	4.971	64.902	13.951	15.349	subject613b3bb9e825a	12I
4254.000	4574.000	357.000	481.859	357.991	0.000	0.000	0.711	3.924	29.711	8.310	4.801	subject613b3bb9e825a	12I
4649.000	5182.000	572.000	616.780	390.899	0.000	0.000	0.711	6.515	67.160	9.424	11.224	subject613b3bb9e825a	12I
5270.000	5821.000	596.000	394.558	365.935	0.000	0.000	0.711	5.146	64.657	8.006	16.126	subject613b3bb9e825a	12I
5920.000	6821.000	950.000	558.957	319.410	0.000	0.000	0.711	3.415	33.214	9.796	8.215	subject613b3bb9e825a	12I
6906.000	7304.000	438.000	501.134	439.694	0.000	0.000	0.711	4.319	57.521	8.107	11.664	subject613b3bb9e825a	12I
7378.000	7512.000	173.000	116.213	580.403	0.000	0.000	0.711	3.372	18.359	2.669	4.868	subject613b3bb9e825a	12I
7602.000	9027.000	1483.000	437.642	445.367	0.000	0.000	0.711	3.521	79.172	18.680	11.697	subject613b3bb9e825a	12I
9135.000	9913.000	816.000	595.805	456.148	0.000	0.000	0.711	4.940	91.159	21.483	9.297	subject613b3bb9e825a	12I
9993.000	10130.000	176.000	408.730	211.609	0.000	0.000	0.711	2.424	6.960	3.783	3.279	subject613b3bb9e825a	12I
10207.000	10531.000	362.000	557.823	246.218	0.000	0.000	0.711	1.582	9.852	3.817	3.854	subject613b3bb9e825a	12I
10606.000	11835.000	1272.000	342.404	171.325	0.000	0.000	0.711	5.603	62.503	9.559	16.802	subject613b3bb9e825a	12I
11930.000	13036.000	1142.000	357.710	176.431	0.000	0.000	0.711	4.632	40.716	10.404	10.277	subject613b3bb9e825a	12I
13130.000	13536.000	438.000	321.995	115.722	0.000	0.000	0.711	4.705	51.087	12.532	6.829	subject613b3bb9e825a	12I
13603.000	13994.000	429.000	756.236	36.857	0.000	0.000	0.711	2.104	7.872	3.783	3.516	subject613b3bb9e825a	12I
14068.000	15658.000	1624.000	365.079	183.240	0.000	0.000	0.711	4.021	55.047	13.511	13.185	subject613b3bb9e825a	12I
