FixStart	FixEnd	FixDur	XPos	YPos	FlankedByDataLoss	Fraction Interpolated	WeightCutoff	RMSxy	BCEA	FixRangeX	FixRangeY	Participant	Trial
1.000	139974.000	140037.000	419.689	278.315	0.000	0.000	0.788	5.863	276.621	44.689	42.984	subject613b470171f0f	10I
1.000	56167.000	56228.000	528.497	394.946	0.000	0.000	0.792	6.213	463.317	49.500	37.965	subject613b470171f0f	12I
1.000	38271.000	38346.000	552.677	272.700	0.000	0.000	0.800	7.227	539.524	50.066	52.919	subject613b470171f0f	12S
1.000	44793.000	44854.000	526.770	394.514	0.000	0.000	0.783	4.955	259.668	40.907	30.810	subject613b470171f0f	14I
1.000	97055.000	97130.000	358.377	350.454	0.000	0.000	0.789	5.230	385.925	44.509	32.174	subject613b470171f0f	15I
75.000	36171.000	36157.000	629.534	120.648	0.000	0.000	0.810	7.708	479.420	47.391	56.214	subject613b470171f0f	15S
347282.000	366217.000	18999.000	631.365	400.481	0.000	0.000	0.805	5.529	747.263	33.999	32.802	subject613b470171f0f	2V
1.000	21318.000	21379.000	711.140	270.108	0.000	0.000	0.777	5.544	255.366	37.640	35.082	subject613b470171f0f	3I
1.000	29287.000	29367.000	525.043	207.905	0.000	0.000	0.796	6.089	396.867	43.660	38.892	subject613b470171f0f	3S
637194.000	656468.000	19335.000	639.723	369.442	0.000	0.000	0.790	5.050	611.225	33.229	31.518	subject613b470171f0f	3V
849173.000	849173.000	110.000	1090.264	642.321	0.000	0.000	0.804	NaN	NaN	0.000	0.000	subject613b470171f0f	4V
849380.000	868684.000	19369.000	655.298	384.962	0.000	0.000	0.804	6.221	644.089	34.474	30.233	subject613b470171f0f	4V
1090566.000	1110235.000	19747.000	623.008	374.184	0.000	0.000	0.752	6.115	681.065	36.081	28.461	subject613b470171f0f	5V
1.000	1.000	71.000	982.729	549.158	0.000	0.000	0.783	NaN	NaN	0.000	0.000	subject613b470171f0f	6I
141.000	32826.000	32746.000	348.877	326.263	0.000	0.004	0.783	6.553	480.542	44.329	54.000	subject613b470171f0f	6I
62.000	33827.000	33829.000	620.898	220.864	0.000	0.000	0.803	6.440	319.497	45.641	33.744	subject613b470171f0f	6S
70.000	17432.000	17423.000	649.396	227.343	0.000	0.000	0.806	6.700	504.503	43.351	30.526	subject613b470171f0f	7S
79.000	32791.000	32772.000	481.865	254.989	0.000	0.000	0.801	6.450	478.173	51.404	38.583	subject613b470171f0f	8S
