FixStart	FixEnd	FixDur	XPos	YPos	FlankedByDataLoss	Fraction Interpolated	WeightCutoff	RMSxy	BCEA	FixRangeX	FixRangeY	Participant	Trial
1.000	323.000	359.000	1132.478	556.742	0.000	0.000	0.611	2.776	6.949	7.182	2.161	subject613b769da5ed2	13I
400.000	795.000	431.000	192.187	-45.211	0.000	0.000	0.611	4.985	133.411	15.628	17.452	subject613b769da5ed2	13I
883.000	3721.000	2882.000	279.799	-6.159	0.000	0.000	0.611	4.327	77.100	11.339	29.120	subject613b769da5ed2	13I
3799.000	4454.000	690.000	112.946	447.397	0.000	0.000	0.611	3.462	31.109	8.346	6.781	subject613b769da5ed2	13I
4524.000	4989.000	506.000	247.991	343.074	0.000	0.000	0.611	2.567	19.512	5.952	6.748	subject613b769da5ed2	13I
5084.000	5593.000	550.000	250.781	551.721	0.000	0.000	0.611	2.353	15.420	6.251	4.122	subject613b769da5ed2	13I
5683.000	6239.000	594.000	424.330	540.563	0.000	0.000	0.611	4.339	36.408	10.075	6.748	subject613b769da5ed2	13I
6318.000	6805.000	532.000	228.460	584.636	0.000	0.000	0.611	3.701	32.310	12.004	3.291	subject613b769da5ed2	13I
6901.000	7839.000	979.000	262.500	84.218	0.000	0.000	0.611	9.617	98.196	8.279	34.438	subject613b769da5ed2	13I
7933.000	10016.000	2118.000	417.634	84.218	0.000	0.000	0.611	4.853	43.964	15.694	9.108	subject613b769da5ed2	13I
10100.000	11615.000	1566.000	439.955	107.649	0.000	0.000	0.611	4.322	48.615	15.894	8.410	subject613b769da5ed2	13I
11716.000	12423.000	745.000	695.536	70.828	0.000	0.000	0.611	3.395	30.565	6.916	9.441	subject613b769da5ed2	13I
12500.000	14753.000	2302.000	368.527	138.890	0.000	0.000	0.611	3.662	43.468	11.871	9.740	subject613b769da5ed2	13I
14838.000	16333.000	1546.000	376.339	178.499	0.000	0.000	0.611	3.357	26.571	10.940	5.651	subject613b769da5ed2	13I
16426.000	17367.000	973.000	307.143	224.803	0.000	0.000	0.611	7.522	151.451	17.091	34.837	subject613b769da5ed2	13I
17433.000	17933.000	536.000	302.121	542.237	0.000	0.000	0.611	5.587	81.899	13.866	11.003	subject613b769da5ed2	13I
18003.000	18084.000	131.000	236.830	615.319	0.000	0.000	0.611	2.274	5.715	0.798	3.623	subject613b769da5ed2	13I
18170.000	19000.000	886.000	307.143	450.745	0.000	0.000	0.611	4.099	51.844	12.569	7.446	subject613b769da5ed2	13I
19091.000	19134.000	82.000	375.781	-562.365	0.000	0.000	0.611	12.820	0.000	9.676	8.410	subject613b769da5ed2	13I
19217.000	19321.000	142.000	110.156	788.262	0.000	0.000	0.611	4.237	30.078	5.187	8.743	subject613b769da5ed2	13I
19393.000	21095.000	1740.000	340.625	495.933	0.000	0.000	0.611	4.068	41.895	13.633	8.144	subject613b769da5ed2	13I
21169.000	21986.000	850.000	195.536	465.808	0.000	0.000	0.611	3.305	28.297	8.712	5.585	subject613b769da5ed2	13I
22055.000	23605.000	1587.000	183.259	469.155	0.000	0.000	0.611	3.648	31.444	12.303	6.249	subject613b769da5ed2	13I
