FixStart	FixEnd	FixDur	XPos	YPos	FlankedByDataLoss	Fraction Interpolated	WeightCutoff	RMSxy	BCEA	FixRangeX	FixRangeY	Participant	Trial
1.000	1.000	76.000	630.700	386.458	0.000	0.000	0.813	NaN	NaN	0.000	0.000	subject613ca72cea46f	10S
140.000	88915.000	88858.000	344.459	389.530	0.000	0.000	0.813	3.823	296.506	41.395	27.276	subject613ca72cea46f	10S
95.000	161555.000	161516.000	503.550	321.942	0.000	0.000	0.807	4.053	355.974	44.945	25.701	subject613ca72cea46f	12S
1.000	233091.000	233158.000	437.826	510.575	0.000	0.000	0.808	3.732	284.873	55.669	41.811	subject613ca72cea46f	13I
1.000	102869.000	102931.000	483.894	394.445	0.000	0.000	0.801	4.426	272.401	45.751	34.891	subject613ca72cea46f	14I
1.000	42236.000	42317.000	480.823	295.521	0.000	0.000	0.807	5.255	466.215	48.130	27.715	subject613ca72cea46f	14S
72.000	125648.000	125642.000	370.258	455.275	0.000	0.000	0.813	3.585	172.001	39.199	32.109	subject613ca72cea46f	15I
64.000	190929.000	190929.000	518.907	423.324	0.000	0.000	0.808	4.030	322.783	45.824	29.619	subject613ca72cea46f	1S
1.000	1.000	71.000	365.344	495.828	0.000	0.000	0.803	NaN	NaN	0.000	0.000	subject613ca72cea46f	2I
156.000	233278.000	233178.000	568.047	441.757	0.000	0.000	0.803	4.223	272.443	55.779	30.424	subject613ca72cea46f	2I
1.000	26906.000	26989.000	520.135	387.687	0.000	0.000	0.803	4.516	422.831	51.753	30.790	subject613ca72cea46f	2S
628692.000	646025.000	17401.000	432.053	472.365	0.000	0.000	0.826	5.505	650.953	33.138	29.862	subject613ca72cea46f	2V
969330.000	986612.000	17344.000	499.419	453.373	0.000	0.000	0.815	4.899	451.557	28.279	25.226	subject613ca72cea46f	3V
1240762.000	1240762.000	61.000	272.503	414.162	0.000	0.000	0.791	NaN	NaN	0.000	0.000	subject613ca72cea46f	4V
1240884.000	1257997.000	17175.000	595.656	401.296	0.000	0.000	0.791	4.787	596.783	29.305	28.110	subject613ca72cea46f	4V
81.000	103021.000	103023.000	512.764	189.837	0.000	0.000	0.803	4.274	262.057	42.457	26.836	subject613ca72cea46f	5I
1979165.000	1996419.000	17323.000	478.146	408.035	0.000	0.000	0.858	5.225	574.309	38.480	28.037	subject613ca72cea46f	5V
1.000	1.000	83.000	16.450	304.123	0.000	0.000	0.804	NaN	NaN	0.000	0.000	subject613ca72cea46f	6S
143.000	27970.000	27905.000	442.125	162.802	0.000	0.000	0.804	4.458	401.544	40.700	29.399	subject613ca72cea46f	6S
1.000	1.000	104.000	-52.346	-95.263	0.000	0.000	0.791	NaN	NaN	0.000	0.000	subject613ca72cea46f	9I
165.000	108102.000	108021.000	437.826	122.249	0.000	0.000	0.791	4.790	264.791	50.069	30.790	subject613ca72cea46f	9I
