FixStart	FixEnd	FixDur	XPos	YPos	FlankedByDataLoss	Fraction Interpolated	WeightCutoff	RMSxy	BCEA	FixRangeX	FixRangeY	Participant	Trial
81.000	177.000	119.000	600.000	178.817	0.000	0.000	0.466	1.143	5.230	1.916	2.322	subject613f09a7c7e21	12I
219.000	634.000	436.000	353.762	128.903	0.000	0.000	0.466	3.897	48.358	9.741	8.515	subject613f09a7c7e21	12I
747.000	1414.000	700.000	173.187	22.920	0.000	0.000	0.466	3.009	20.835	10.800	6.315	subject613f09a7c7e21	12I
1480.000	2256.000	803.000	218.331	456.424	0.000	0.000	0.466	3.630	35.276	13.816	6.804	subject613f09a7c7e21	12I
2304.000	3273.000	992.000	436.525	522.749	0.000	0.000	0.466	4.164	51.659	15.365	7.863	subject613f09a7c7e21	12I
3318.000	3362.000	66.000	141.724	381.210	0.000	0.000	0.466	3.099	0.000	0.448	4.359	subject613f09a7c7e21	12I
3408.000	3472.000	85.000	311.354	456.424	0.000	0.000	0.466	3.257	16.464	3.790	3.341	subject613f09a7c7e21	12I
3518.000	3679.000	182.000	279.891	427.706	0.000	0.000	0.466	3.889	32.046	7.132	5.011	subject613f09a7c7e21	12I
3725.000	3870.000	168.000	498.769	340.185	0.000	0.000	0.466	4.192	33.859	7.703	5.419	subject613f09a7c7e21	12I
3917.000	4585.000	692.000	766.895	332.663	0.000	0.000	0.466	5.654	137.423	16.995	21.471	subject613f09a7c7e21	12I
4632.000	4750.000	144.000	842.134	385.997	0.000	0.000	0.466	3.003	13.372	5.584	3.952	subject613f09a7c7e21	12I
4799.000	5692.000	913.000	729.275	456.424	0.000	0.000	0.466	6.064	158.385	23.068	15.849	subject613f09a7c7e21	12I
5737.000	6020.000	304.000	405.062	484.458	0.000	0.000	0.466	3.816	31.310	7.336	8.800	subject613f09a7c7e21	12I
6064.000	7026.000	983.000	361.970	467.364	0.000	0.000	0.466	3.325	45.505	12.920	10.308	subject613f09a7c7e21	12I
7070.000	7184.000	139.000	517.921	366.168	0.000	0.000	0.466	2.302	10.353	3.750	2.893	subject613f09a7c7e21	12I
7278.000	7396.000	141.000	474.829	267.706	0.000	0.000	0.466	1.993	10.368	4.035	2.445	subject613f09a7c7e21	12I
7445.000	8003.000	581.000	372.914	486.509	0.000	0.000	0.466	5.476	75.947	14.265	11.367	subject613f09a7c7e21	12I
8047.000	8142.000	119.000	215.595	427.706	0.000	0.000	0.466	3.559	9.909	3.424	4.767	subject613f09a7c7e21	12I
8188.000	9094.000	929.000	573.324	458.475	0.000	0.000	0.466	4.915	77.839	19.726	9.493	subject613f09a7c7e21	12I
9140.000	9320.000	208.000	379.754	408.561	0.000	0.000	0.466	3.427	26.868	4.972	7.252	subject613f09a7c7e21	12I
9370.000	10152.000	804.000	479.617	379.159	0.000	0.000	0.466	3.708	41.549	9.252	14.993	subject613f09a7c7e21	12I
10197.000	10404.000	229.000	355.130	640.356	0.000	0.000	0.466	3.286	18.126	7.214	3.830	subject613f09a7c7e21	12I
10451.000	11105.000	678.000	249.795	479.672	0.000	0.000	0.466	3.653	54.474	13.083	11.530	subject613f09a7c7e21	12I
11160.000	11321.000	184.000	156.772	223.945	0.000	0.000	0.466	3.124	24.121	4.646	6.397	subject613f09a7c7e21	12I
11368.000	11452.000	107.000	377.018	271.809	0.000	0.000	0.466	2.331	6.981	1.304	3.952	subject613f09a7c7e21	12I
11494.000	11582.000	115.000	476.881	548.048	0.000	0.000	0.466	8.267	37.702	12.145	6.030	subject613f09a7c7e21	12I
11629.000	11715.000	109.000	353.762	144.629	0.000	0.000	0.466	5.020	19.398	3.831	6.071	subject613f09a7c7e21	12I
11760.000	11781.000	49.000	716.279	275.911	0.000	0.000	0.466	0.000	NaN	0.000	0.000	subject613f09a7c7e21	12I
11837.000	12254.000	438.000	372.914	282.749	0.000	0.000	0.466	2.832	24.730	7.132	7.782	subject613f09a7c7e21	12I
12297.000	12959.000	686.000	565.800	359.330	0.000	0.000	0.466	3.172	28.527	8.437	6.519	subject613f09a7c7e21	12I
13018.000	13393.000	397.000	607.524	391.467	0.000	0.000	0.466	2.882	38.455	9.618	7.823	subject613f09a7c7e21	12I
13437.000	13554.000	138.000	638.304	414.031	0.000	0.000	0.466	2.481	3.264	3.057	2.322	subject613f09a7c7e21	12I
13603.000	13832.000	254.000	454.993	336.082	0.000	0.000	0.466	3.211	20.600	6.358	3.545	subject613f09a7c7e21	12I
13892.000	14177.000	307.000	474.145	567.193	0.000	0.000	0.466	3.448	43.498	6.684	9.941	subject613f09a7c7e21	12I
14221.000	14373.000	171.000	403.010	488.561	0.000	0.000	0.466	2.311	8.868	3.750	3.096	subject613f09a7c7e21	12I
14414.000	14763.000	374.000	569.904	345.655	0.000	0.000	0.466	3.213	21.688	6.113	5.337	subject613f09a7c7e21	12I
14815.000	15359.000	570.000	617.784	403.091	0.000	0.000	0.466	3.707	57.752	8.926	11.204	subject613f09a7c7e21	12I
15409.000	15481.000	103.000	449.521	269.074	0.000	0.000	0.466	1.621	4.584	2.364	2.200	subject613f09a7c7e21	12I
15544.000	16562.000	1041.000	494.665	393.518	0.000	0.000	0.466	3.528	69.841	12.064	14.097	subject613f09a7c7e21	12I
16606.000	17466.000	886.000	546.648	264.971	0.000	0.000	0.466	3.122	36.232	7.866	10.960	subject613f09a7c7e21	12I
17525.000	17879.000	376.000	467.305	203.432	0.000	0.000	0.466	4.047	32.828	13.083	5.337	subject613f09a7c7e21	12I
17921.000	18432.000	534.000	331.874	88.561	0.000	0.000	0.466	3.685	41.149	10.760	7.415	subject613f09a7c7e21	12I
18477.000	18574.000	119.000	366.074	171.979	0.000	0.000	0.466	0.967	0.207	1.223	1.507	subject613f09a7c7e21	12I
18618.000	19503.000	906.000	383.174	154.885	0.000	0.000	0.466	3.762	47.508	16.588	6.926	subject613f09a7c7e21	12I
19547.000	19707.000	186.000	667.031	174.715	0.000	0.000	0.466	3.453	23.655	7.010	4.074	subject613f09a7c7e21	12I
19759.000	20261.000	524.000	320.930	217.108	0.000	0.000	0.466	2.949	17.730	7.907	4.482	subject613f09a7c7e21	12I
20305.000	20411.000	131.000	163.611	252.663	0.000	0.000	0.466	2.131	9.558	3.953	2.322	subject613f09a7c7e21	12I
20459.000	20816.000	380.000	411.218	269.074	0.000	0.000	0.466	4.910	48.090	10.189	10.797	subject613f09a7c7e21	12I
20860.000	21339.000	502.000	460.465	106.338	0.000	0.000	0.466	3.849	54.522	13.694	12.223	subject613f09a7c7e21	12I
21390.000	21796.000	429.000	141.724	-30.414	0.000	0.000	0.466	4.528	46.886	7.662	13.526	subject613f09a7c7e21	12I
21843.000	22176.000	355.000	590.424	91.296	0.000	0.000	0.466	3.995	41.795	12.553	8.393	subject613f09a7c7e21	12I
22221.000	22333.000	137.000	376.334	100.868	0.000	0.000	0.466	3.133	24.930	4.076	7.415	subject613f09a7c7e21	12I
22384.000	22628.000	266.000	505.609	511.125	0.000	0.000	0.466	4.370	36.181	5.461	12.223	subject613f09a7c7e21	12I
22674.000	22810.000	159.000	364.706	264.971	0.000	0.000	0.466	2.203	6.771	3.994	2.526	subject613f09a7c7e21	12I
22854.000	22985.000	154.000	233.379	113.176	0.000	0.000	0.466	4.745	31.873	9.945	3.463	subject613f09a7c7e21	12I
23047.000	23618.000	594.000	498.769	166.509	0.000	0.000	0.466	5.658	72.076	14.876	10.104	subject613f09a7c7e21	12I
23664.000	23728.000	86.000	709.439	284.116	0.000	0.000	0.466	2.691	9.123	2.812	2.689	subject613f09a7c7e21	12I
23777.000	24662.000	908.000	400.274	316.937	0.000	0.000	0.466	3.687	38.534	12.594	7.293	subject613f09a7c7e21	12I
24714.000	25774.000	1081.000	502.189	349.074	0.000	0.000	0.466	5.142	65.526	13.694	10.715	subject613f09a7c7e21	12I
25819.000	26222.000	428.000	289.466	302.578	0.000	0.000	0.466	4.588	48.525	10.189	10.674	subject613f09a7c7e21	12I
26269.000	26396.000	150.000	380.438	18.133	0.000	0.000	0.466	4.722	28.558	5.543	6.315	subject613f09a7c7e21	12I
26439.000	26547.000	130.000	28.181	-59.132	0.000	0.000	0.466	2.497	12.429	3.709	4.033	subject613f09a7c7e21	12I
26588.000	26841.000	276.000	100.684	-152.807	0.000	0.000	0.466	3.391	32.972	6.032	8.963	subject613f09a7c7e21	12I
26886.000	27134.000	267.000	389.330	68.048	0.000	0.000	0.466	4.301	35.181	8.722	5.989	subject613f09a7c7e21	12I
27174.000	27401.000	250.000	292.202	128.219	0.000	0.000	0.466	4.460	39.783	6.358	8.678	subject613f09a7c7e21	12I
27445.000	27519.000	96.000	202.599	132.321	0.000	0.000	0.466	2.099	0.042	3.627	0.122	subject613f09a7c7e21	12I
27565.000	28143.000	602.000	266.211	152.834	0.000	0.000	0.466	3.288	29.241	8.477	9.289	subject613f09a7c7e21	12I
28192.000	28388.000	220.000	377.018	202.065	0.000	0.000	0.466	2.920	17.308	5.421	4.522	subject613f09a7c7e21	12I
28437.000	30576.000	2161.000	309.302	85.826	0.000	0.000	0.466	3.652	49.257	15.284	9.982	subject613f09a7c7e21	12I
30620.000	31068.000	470.000	200.547	152.834	0.000	0.000	0.466	2.974	42.527	14.998	5.622	subject613f09a7c7e21	12I
31114.000	32235.000	1143.000	266.211	135.056	0.000	0.000	0.466	3.565	51.774	13.898	10.715	subject613f09a7c7e21	12I
32278.000	32744.000	487.000	232.011	161.039	0.000	0.000	0.466	4.258	35.887	10.067	8.026	subject613f09a7c7e21	12I
32787.000	32886.000	124.000	-42.955	191.125	0.000	0.000	0.466	2.057	8.243	2.364	2.404	subject613f09a7c7e21	12I
32933.000	32954.000	44.000	75.376	108.390	0.000	0.000	0.466	1.026	0.000	1.019	0.122	subject613f09a7c7e21	12I
33000.000	33406.000	428.000	71.956	125.484	0.000	0.000	0.466	4.823	54.941	14.795	6.193	subject613f09a7c7e21	12I
33450.000	33928.000	504.000	557.592	110.441	0.000	0.000	0.466	2.892	14.768	7.214	4.645	subject613f09a7c7e21	12I
33993.000	34473.000	505.000	682.079	133.689	0.000	0.000	0.466	3.422	32.170	9.985	4.522	subject613f09a7c7e21	12I
34523.000	35535.000	1035.000	364.706	48.903	0.000	0.000	0.466	4.797	49.288	14.102	9.982	subject613f09a7c7e21	12I
35580.000	35673.000	117.000	398.906	96.766	0.000	0.000	0.466	1.720	1.295	2.608	2.078	subject613f09a7c7e21	12I
35721.000	36823.000	1128.000	282.627	96.766	0.000	0.000	0.466	3.298	25.939	13.694	7.374	subject613f09a7c7e21	12I
36873.000	37358.000	509.000	175.923	103.603	0.000	0.000	0.466	3.557	47.295	13.939	6.111	subject613f09a7c7e21	12I
37406.000	37668.000	283.000	669.767	145.313	0.000	0.000	0.466	1.730	10.586	4.565	2.893	subject613f09a7c7e21	12I
37713.000	37863.000	173.000	750.479	215.740	0.000	0.000	0.466	2.206	3.590	1.386	4.156	subject613f09a7c7e21	12I
37923.000	38009.000	125.000	523.393	165.142	0.000	0.000	0.466	3.275	15.138	4.565	2.689	subject613f09a7c7e21	12I
38071.000	38427.000	379.000	702.599	133.689	0.000	0.000	0.466	2.125	11.175	5.502	2.933	subject613f09a7c7e21	12I
38475.000	39005.000	553.000	525.445	151.467	0.000	0.000	0.466	2.834	31.754	13.450	6.315	subject613f09a7c7e21	12I
39050.000	39118.000	90.000	190.971	212.321	0.000	0.000	0.466	1.465	1.597	0.408	3.259	subject613f09a7c7e21	12I
39160.000	39320.000	184.000	51.436	85.142	0.000	0.000	0.466	2.358	20.182	3.709	5.256	subject613f09a7c7e21	12I
39383.000	39724.000	364.000	122.572	111.809	0.000	0.000	0.466	4.490	37.569	14.998	6.111	subject613f09a7c7e21	12I
39769.000	39926.000	193.000	249.111	621.210	0.000	0.000	0.466	1.696	11.047	3.260	3.300	subject613f09a7c7e21	12I
39985.000	40021.000	58.000	582.216	471.467	0.000	0.000	0.466	0.000	NaN	0.000	0.000	subject613f09a7c7e21	12I
40069.000	40156.000	109.000	404.378	712.150	0.000	0.000	0.466	2.096	5.819	2.160	4.319	subject613f09a7c7e21	12I
40200.000	40317.000	142.000	307.934	758.646	0.000	0.000	0.466	1.660	5.839	2.242	1.996	subject613f09a7c7e21	12I
40368.000	40862.000	517.000	492.613	766.851	0.000	0.000	0.466	3.540	39.986	12.716	7.863	subject613f09a7c7e21	12I
40913.000	41073.000	182.000	424.897	698.475	0.000	0.000	0.466	2.512	9.438	5.013	2.159	subject613f09a7c7e21	12I
41117.000	41341.000	250.000	461.149	706.680	0.000	0.000	0.466	2.521	18.408	4.116	6.560	subject613f09a7c7e21	12I
41386.000	42536.000	1174.000	531.601	691.638	0.000	0.000	0.466	3.157	66.750	16.588	10.226	subject613f09a7c7e21	12I
42584.000	42728.000	166.000	916.005	744.971	0.000	0.000	0.466	2.242	9.980	4.157	3.341	subject613f09a7c7e21	12I
42774.000	43126.000	386.000	665.663	721.723	0.000	0.000	0.466	3.654	30.605	8.029	7.863	subject613f09a7c7e21	12I
43201.000	43400.000	219.000	406.430	529.586	0.000	0.000	0.466	2.938	20.757	5.380	4.441	subject613f09a7c7e21	12I
43444.000	43766.000	343.000	1159.508	353.860	0.000	0.000	0.466	5.972	136.120	16.710	12.426	subject613f09a7c7e21	12I
43809.000	44345.000	554.000	529.549	236.937	0.000	0.000	0.466	4.846	49.129	17.607	8.760	subject613f09a7c7e21	12I
44387.000	44680.000	316.000	697.127	336.082	0.000	0.000	0.466	4.332	34.087	11.412	5.948	subject613f09a7c7e21	12I
44728.000	44870.000	162.000	439.945	312.834	0.000	0.000	0.466	2.644	25.790	5.991	4.808	subject613f09a7c7e21	12I
44912.000	46539.000	1652.000	530.233	215.740	0.000	0.000	0.466	4.243	96.790	18.503	15.034	subject613f09a7c7e21	12I
46584.000	46835.000	274.000	299.042	28.390	0.000	0.000	0.466	4.015	36.333	9.374	5.745	subject613f09a7c7e21	12I
46883.000	48050.000	1192.000	485.089	39.330	0.000	0.000	0.466	3.198	35.024	8.192	9.574	subject613f09a7c7e21	12I
48132.000	48281.000	176.000	397.538	-27.679	0.000	0.000	0.466	1.831	13.865	6.399	2.445	subject613f09a7c7e21	12I
48331.000	48402.000	93.000	766.895	-48.191	0.000	0.000	0.466	2.569	13.338	2.853	2.770	subject613f09a7c7e21	12I
48446.000	48618.000	196.000	900.958	40.697	0.000	0.000	0.466	2.734	16.155	7.092	4.604	subject613f09a7c7e21	12I
48667.000	48884.000	243.000	451.573	5.142	0.000	0.000	0.466	3.706	29.690	8.355	4.604	subject613f09a7c7e21	12I
48937.000	49259.000	347.000	-38.851	884.458	0.000	0.000	0.466	3.940	65.410	6.562	13.893	subject613f09a7c7e21	12I
49309.000	49453.000	168.000	411.218	305.997	0.000	0.000	0.466	2.996	16.013	5.421	3.585	subject613f09a7c7e21	12I
49501.000	49660.000	181.000	475.513	219.843	0.000	0.000	0.466	3.538	37.195	9.700	4.563	subject613f09a7c7e21	12I
49702.000	50507.000	827.000	408.482	151.467	0.000	0.000	0.466	4.624	34.336	11.167	7.619	subject613f09a7c7e21	12I
50552.000	50862.000	333.000	426.265	266.338	0.000	0.000	0.466	2.800	15.484	6.276	5.704	subject613f09a7c7e21	12I
50914.000	51201.000	311.000	396.170	327.877	0.000	0.000	0.466	2.355	16.787	4.891	4.604	subject613f09a7c7e21	12I
51249.000	51341.000	112.000	444.049	267.706	0.000	0.000	0.466	2.022	8.623	3.587	3.830	subject613f09a7c7e21	12I
51383.000	51502.000	151.000	281.259	312.834	0.000	0.000	0.466	1.514	4.006	2.119	2.037	subject613f09a7c7e21	12I
51558.000	51838.000	302.000	644.460	187.022	0.000	0.000	0.466	2.820	27.500	8.437	4.522	subject613f09a7c7e21	12I
51882.000	51980.000	118.000	698.495	94.031	0.000	0.000	0.466	1.742	7.647	2.364	2.526	subject613f09a7c7e21	12I
52021.000	52496.000	497.000	635.568	267.706	0.000	0.000	0.466	2.578	11.214	6.399	5.622	subject613f09a7c7e21	12I
52542.000	52682.000	164.000	736.799	154.202	0.000	0.000	0.466	5.531	43.494	9.007	8.882	subject613f09a7c7e21	12I
52728.000	52897.000	190.000	645.144	691.638	0.000	0.000	0.466	5.617	71.566	12.634	9.289	subject613f09a7c7e21	12I
52940.000	53087.000	171.000	483.721	744.971	0.000	0.000	0.466	2.530	23.689	6.358	5.785	subject613f09a7c7e21	12I
53135.000	54409.000	1296.000	720.383	141.894	0.000	0.000	0.466	3.452	35.538	12.268	8.800	subject613f09a7c7e21	12I
54454.000	54812.000	380.000	675.239	102.236	0.000	0.000	0.466	2.505	15.721	5.706	4.522	subject613f09a7c7e21	12I
54862.000	54884.000	43.000	513.817	199.330	0.000	0.000	0.466	0.000	NaN	0.000	0.000	subject613f09a7c7e21	12I
54927.000	55777.000	872.000	692.339	157.621	0.000	0.000	0.466	3.389	34.480	8.355	9.004	subject613f09a7c7e21	12I
55822.000	55959.000	160.000	851.710	240.356	0.000	0.000	0.466	3.260	38.535	8.110	5.500	subject613f09a7c7e21	12I
56008.000	56170.000	182.000	749.795	191.809	0.000	0.000	0.466	4.176	44.498	6.236	8.393	subject613f09a7c7e21	12I
56212.000	56372.000	184.000	895.486	106.338	0.000	0.000	0.466	3.039	22.573	4.768	4.808	subject613f09a7c7e21	12I
56436.000	56573.000	160.000	550.752	275.911	0.000	0.000	0.466	2.500	16.875	5.095	4.400	subject613f09a7c7e21	12I
56617.000	56848.000	255.000	427.633	337.450	0.000	0.000	0.466	2.917	11.783	3.546	5.337	subject613f09a7c7e21	12I
56894.000	57478.000	612.000	556.908	238.988	0.000	0.000	0.466	3.602	31.973	10.026	7.211	subject613f09a7c7e21	12I
57531.000	58377.000	867.000	539.808	277.279	0.000	0.000	0.466	2.929	25.800	7.132	8.474	subject613f09a7c7e21	12I
58422.000	58797.000	406.000	205.335	765.484	0.000	0.000	0.466	6.399	57.303	15.610	8.760	subject613f09a7c7e21	12I
58851.000	59930.000	1104.000	694.391	244.458	0.000	0.000	0.466	4.225	64.447	12.960	17.886	subject613f09a7c7e21	12I
59980.000	60239.000	282.000	531.601	153.518	0.000	0.000	0.466	4.058	17.745	7.418	3.382	subject613f09a7c7e21	12I
