FixStart	FixEnd	FixDur	XPos	YPos	FlankedByDataLoss	Fraction Interpolated	WeightCutoff	RMSxy	BCEA	FixRangeX	FixRangeY	Participant	Trial
1.000	1336.000	1383.000	369.900	233.768	0.000	0.000	0.720	7.892	173.838	21.284	18.514	subject614338df27496	10I
1451.000	2726.000	1342.000	433.312	115.317	0.000	0.000	0.720	7.827	142.177	23.432	13.546	subject614338df27496	10I
2860.000	4603.000	1800.000	535.046	254.724	0.000	0.000	0.720	6.609	172.777	20.170	16.016	subject614338df27496	10I
4716.000	7894.000	3244.000	547.819	135.362	0.000	0.000	0.720	3.611	44.552	9.976	15.256	subject614338df27496	10I
8011.000	10127.000	2183.000	496.724	457.913	0.000	0.000	0.720	7.715	155.898	22.018	27.255	subject614338df27496	10I
10260.000	10326.000	133.000	360.319	700.282	0.000	0.000	0.720	2.499	0.000	0.734	2.389	subject614338df27496	10I
10460.000	12548.000	2140.000	419.170	501.649	0.000	0.000	0.720	5.177	109.473	14.244	27.825	subject614338df27496	10I
12667.000	13166.000	548.000	537.783	123.517	0.000	0.000	0.720	3.909	70.871	9.025	12.677	subject614338df27496	10I
13266.000	13508.000	300.000	613.057	196.410	0.000	0.000	0.720	2.155	2.305	2.175	2.525	subject614338df27496	10I
13634.000	14734.000	1148.000	460.228	235.590	0.000	0.000	0.720	3.552	73.798	15.331	7.357	subject614338df27496	10I
14832.000	14883.000	93.000	300.100	142.196	0.000	0.000	0.720	1.876	0.000	1.060	1.547	subject614338df27496	10I
14984.000	16282.000	1365.000	456.578	237.412	0.000	0.000	0.720	5.981	175.640	15.793	19.952	subject614338df27496	10I
16417.000	17394.000	1025.000	363.513	330.351	0.000	0.000	0.720	3.321	63.385	9.868	14.007	subject614338df27496	10I
17500.000	17862.000	416.000	404.571	7.344	0.000	0.000	0.720	3.613	19.014	4.023	5.402	subject614338df27496	10I
17965.000	18798.000	884.000	626.743	1.421	0.000	0.000	0.720	3.696	83.160	18.213	9.257	subject614338df27496	10I
